Date,Year,Quarter,Nationality,Region,Sex,Appeals lodged
2011-10-01,2011,4,Ethiopia,Africa Sub-Saharan,Male,9
2011-10-01,2011,4,"Gambia, The",Africa Sub-Saharan,Female,17
2011-10-01,2011,4,"Gambia, The",Africa Sub-Saharan,Male,17
2011-10-01,2011,4,Georgia,Europe Other,Female,1
2011-10-01,2011,4,Georgia,Europe Other,Male,7
2011-10-01,2011,4,Ghana,Africa Sub-Saharan,Female,8
2011-10-01,2011,4,Ghana,Africa Sub-Saharan,Male,8
2011-10-01,2011,4,Grenada,America Central and South,Male,2
2011-10-01,2011,4,Guatemala,America Central and South,Male,1
2011-10-01,2011,4,Guinea,Africa Sub-Saharan,Female,5
2011-10-01,2011,4,Guinea,Africa Sub-Saharan,Male,5
2011-10-01,2011,4,Haiti,America Central and South,Male,1
2011-10-01,2011,4,India,Asia South,Female,8
2011-10-01,2011,4,India,Asia South,Male,17
2011-10-01,2011,4,Indonesia,Asia South East,Female,1
2011-10-01,2011,4,Indonesia,Asia South East,Male,1
2011-10-01,2011,4,Iran,Middle East,Female,39
2011-10-01,2011,4,Iran,Middle East,Male,228
2011-10-01,2011,4,Iraq,Middle East,Female,10
2011-10-01,2011,4,Iraq,Middle East,Male,45
2011-10-01,2011,4,Ivory Coast,Africa Sub-Saharan,Female,9
2011-10-01,2011,4,Ivory Coast,Africa Sub-Saharan,Male,4
2011-10-01,2011,4,Jamaica,America Central and South,Female,4
2011-10-01,2011,4,Jamaica,America Central and South,Male,3
2011-10-01,2011,4,Jordan,Middle East,Male,2
2011-10-01,2011,4,Kenya,Africa Sub-Saharan,Female,7
2011-10-01,2011,4,Kenya,Africa Sub-Saharan,Male,1
2011-10-01,2011,4,Korea (North),Asia East,Male,4
2011-10-01,2011,4,Korea (South),Asia East,Male,1
2011-10-01,2011,4,Kosovo,Europe Other,Male,1
2011-10-01,2011,4,Kuwait,Middle East,Male,5
2011-10-01,2011,4,Kyrgyzstan,Asia Central,Male,1
2011-10-01,2011,4,Lebanon,Middle East,Female,1
2011-10-01,2011,4,Lebanon,Middle East,Male,6
2011-10-01,2011,4,Liberia,Africa Sub-Saharan,Female,2
2011-10-01,2011,4,Liberia,Africa Sub-Saharan,Male,2
2011-10-01,2011,4,Libya,Africa North,Female,3
2011-10-01,2011,4,Libya,Africa North,Male,61
2011-10-01,2011,4,Malawi,Africa Sub-Saharan,Female,7
2011-10-01,2011,4,Malawi,Africa Sub-Saharan,Male,6
2011-10-01,2011,4,Malaysia,Asia South East,Female,1
2011-10-01,2011,4,Malaysia,Asia South East,Male,1
2011-10-01,2011,4,Mali,Africa Sub-Saharan,Female,1
2011-10-01,2011,4,Mauritius,Africa Sub-Saharan,Female,1
2011-10-01,2011,4,Mauritius,Africa Sub-Saharan,Male,1
2011-10-01,2011,4,Mexico,America Central and South,Female,1
2011-10-01,2011,4,Mongolia,Asia East,Female,2
2011-10-01,2011,4,Morocco,Africa North,Female,1
2011-10-01,2011,4,Morocco,Africa North,Male,10
2011-10-01,2011,4,Namibia,Africa Sub-Saharan,Female,1
2011-10-01,2011,4,Namibia,Africa Sub-Saharan,Male,2
2011-10-01,2011,4,Nauru,Oceania,Male,1
2011-10-01,2011,4,Nepal,Asia South,Female,2
2011-10-01,2011,4,Nigeria,Africa Sub-Saharan,Female,39
2011-10-01,2011,4,Nigeria,Africa Sub-Saharan,Male,27
2011-10-01,2011,4,Occupied Palestinian Territories,Middle East,Male,18
2011-10-01,2011,4,Oman,Middle East,Male,2
2011-10-01,2011,4,Other and unknown,Other,Male,2
2011-10-01,2011,4,Pakistan,Asia South,Female,125
2011-10-01,2011,4,Pakistan,Asia South,Male,235
2011-10-01,2011,4,Refugee,Other,Male,3
2011-10-01,2011,4,Russia,Europe Other,Female,1
2011-10-01,2011,4,Russia,Europe Other,Male,6
2011-10-01,2011,4,Rwanda,Africa Sub-Saharan,Female,2
2011-10-01,2011,4,Rwanda,Africa Sub-Saharan,Male,3
2011-10-01,2011,4,Saudi Arabia,Middle East,Male,1
2011-10-01,2011,4,Senegal,Africa Sub-Saharan,Female,2
2011-10-01,2011,4,Senegal,Africa Sub-Saharan,Male,2
2011-10-01,2011,4,Serbia,Europe Other,Female,1
2011-10-01,2011,4,Sierra Leone,Africa Sub-Saharan,Female,3
2011-10-01,2011,4,Sierra Leone,Africa Sub-Saharan,Male,1
2011-10-01,2011,4,Singapore,Asia South East,Male,1
2011-10-01,2011,4,Somalia,Africa Sub-Saharan,Female,16
2011-10-01,2011,4,Somalia,Africa Sub-Saharan,Male,13
2011-10-01,2011,4,South Africa,Africa Sub-Saharan,Female,6
2011-10-01,2011,4,South Africa,Africa Sub-Saharan,Male,4
2011-10-01,2011,4,Sri Lanka,Asia South,Female,39
2011-10-01,2011,4,Sri Lanka,Asia South,Male,236
2011-10-01,2011,4,Stateless,Other,Female,2
2011-10-01,2011,4,Stateless,Other,Male,20
2011-10-01,2011,4,Sudan,Africa North,Female,1
2011-10-01,2011,4,Sudan,Africa North,Male,20
2011-10-01,2011,4,Syria,Middle East,Female,7
2011-10-01,2011,4,Syria,Middle East,Male,47
2011-10-01,2011,4,Tanzania,Africa Sub-Saharan,Female,5
2011-10-01,2011,4,Thailand,Asia South East,Female,1
2011-10-01,2011,4,Trinidad and Tobago,America Central and South,Female,1
2011-10-01,2011,4,Trinidad and Tobago,America Central and South,Male,2
2011-10-01,2011,4,Tunisia,Africa North,Female,1
2011-10-01,2011,4,Tunisia,Africa North,Male,2
2011-10-01,2011,4,Turkey,Europe Other,Female,3
2011-10-01,2011,4,Turkey,Europe Other,Male,14
2011-10-01,2011,4,Turkmenistan,Asia Central,Female,1
2011-10-01,2011,4,Uganda,Africa Sub-Saharan,Female,13
2011-10-01,2011,4,Uganda,Africa Sub-Saharan,Male,6
2011-10-01,2011,4,Ukraine,Europe Other,Male,4
2011-10-01,2011,4,Uzbekistan,Asia Central,Male,1
2011-10-01,2011,4,Venezuela,America Central and South,Male,5
2011-10-01,2011,4,Vietnam,Asia South East,Female,9
2011-10-01,2011,4,Vietnam,Asia South East,Male,11
2011-10-01,2011,4,Yemen,Middle East,Female,2
2011-10-01,2011,4,Yemen,Middle East,Male,5
2011-10-01,2011,4,Zambia,Africa Sub-Saharan,Female,1
2011-10-01,2011,4,Zimbabwe,Africa Sub-Saharan,Female,46
2011-10-01,2011,4,Zimbabwe,Africa Sub-Saharan,Male,27
2011-10-01,2011,4,Zimbabwe,Africa Sub-Saharan,Unknown Sex,1
2012-01-01,2012,1,Afghanistan,Asia Central,Female,7
2012-01-01,2012,1,Afghanistan,Asia Central,Male,180
2012-01-01,2012,1,Albania,Europe Other,Female,8
2012-01-01,2012,1,Albania,Europe Other,Male,27
2012-01-01,2012,1,Algeria,Africa North,Female,1
2012-01-01,2012,1,Algeria,Africa North,Male,17
2012-01-01,2012,1,Angola,Africa Sub-Saharan,Female,3
2012-01-01,2012,1,Angola,Africa Sub-Saharan,Male,4
2012-01-01,2012,1,Armenia,Europe Other,Male,1
2012-01-01,2012,1,Bahrain,Middle East,Male,2
2012-01-01,2012,1,Bangladesh,Asia South,Female,6
2012-01-01,2012,1,Bangladesh,Asia South,Male,65
2012-01-01,2012,1,Belarus,Europe Other,Male,1
2012-01-01,2012,1,Bhutan,Asia South,Female,1
2012-01-01,2012,1,Bhutan,Asia South,Male,2
2012-01-01,2012,1,Bolivia,America Central and South,Female,2
2012-01-01,2012,1,Bolivia,America Central and South,Male,1
2012-01-01,2012,1,Botswana,Africa Sub-Saharan,Female,1
2012-01-01,2012,1,Botswana,Africa Sub-Saharan,Male,2
2012-01-01,2012,1,Brazil,America Central and South,Female,1
2012-01-01,2012,1,Brazil,America Central and South,Male,1
2012-01-01,2012,1,Burkina,Africa Sub-Saharan,Male,1
2012-01-01,2012,1,Burma,Asia South East,Female,5
2012-01-01,2012,1,Burma,Asia South East,Male,6
2012-01-01,2012,1,Burundi,Africa Sub-Saharan,Female,1
2012-01-01,2012,1,Burundi,Africa Sub-Saharan,Male,1
2012-01-01,2012,1,Cameroon,Africa Sub-Saharan,Female,4
2012-01-01,2012,1,Cameroon,Africa Sub-Saharan,Male,12
2012-01-01,2012,1,China,Asia East,Female,56
2012-01-01,2012,1,China,Asia East,Male,39
2012-01-01,2012,1,Colombia,America Central and South,Female,1
2012-01-01,2012,1,Colombia,America Central and South,Male,1
2012-01-01,2012,1,Congo,Africa Sub-Saharan,Female,1
2012-01-01,2012,1,Congo,Africa Sub-Saharan,Male,1
2012-01-01,2012,1,Congo (Democratic Republic),Africa Sub-Saharan,Female,15
2012-01-01,2012,1,Congo (Democratic Republic),Africa Sub-Saharan,Male,14
2012-01-01,2012,1,Cuba,America Central and South,Female,1
2012-01-01,2012,1,Egypt,Africa North,Female,10
2012-01-01,2012,1,Egypt,Africa North,Male,31
2012-01-01,2012,1,Eritrea,Africa Sub-Saharan,Female,16
2012-01-01,2012,1,Eritrea,Africa Sub-Saharan,Male,18
2012-01-01,2012,1,Ethiopia,Africa Sub-Saharan,Female,7
2012-01-01,2012,1,Ethiopia,Africa Sub-Saharan,Male,6
2012-01-01,2012,1,"Gambia, The",Africa Sub-Saharan,Female,24
2012-01-01,2012,1,"Gambia, The",Africa Sub-Saharan,Male,15
2012-01-01,2012,1,Georgia,Europe Other,Female,3
2012-01-01,2012,1,Georgia,Europe Other,Male,1
2012-01-01,2012,1,Ghana,Africa Sub-Saharan,Female,6
2012-01-01,2012,1,Ghana,Africa Sub-Saharan,Male,5
2012-01-01,2012,1,Guinea,Africa Sub-Saharan,Female,6
2012-01-01,2012,1,Guinea,Africa Sub-Saharan,Male,6
2012-01-01,2012,1,Guinea-Bissau,Africa Sub-Saharan,Male,2
2012-01-01,2012,1,India,Asia South,Female,6
2012-01-01,2012,1,India,Asia South,Male,16
2012-01-01,2012,1,Iran,Middle East,Female,56
2012-01-01,2012,1,Iran,Middle East,Male,251
2012-01-01,2012,1,Iraq,Middle East,Female,11
2012-01-01,2012,1,Iraq,Middle East,Male,38
2012-01-01,2012,1,Ivory Coast,Africa Sub-Saharan,Female,4
2012-01-01,2012,1,Ivory Coast,Africa Sub-Saharan,Male,7
2012-01-01,2012,1,Jamaica,America Central and South,Female,1
2012-01-01,2012,1,Jamaica,America Central and South,Male,6
2012-01-01,2012,1,Japan,Asia East,Male,1
2012-01-01,2012,1,Jordan,Middle East,Female,1
2012-01-01,2012,1,Jordan,Middle East,Male,6
2012-01-01,2012,1,Kenya,Africa Sub-Saharan,Female,12
2012-01-01,2012,1,Kenya,Africa Sub-Saharan,Male,5
2012-01-01,2012,1,Korea (North),Asia East,Male,1
2012-01-01,2012,1,Kosovo,Europe Other,Male,2
2012-01-01,2012,1,Kuwait,Middle East,Male,5
2012-01-01,2012,1,Kyrgyzstan,Asia Central,Male,1
2012-01-01,2012,1,Lebanon,Middle East,Female,3
2012-01-01,2012,1,Lebanon,Middle East,Male,5
2012-01-01,2012,1,Liberia,Africa Sub-Saharan,Male,1
2012-01-01,2012,1,Libya,Africa North,Female,2
2012-01-01,2012,1,Libya,Africa North,Male,37
2012-01-01,2012,1,Malawi,Africa Sub-Saharan,Female,9
2012-01-01,2012,1,Malawi,Africa Sub-Saharan,Male,8
2012-01-01,2012,1,Malaysia,Asia South East,Female,2
2012-01-01,2012,1,Malaysia,Asia South East,Male,5
2012-01-01,2012,1,Mali,Africa Sub-Saharan,Male,2
2012-01-01,2012,1,Mauritania,Africa North,Male,1
2012-01-01,2012,1,Mauritius,Africa Sub-Saharan,Female,2
2012-01-01,2012,1,Mauritius,Africa Sub-Saharan,Male,2
2012-01-01,2012,1,Mexico,America Central and South,Female,1
2012-01-01,2012,1,Mongolia,Asia East,Male,1
2012-01-01,2012,1,Morocco,Africa North,Female,3
2012-01-01,2012,1,Morocco,Africa North,Male,6
2012-01-01,2012,1,Namibia,Africa Sub-Saharan,Male,1
2012-01-01,2012,1,Nepal,Asia South,Female,3
2012-01-01,2012,1,Nepal,Asia South,Male,4
2012-01-01,2012,1,Nigeria,Africa Sub-Saharan,Female,49
2012-01-01,2012,1,Nigeria,Africa Sub-Saharan,Male,31
2012-01-01,2012,1,Occupied Palestinian Territories,Middle East,Female,1
2012-01-01,2012,1,Occupied Palestinian Territories,Middle East,Male,20
2012-01-01,2012,1,Pakistan,Asia South,Female,147
2012-01-01,2012,1,Pakistan,Asia South,Male,254
2012-01-01,2012,1,Philippines,Asia South East,Female,2
2012-01-01,2012,1,Philippines,Asia South East,Male,1
2012-01-01,2012,1,Refugee,Other,Female,3
2012-01-01,2012,1,Refugee,Other,Male,8
2012-01-01,2012,1,Russia,Europe Other,Female,3
2012-01-01,2012,1,Russia,Europe Other,Male,14
2012-01-01,2012,1,Rwanda,Africa Sub-Saharan,Male,5
2012-01-01,2012,1,Saudi Arabia,Middle East,Female,1
2012-01-01,2012,1,Senegal,Africa Sub-Saharan,Female,3
2012-01-01,2012,1,Senegal,Africa Sub-Saharan,Male,1
2012-01-01,2012,1,Sierra Leone,Africa Sub-Saharan,Female,9
2012-01-01,2012,1,Sierra Leone,Africa Sub-Saharan,Male,3
2012-01-01,2012,1,Somalia,Africa Sub-Saharan,Female,13
2012-01-01,2012,1,Somalia,Africa Sub-Saharan,Male,16
2012-01-01,2012,1,South Africa,Africa Sub-Saharan,Female,3
2012-01-01,2012,1,South Africa,Africa Sub-Saharan,Male,3
2012-01-01,2012,1,Sri Lanka,Asia South,Female,41
2012-01-01,2012,1,Sri Lanka,Asia South,Male,187
2012-01-01,2012,1,St. Lucia,America Central and South,Male,1
2012-01-01,2012,1,Stateless,Other,Female,3
2012-01-01,2012,1,Stateless,Other,Male,9
2012-01-01,2012,1,Sudan,Africa North,Female,5
2012-01-01,2012,1,Sudan,Africa North,Male,22
2012-01-01,2012,1,Syria,Middle East,Female,10
2012-01-01,2012,1,Syria,Middle East,Male,61
2012-01-01,2012,1,Tanzania,Africa Sub-Saharan,Female,1
2012-01-01,2012,1,Tanzania,Africa Sub-Saharan,Male,2
2012-01-01,2012,1,Togo,Africa Sub-Saharan,Male,2
2012-01-01,2012,1,Trinidad and Tobago,America Central and South,Female,2
2012-01-01,2012,1,Trinidad and Tobago,America Central and South,Male,1
2012-01-01,2012,1,Tunisia,Africa North,Male,3
2012-01-01,2012,1,Turkey,Europe Other,Female,4
2012-01-01,2012,1,Turkey,Europe Other,Male,21
2012-01-01,2012,1,Turkmenistan,Asia Central,Female,2
2012-01-01,2012,1,Uganda,Africa Sub-Saharan,Female,20
2012-01-01,2012,1,Uganda,Africa Sub-Saharan,Male,15
2012-01-01,2012,1,Ukraine,Europe Other,Female,1
2012-01-01,2012,1,Ukraine,Europe Other,Male,2
2012-01-01,2012,1,Venezuela,America Central and South,Female,1
2012-01-01,2012,1,Vietnam,Asia South East,Female,8
2012-01-01,2012,1,Vietnam,Asia South East,Male,6
2012-01-01,2012,1,Yemen,Middle East,Male,3
2012-01-01,2012,1,Zambia,Africa Sub-Saharan,Female,2
2012-01-01,2012,1,Zimbabwe,Africa Sub-Saharan,Female,43
2012-01-01,2012,1,Zimbabwe,Africa Sub-Saharan,Male,34
2012-04-01,2012,2,Afghanistan,Asia Central,Female,12
2012-04-01,2012,2,Afghanistan,Asia Central,Male,127
2012-04-01,2012,2,Albania,Europe Other,Female,10
2012-04-01,2012,2,Albania,Europe Other,Male,40
2012-04-01,2012,2,Algeria,Africa North,Female,2
2012-04-01,2012,2,Algeria,Africa North,Male,19
2012-04-01,2012,2,Angola,Africa Sub-Saharan,Male,3
2012-04-01,2012,2,Armenia,Europe Other,Male,1
2012-04-01,2012,2,Azerbaijan,Europe Other,Male,1
2012-04-01,2012,2,Bahrain,Middle East,Male,1
2012-04-01,2012,2,Bangladesh,Asia South,Female,14
2012-04-01,2012,2,Bangladesh,Asia South,Male,91
2012-04-01,2012,2,Belarus,Europe Other,Male,1
2012-04-01,2012,2,Benin,Africa Sub-Saharan,Male,2
2012-04-01,2012,2,Botswana,Africa Sub-Saharan,Female,3
2012-04-01,2012,2,Botswana,Africa Sub-Saharan,Male,1
2012-04-01,2012,2,British overseas citizens,Other,Male,1
2012-04-01,2012,2,Burkina,Africa Sub-Saharan,Male,1
2012-04-01,2012,2,Burma,Asia South East,Female,1
2012-04-01,2012,2,Burma,Asia South East,Male,5
2012-04-01,2012,2,Cameroon,Africa Sub-Saharan,Female,5
2012-04-01,2012,2,Cameroon,Africa Sub-Saharan,Male,11
2012-04-01,2012,2,Chad,Africa Sub-Saharan,Male,1
2012-04-01,2012,2,China,Asia East,Female,37
2012-04-01,2012,2,China,Asia East,Male,46
2012-04-01,2012,2,Colombia,America Central and South,Male,1
2012-04-01,2012,2,Congo,Africa Sub-Saharan,Female,2
2012-04-01,2012,2,Congo,Africa Sub-Saharan,Male,1
2012-04-01,2012,2,Congo (Democratic Republic),Africa Sub-Saharan,Female,14
2012-04-01,2012,2,Congo (Democratic Republic),Africa Sub-Saharan,Male,15
2012-04-01,2012,2,Cuba,America Central and South,Female,1
2012-04-01,2012,2,Ecuador,America Central and South,Male,1
2012-04-01,2012,2,Egypt,Africa North,Female,4
2012-04-01,2012,2,Egypt,Africa North,Male,22
2012-04-01,2012,2,Eritrea,Africa Sub-Saharan,Female,5
2012-04-01,2012,2,Eritrea,Africa Sub-Saharan,Male,8
2012-04-01,2012,2,Ethiopia,Africa Sub-Saharan,Female,6
2012-04-01,2012,2,Ethiopia,Africa Sub-Saharan,Male,6
2012-04-01,2012,2,Fiji,Oceania,Male,1
2012-04-01,2012,2,"Gambia, The",Africa Sub-Saharan,Female,21
2012-04-01,2012,2,"Gambia, The",Africa Sub-Saharan,Male,12
2012-04-01,2012,2,Georgia,Europe Other,Female,2
2012-04-01,2012,2,Georgia,Europe Other,Male,2
2012-04-01,2012,2,Ghana,Africa Sub-Saharan,Female,10
2012-04-01,2012,2,Ghana,Africa Sub-Saharan,Male,8
2012-04-01,2012,2,Guinea,Africa Sub-Saharan,Female,1
2012-04-01,2012,2,Guinea,Africa Sub-Saharan,Male,4
2012-04-01,2012,2,Hong Kong,Asia East,Female,1
2012-04-01,2012,2,India,Asia South,Female,4
2012-04-01,2012,2,India,Asia South,Male,18
2012-04-01,2012,2,Iran,Middle East,Female,67
2012-04-01,2012,2,Iran,Middle East,Male,166
2012-04-01,2012,2,Iraq,Middle East,Female,10
2012-04-01,2012,2,Iraq,Middle East,Male,32
2012-04-01,2012,2,Ivory Coast,Africa Sub-Saharan,Female,1
2012-04-01,2012,2,Ivory Coast,Africa Sub-Saharan,Male,4
2012-04-01,2012,2,Jamaica,America Central and South,Female,3
2012-04-01,2012,2,Jamaica,America Central and South,Male,6
2012-04-01,2012,2,Jordan,Middle East,Female,1
2012-04-01,2012,2,Jordan,Middle East,Male,3
2012-04-01,2012,2,Kenya,Africa Sub-Saharan,Female,4
2012-04-01,2012,2,Kenya,Africa Sub-Saharan,Male,6
2012-04-01,2012,2,Kuwait,Middle East,Male,9
2012-04-01,2012,2,Kyrgyzstan,Asia Central,Female,1
2012-04-01,2012,2,Liberia,Africa Sub-Saharan,Male,1
2012-04-01,2012,2,Libya,Africa North,Female,3
2012-04-01,2012,2,Libya,Africa North,Male,21
2012-04-01,2012,2,Malawi,Africa Sub-Saharan,Female,11
2012-04-01,2012,2,Malawi,Africa Sub-Saharan,Male,4
2012-04-01,2012,2,Malaysia,Asia South East,Female,5
2012-04-01,2012,2,Mauritania,Africa North,Male,2
2012-04-01,2012,2,Mauritius,Africa Sub-Saharan,Female,2
2012-04-01,2012,2,Mauritius,Africa Sub-Saharan,Male,2
2012-04-01,2012,2,Mexico,America Central and South,Male,1
2012-04-01,2012,2,Mongolia,Asia East,Male,1
2012-04-01,2012,2,Morocco,Africa North,Male,6
2012-04-01,2012,2,Namibia,Africa Sub-Saharan,Female,4
2012-04-01,2012,2,Namibia,Africa Sub-Saharan,Male,2
2012-04-01,2012,2,Nepal,Asia South,Female,2
2012-04-01,2012,2,Nepal,Asia South,Male,3
2012-04-01,2012,2,Nigeria,Africa Sub-Saharan,Female,50
2012-04-01,2012,2,Nigeria,Africa Sub-Saharan,Male,41
2012-04-01,2012,2,Norway,Europe Other,Male,1
2012-04-01,2012,2,Occupied Palestinian Territories,Middle East,Female,1
2012-04-01,2012,2,Occupied Palestinian Territories,Middle East,Male,16
2012-04-01,2012,2,Pakistan,Asia South,Female,115
2012-04-01,2012,2,Pakistan,Asia South,Male,270
2012-04-01,2012,2,Philippines,Asia South East,Female,1
2012-04-01,2012,2,Philippines,Asia South East,Male,2
2012-04-01,2012,2,Refugee,Other,Female,2
2012-04-01,2012,2,Refugee,Other,Male,4
2012-04-01,2012,2,Russia,Europe Other,Male,3
2012-04-01,2012,2,Rwanda,Africa Sub-Saharan,Female,2
2012-04-01,2012,2,Rwanda,Africa Sub-Saharan,Male,1
2012-04-01,2012,2,Senegal,Africa Sub-Saharan,Male,10
2012-04-01,2012,2,Serbia,Europe Other,Male,1
2012-04-01,2012,2,Sierra Leone,Africa Sub-Saharan,Female,1
2012-04-01,2012,2,Sierra Leone,Africa Sub-Saharan,Male,1
2012-04-01,2012,2,Somalia,Africa Sub-Saharan,Female,15
2012-04-01,2012,2,Somalia,Africa Sub-Saharan,Male,16
2012-04-01,2012,2,South Africa,Africa Sub-Saharan,Female,3
2012-04-01,2012,2,South Africa,Africa Sub-Saharan,Male,1
2012-04-01,2012,2,Sri Lanka,Asia South,Female,38
2012-04-01,2012,2,Sri Lanka,Asia South,Male,197
2012-04-01,2012,2,Stateless,Other,Male,15
2012-04-01,2012,2,Sudan,Africa North,Female,7
2012-04-01,2012,2,Sudan,Africa North,Male,6
2012-04-01,2012,2,Swaziland,Africa Sub-Saharan,Female,1
2012-04-01,2012,2,Syria,Middle East,Female,2
2012-04-01,2012,2,Syria,Middle East,Male,37
2012-04-01,2012,2,Tanzania,Africa Sub-Saharan,Female,2
2012-04-01,2012,2,Tanzania,Africa Sub-Saharan,Male,1
2012-04-01,2012,2,Thailand,Asia South East,Female,1
2012-04-01,2012,2,Trinidad and Tobago,America Central and South,Female,2
2012-04-01,2012,2,Trinidad and Tobago,America Central and South,Male,1
2012-04-01,2012,2,Tunisia,Africa North,Male,2
2012-04-01,2012,2,Turkey,Europe Other,Female,3
2012-04-01,2012,2,Turkey,Europe Other,Male,16
2012-04-01,2012,2,Uganda,Africa Sub-Saharan,Female,18
2012-04-01,2012,2,Uganda,Africa Sub-Saharan,Male,15
2012-04-01,2012,2,Ukraine,Europe Other,Female,1
2012-04-01,2012,2,Ukraine,Europe Other,Male,2
2012-04-01,2012,2,United States,America North,Male,1
2012-04-01,2012,2,Uzbekistan,Asia Central,Male,1
2012-04-01,2012,2,Vietnam,Asia South East,Female,10
2012-04-01,2012,2,Vietnam,Asia South East,Male,9
2012-04-01,2012,2,Yemen,Middle East,Male,1
2012-04-01,2012,2,Zambia,Africa Sub-Saharan,Female,2
2012-04-01,2012,2,Zimbabwe,Africa Sub-Saharan,Female,38
2012-04-01,2012,2,Zimbabwe,Africa Sub-Saharan,Male,13
2012-07-01,2012,3,Afghanistan,Asia Central,Female,5
2012-07-01,2012,3,Afghanistan,Asia Central,Male,128
2012-07-01,2012,3,Albania,Europe Other,Female,14
2012-07-01,2012,3,Albania,Europe Other,Male,32
2012-07-01,2012,3,Algeria,Africa North,Female,2
2012-07-01,2012,3,Algeria,Africa North,Male,17
2012-07-01,2012,3,Angola,Africa Sub-Saharan,Female,1
2012-07-01,2012,3,Angola,Africa Sub-Saharan,Male,2
2012-07-01,2012,3,Antigua and Barbuda,America Central and South,Male,1
2012-07-01,2012,3,Azerbaijan,Europe Other,Female,2
2012-07-01,2012,3,Azerbaijan,Europe Other,Male,1
2012-07-01,2012,3,Bahrain,Middle East,Male,1
2012-07-01,2012,3,Bangladesh,Asia South,Female,10
2012-07-01,2012,3,Bangladesh,Asia South,Male,68
2012-07-01,2012,3,Belarus,Europe Other,Female,1
2012-07-01,2012,3,Belarus,Europe Other,Male,1
2012-07-01,2012,3,Botswana,Africa Sub-Saharan,Female,2
2012-07-01,2012,3,Burma,Asia South East,Female,1
2012-07-01,2012,3,Burma,Asia South East,Male,5
2012-07-01,2012,3,Cameroon,Africa Sub-Saharan,Female,3
2012-07-01,2012,3,Cameroon,Africa Sub-Saharan,Male,6
2012-07-01,2012,3,Central African Republic,Africa Sub-Saharan,Male,2
2012-07-01,2012,3,Chad,Africa Sub-Saharan,Male,1
2012-07-01,2012,3,China,Asia East,Female,48
2012-07-01,2012,3,China,Asia East,Male,28
2012-07-01,2012,3,Christmas Island,Oceania,Female,1
2012-07-01,2012,3,Colombia,America Central and South,Female,1
2012-07-01,2012,3,Congo,Africa Sub-Saharan,Female,3
2012-07-01,2012,3,Congo (Democratic Republic),Africa Sub-Saharan,Female,13
2012-07-01,2012,3,Congo (Democratic Republic),Africa Sub-Saharan,Male,8
2012-07-01,2012,3,Cuba,America Central and South,Male,1
2012-07-01,2012,3,Egypt,Africa North,Female,3
2012-07-01,2012,3,Egypt,Africa North,Male,15
2012-07-01,2012,3,Eritrea,Africa Sub-Saharan,Female,8
2012-07-01,2012,3,Eritrea,Africa Sub-Saharan,Male,14
2012-07-01,2012,3,Ethiopia,Africa Sub-Saharan,Female,8
2012-07-01,2012,3,Ethiopia,Africa Sub-Saharan,Male,7
2012-07-01,2012,3,"Gambia, The",Africa Sub-Saharan,Female,19
2012-07-01,2012,3,"Gambia, The",Africa Sub-Saharan,Male,14
2012-07-01,2012,3,Georgia,Europe Other,Female,1
2012-07-01,2012,3,Georgia,Europe Other,Male,1
2012-07-01,2012,3,Ghana,Africa Sub-Saharan,Female,9
2012-07-01,2012,3,Ghana,Africa Sub-Saharan,Male,11
2012-07-01,2012,3,Guinea,Africa Sub-Saharan,Female,4
2012-07-01,2012,3,Guinea,Africa Sub-Saharan,Male,8
2012-07-01,2012,3,Honduras,America Central and South,Male,2
2012-07-01,2012,3,India,Asia South,Female,6
2012-07-01,2012,3,India,Asia South,Male,16
2012-07-01,2012,3,Iran,Middle East,Female,36
2012-07-01,2012,3,Iran,Middle East,Male,159
2012-07-01,2012,3,Iraq,Middle East,Female,9
2012-07-01,2012,3,Iraq,Middle East,Male,25
2012-07-01,2012,3,Ivory Coast,Africa Sub-Saharan,Female,5
2012-07-01,2012,3,Ivory Coast,Africa Sub-Saharan,Male,4
2012-07-01,2012,3,Jamaica,America Central and South,Female,3
2012-07-01,2012,3,Jamaica,America Central and South,Male,6
2012-07-01,2012,3,Jordan,Middle East,Female,1
2012-07-01,2012,3,Jordan,Middle East,Male,3
2012-07-01,2012,3,Kenya,Africa Sub-Saharan,Female,8
2012-07-01,2012,3,Kenya,Africa Sub-Saharan,Male,3
2012-07-01,2012,3,Korea (North),Asia East,Female,1
2012-07-01,2012,3,Korea (South),Asia East,Male,1
2012-07-01,2012,3,Kosovo,Europe Other,Female,1
2012-07-01,2012,3,Kosovo,Europe Other,Male,1
2012-07-01,2012,3,Kuwait,Middle East,Female,1
2012-07-01,2012,3,Kuwait,Middle East,Male,8
2012-07-01,2012,3,Lebanon,Middle East,Male,6
2012-07-01,2012,3,Liberia,Africa Sub-Saharan,Female,2
2012-07-01,2012,3,Libya,Africa North,Male,18
2012-07-01,2012,3,Lithuania,EU 8,Male,1
2012-07-01,2012,3,Madagascar,Africa Sub-Saharan,Male,1
2012-07-01,2012,3,Malawi,Africa Sub-Saharan,Female,10
2012-07-01,2012,3,Malawi,Africa Sub-Saharan,Male,3
2012-07-01,2012,3,Malaysia,Asia South East,Female,2
2012-07-01,2012,3,Malaysia,Asia South East,Male,1
2012-07-01,2012,3,Mali,Africa Sub-Saharan,Female,1
2012-07-01,2012,3,Mali,Africa Sub-Saharan,Male,2
