Date,Year,Quarter,Nationality,Region,Raised or resolved,Raised type / Resolved outcome,Age disputes
2012-04-01,2012,2,India,Asia South,Resolved,18+,1
2012-04-01,2012,2,Iran,Middle East,Raised,Existing asylum application,1
2012-04-01,2012,2,Iran,Middle East,Raised,Asylum application raised in quarter,12
2012-04-01,2012,2,Iran,Middle East,Resolved,Less than 18,10
2012-04-01,2012,2,Iran,Middle East,Resolved,18+,6
2012-04-01,2012,2,Iraq,Middle East,Raised,Asylum application raised in quarter,2
2012-04-01,2012,2,Iraq,Middle East,Resolved,Less than 18,2
2012-04-01,2012,2,Iraq,Middle East,Resolved,18+,2
2012-04-01,2012,2,Kosovo,Europe Other,Resolved,18+,1
2012-04-01,2012,2,Libya,Africa North,Raised,Asylum application raised in quarter,1
2012-04-01,2012,2,Nigeria,Africa Sub-Saharan,Resolved,18+,1
2012-04-01,2012,2,Occupied Palestinian Territories,Middle East,Resolved,18+,1
2012-04-01,2012,2,Pakistan,Asia South,Raised,Existing asylum application,2
2012-04-01,2012,2,Pakistan,Asia South,Raised,Asylum application raised in quarter,1
2012-04-01,2012,2,Pakistan,Asia South,Resolved,18+,3
2012-04-01,2012,2,Pakistan,Asia South,Resolved,Less than 18,1
2012-04-01,2012,2,Sierra Leone,Africa Sub-Saharan,Raised,Asylum application raised in quarter,1
2012-04-01,2012,2,Sierra Leone,Africa Sub-Saharan,Resolved,18+,1
2012-04-01,2012,2,Somalia,Africa Sub-Saharan,Raised,Asylum application raised in quarter,3
2012-04-01,2012,2,Somalia,Africa Sub-Saharan,Resolved,Less than 18,3
2012-04-01,2012,2,Somalia,Africa Sub-Saharan,Resolved,18+,1
2012-04-01,2012,2,Spain,EU 14,Raised,Asylum application raised in quarter,1
2012-04-01,2012,2,Spain,EU 14,Resolved,Less than 18,1
2012-04-01,2012,2,Sri Lanka,Asia South,Resolved,Less than 18,1
2012-04-01,2012,2,Stateless,Other,Raised,Asylum application raised in quarter,2
2012-04-01,2012,2,Stateless,Other,Resolved,Less than 18,1
2012-04-01,2012,2,Stateless,Other,Resolved,18+,1
2012-04-01,2012,2,Sudan,Africa North,Raised,Existing asylum application,1
2012-04-01,2012,2,Sudan,Africa North,Raised,Asylum application raised in quarter,6
2012-04-01,2012,2,Sudan,Africa North,Resolved,18+,3
2012-04-01,2012,2,Sudan,Africa North,Resolved,Less than 18,4
2012-04-01,2012,2,Syria,Middle East,Raised,Asylum application raised in quarter,2
2012-04-01,2012,2,Syria,Middle East,Resolved,18+,2
2012-04-01,2012,2,Turkey,Europe Other,Raised,Asylum application raised in quarter,3
2012-04-01,2012,2,Turkey,Europe Other,Resolved,18+,2
2012-04-01,2012,2,Vietnam,Asia South East,Raised,Asylum application raised in quarter,12
2012-04-01,2012,2,Vietnam,Asia South East,Raised,Existing asylum application,1
2012-04-01,2012,2,Vietnam,Asia South East,Resolved,Less than 18,4
2012-04-01,2012,2,Vietnam,Asia South East,Resolved,18+,12
2012-04-01,2012,2,Zimbabwe,Africa Sub-Saharan,Raised,Asylum application raised in quarter,1
2012-07-01,2012,3,Afghanistan,Asia Central,Raised,Existing asylum application,1
2012-07-01,2012,3,Afghanistan,Asia Central,Raised,Asylum application raised in quarter,21
2012-07-01,2012,3,Afghanistan,Asia Central,Resolved,Less than 18,10
2012-07-01,2012,3,Afghanistan,Asia Central,Resolved,18+,16
2012-07-01,2012,3,Albania,Europe Other,Raised,Existing asylum application,1
2012-07-01,2012,3,Albania,Europe Other,Raised,Asylum application raised in quarter,9
2012-07-01,2012,3,Albania,Europe Other,Resolved,Less than 18,7
2012-07-01,2012,3,Albania,Europe Other,Resolved,18+,4
2012-07-01,2012,3,Algeria,Africa North,Raised,Asylum application raised in quarter,2
2012-07-01,2012,3,Algeria,Africa North,Resolved,18+,2
2012-07-01,2012,3,Angola,Africa Sub-Saharan,Resolved,Less than 18,1
2012-07-01,2012,3,Cameroon,Africa Sub-Saharan,Raised,Asylum application raised in quarter,1
2012-07-01,2012,3,Cameroon,Africa Sub-Saharan,Resolved,Less than 18,1
2012-07-01,2012,3,China,Asia East,Resolved,18+,1
2012-07-01,2012,3,China,Asia East,Resolved,Less than 18,2
2012-07-01,2012,3,Congo,Africa Sub-Saharan,Raised,Asylum application raised in quarter,1
2012-07-01,2012,3,Congo,Africa Sub-Saharan,Resolved,18+,1
2012-07-01,2012,3,Eritrea,Africa Sub-Saharan,Raised,Existing asylum application,1
2012-07-01,2012,3,Eritrea,Africa Sub-Saharan,Raised,Asylum application raised in quarter,4
2012-07-01,2012,3,Eritrea,Africa Sub-Saharan,Resolved,Less than 18,4
2012-07-01,2012,3,Eritrea,Africa Sub-Saharan,Resolved,18+,2
2012-07-01,2012,3,India,Asia South,Resolved,Less than 18,2
2012-07-01,2012,3,India,Asia South,Resolved,18+,1
2012-07-01,2012,3,Iran,Middle East,Raised,Existing asylum application,1
2012-07-01,2012,3,Iran,Middle East,Raised,Asylum application raised in quarter,2
2012-07-01,2012,3,Iran,Middle East,Resolved,18+,2
2012-07-01,2012,3,Iran,Middle East,Resolved,Less than 18,2
2012-07-01,2012,3,Iraq,Middle East,Raised,Asylum application raised in quarter,3
2012-07-01,2012,3,Iraq,Middle East,Resolved,18+,3
2012-07-01,2012,3,Iraq,Middle East,Resolved,Less than 18,4
2012-07-01,2012,3,Kosovo,Europe Other,Resolved,18+,1
2012-07-01,2012,3,Kosovo,Europe Other,Resolved,Less than 18,2
2012-07-01,2012,3,Liberia,Africa Sub-Saharan,Resolved,Less than 18,1
2012-07-01,2012,3,Libya,Africa North,Raised,Asylum application raised in quarter,1
2012-07-01,2012,3,Libya,Africa North,Resolved,18+,2
2012-07-01,2012,3,Morocco,Africa North,Raised,Asylum application raised in quarter,1
2012-07-01,2012,3,Morocco,Africa North,Resolved,18+,1
2012-07-01,2012,3,Nigeria,Africa Sub-Saharan,Raised,Asylum application raised in quarter,4
2012-07-01,2012,3,Nigeria,Africa Sub-Saharan,Resolved,Less than 18,1
2012-07-01,2012,3,Nigeria,Africa Sub-Saharan,Resolved,18+,2
2012-07-01,2012,3,Pakistan,Asia South,Raised,Asylum application raised in quarter,1
2012-07-01,2012,3,Pakistan,Asia South,Resolved,18+,2
2012-07-01,2012,3,Romania,EU 2,Resolved,18+,1
2012-07-01,2012,3,Rwanda,Africa Sub-Saharan,Resolved,Less than 18,1
2012-07-01,2012,3,Serbia,Europe Other,Resolved,Less than 18,2
2012-07-01,2012,3,Sierra Leone,Africa Sub-Saharan,Raised,Asylum application raised in quarter,2
2012-07-01,2012,3,Sierra Leone,Africa Sub-Saharan,Resolved,18+,2
2012-07-01,2012,3,Somalia,Africa Sub-Saharan,Raised,Asylum application raised in quarter,1
2012-07-01,2012,3,Somalia,Africa Sub-Saharan,Resolved,Less than 18,2
2012-07-01,2012,3,Somalia,Africa Sub-Saharan,Resolved,18+,1
2012-07-01,2012,3,Sri Lanka,Asia South,Resolved,Less than 18,1
2012-07-01,2012,3,Sudan,Africa North,Raised,Asylum application raised in quarter,2
2012-07-01,2012,3,Sudan,Africa North,Resolved,18+,1
2012-07-01,2012,3,Swaziland,Africa Sub-Saharan,Raised,Asylum application raised in quarter,1
2012-07-01,2012,3,Syria,Middle East,Raised,Asylum application raised in quarter,3
2012-07-01,2012,3,Syria,Middle East,Resolved,18+,2
2012-07-01,2012,3,Syria,Middle East,Resolved,Less than 18,1
2012-07-01,2012,3,Turkey,Europe Other,Resolved,Less than 18,3
2012-07-01,2012,3,Uganda,Africa Sub-Saharan,Resolved,Less than 18,1
2012-07-01,2012,3,Vietnam,Asia South East,Raised,Existing asylum application,1
2012-07-01,2012,3,Vietnam,Asia South East,Raised,Asylum application raised in quarter,11
2012-07-01,2012,3,Vietnam,Asia South East,Resolved,18+,11
2012-10-01,2012,4,Afghanistan,Asia Central,Raised,Existing asylum application,2
2012-10-01,2012,4,Afghanistan,Asia Central,Raised,Asylum application raised in quarter,11
2012-10-01,2012,4,Afghanistan,Asia Central,Resolved,18+,15
2012-10-01,2012,4,Afghanistan,Asia Central,Resolved,Less than 18,13
2012-10-01,2012,4,Albania,Europe Other,Raised,Existing asylum application,1
2012-10-01,2012,4,Albania,Europe Other,Raised,Asylum application raised in quarter,16
2012-10-01,2012,4,Albania,Europe Other,Resolved,18+,8
2012-10-01,2012,4,Albania,Europe Other,Resolved,Less than 18,7
2012-10-01,2012,4,Algeria,Africa North,Raised,Asylum application raised in quarter,1
2012-10-01,2012,4,Algeria,Africa North,Resolved,18+,1
2012-10-01,2012,4,Algeria,Africa North,Resolved,Less than 18,1
2012-10-01,2012,4,Angola,Africa Sub-Saharan,Raised,Asylum application raised in quarter,1
2012-10-01,2012,4,Angola,Africa Sub-Saharan,Resolved,18+,1
2012-10-01,2012,4,Cameroon,Africa Sub-Saharan,Resolved,Less than 18,2
2012-10-01,2012,4,China,Asia East,Raised,Asylum application raised in quarter,1
2012-10-01,2012,4,China,Asia East,Resolved,Less than 18,2
2012-10-01,2012,4,Eritrea,Africa Sub-Saharan,Raised,Asylum application raised in quarter,3
2012-10-01,2012,4,Eritrea,Africa Sub-Saharan,Resolved,Less than 18,3
2012-10-01,2012,4,Eritrea,Africa Sub-Saharan,Resolved,18+,3
2012-10-01,2012,4,Guinea,Africa Sub-Saharan,Resolved,Less than 18,1
2012-10-01,2012,4,Iran,Middle East,Raised,Asylum application raised in quarter,9
2012-10-01,2012,4,Iran,Middle East,Resolved,Less than 18,4
2012-10-01,2012,4,Iran,Middle East,Resolved,18+,5
2012-10-01,2012,4,Iraq,Middle East,Resolved,18+,4
2012-10-01,2012,4,Iraq,Middle East,Resolved,Less than 18,2
2012-10-01,2012,4,Ivory Coast,Africa Sub-Saharan,Raised,Asylum application raised in quarter,1
2012-10-01,2012,4,Kosovo,Europe Other,Resolved,18+,2
2012-10-01,2012,4,Libya,Africa North,Raised,Asylum application raised in quarter,1
2012-10-01,2012,4,Morocco,Africa North,Resolved,18+,1
2012-10-01,2012,4,Niger,Africa Sub-Saharan,Raised,Asylum application raised in quarter,1
2012-10-01,2012,4,Nigeria,Africa Sub-Saharan,Raised,Asylum application raised in quarter,2
2012-10-01,2012,4,Nigeria,Africa Sub-Saharan,Resolved,Less than 18,3
2012-10-01,2012,4,Occupied Palestinian Territories,Middle East,Resolved,Less than 18,1
2012-10-01,2012,4,Pakistan,Asia South,Raised,Asylum application raised in quarter,1
2012-10-01,2012,4,Pakistan,Asia South,Resolved,18+,2
2012-10-01,2012,4,Sierra Leone,Africa Sub-Saharan,Resolved,Less than 18,1
2012-10-01,2012,4,Somalia,Africa Sub-Saharan,Raised,Existing asylum application,1
2012-10-01,2012,4,Somalia,Africa Sub-Saharan,Raised,Asylum application raised in quarter,2
2012-10-01,2012,4,Somalia,Africa Sub-Saharan,Resolved,Less than 18,2
2012-10-01,2012,4,Sri Lanka,Asia South,Raised,Existing asylum application,1
2012-10-01,2012,4,Sri Lanka,Asia South,Resolved,18+,1
2012-10-01,2012,4,Sudan,Africa North,Raised,Asylum application raised in quarter,2
2012-10-01,2012,4,Sudan,Africa North,Resolved,18+,2
2012-10-01,2012,4,Syria,Middle East,Raised,Asylum application raised in quarter,1
2012-10-01,2012,4,Syria,Middle East,Resolved,18+,1
2012-10-01,2012,4,Turkey,Europe Other,Raised,Asylum application raised in quarter,1
2012-10-01,2012,4,Uganda,Africa Sub-Saharan,Raised,Asylum application raised in quarter,2
2012-10-01,2012,4,Uganda,Africa Sub-Saharan,Resolved,18+,2
2012-10-01,2012,4,Vietnam,Asia South East,Raised,Asylum application raised in quarter,14
2012-10-01,2012,4,Vietnam,Asia South East,Raised,Asylum application raised in quarter,1
2012-10-01,2012,4,Vietnam,Asia South East,Resolved,Less than 18,2
2012-10-01,2012,4,Vietnam,Asia South East,Resolved,18+,7
2013-01-01,2013,1,Afghanistan,Asia Central,Raised,Existing asylum application,2
2013-01-01,2013,1,Afghanistan,Asia Central,Raised,Asylum application raised in quarter,12
2013-01-01,2013,1,Afghanistan,Asia Central,Resolved,Less than 18,6
2013-01-01,2013,1,Afghanistan,Asia Central,Resolved,18+,11
2013-01-01,2013,1,Albania,Europe Other,Raised,Existing asylum application,1
2013-01-01,2013,1,Albania,Europe Other,Raised,Asylum application raised in quarter,7
2013-01-01,2013,1,Albania,Europe Other,Resolved,Less than 18,6
2013-01-01,2013,1,Albania,Europe Other,Resolved,18+,4
2013-01-01,2013,1,Algeria,Africa North,Raised,Asylum application raised in quarter,2
2013-01-01,2013,1,Algeria,Africa North,Resolved,18+,2
2013-01-01,2013,1,Angola,Africa Sub-Saharan,Raised,Asylum application raised in quarter,1
2013-01-01,2013,1,Angola,Africa Sub-Saharan,Resolved,Less than 18,2
2013-01-01,2013,1,Angola,Africa Sub-Saharan,Resolved,18+,1
2013-01-01,2013,1,Cameroon,Africa Sub-Saharan,Resolved,Less than 18,1
2013-01-01,2013,1,China,Asia East,Raised,Existing asylum application,1
2013-01-01,2013,1,China,Asia East,Raised,Asylum application raised in quarter,5
2013-01-01,2013,1,China,Asia East,Resolved,Less than 18,1
2013-01-01,2013,1,China,Asia East,Resolved,18+,5
2013-01-01,2013,1,Congo (Democratic Republic),Africa Sub-Saharan,Raised,Asylum application raised in quarter,1
2013-01-01,2013,1,Congo (Democratic Republic),Africa Sub-Saharan,Resolved,18+,1
2013-01-01,2013,1,Eritrea,Africa Sub-Saharan,Raised,Asylum application raised in quarter,3
2013-01-01,2013,1,Eritrea,Africa Sub-Saharan,Resolved,Less than 18,1
2013-01-01,2013,1,Eritrea,Africa Sub-Saharan,Resolved,18+,2
2013-01-01,2013,1,Ethiopia,Africa Sub-Saharan,Raised,Asylum application raised in quarter,1
2013-01-01,2013,1,Guinea,Africa Sub-Saharan,Raised,Asylum application raised in quarter,3
2013-01-01,2013,1,Guinea,Africa Sub-Saharan,Resolved,Less than 18,1
2013-01-01,2013,1,Guinea,Africa Sub-Saharan,Resolved,18+,1
2013-01-01,2013,1,Iran,Middle East,Raised,Existing asylum application,1
2013-01-01,2013,1,Iran,Middle East,Raised,Asylum application raised in quarter,7
2013-01-01,2013,1,Iran,Middle East,Resolved,Less than 18,1
2013-01-01,2013,1,Iran,Middle East,Resolved,18+,5
2013-01-01,2013,1,Iraq,Middle East,Raised,Asylum application raised in quarter,1
2013-01-01,2013,1,Iraq,Middle East,Resolved,Less than 18,1
2013-01-01,2013,1,Iraq,Middle East,Resolved,18+,2
2013-01-01,2013,1,Kosovo,Europe Other,Resolved,Less than 18,2
2013-01-01,2013,1,Kosovo,Europe Other,Resolved,18+,1
2013-01-01,2013,1,Morocco,Africa North,Raised,Asylum application raised in quarter,1
2013-01-01,2013,1,Morocco,Africa North,Resolved,18+,1
2013-01-01,2013,1,Nigeria,Africa Sub-Saharan,Raised,Asylum application raised in quarter,2
2013-01-01,2013,1,Nigeria,Africa Sub-Saharan,Resolved,18+,2
2013-01-01,2013,1,Other and unknown,Other,Raised,Asylum application raised in quarter,1
2013-01-01,2013,1,Other and unknown,Other,Resolved,Less than 18,1
2013-01-01,2013,1,Pakistan,Asia South,Raised,Asylum application raised in quarter,1
2013-01-01,2013,1,Pakistan,Asia South,Resolved,Less than 18,2
2013-01-01,2013,1,Rwanda,Africa Sub-Saharan,Resolved,Less than 18,1
2013-01-01,2013,1,Senegal,Africa Sub-Saharan,Raised,Asylum application raised in quarter,1
2013-01-01,2013,1,Senegal,Africa Sub-Saharan,Resolved,18+,1
2013-01-01,2013,1,Somalia,Africa Sub-Saharan,Raised,Existing asylum application,1
2013-01-01,2013,1,Somalia,Africa Sub-Saharan,Raised,Asylum application raised in quarter,4
2013-01-01,2013,1,Somalia,Africa Sub-Saharan,Resolved,Less than 18,2
2013-01-01,2013,1,Somalia,Africa Sub-Saharan,Resolved,18+,2
2013-01-01,2013,1,Sudan,Africa North,Raised,Asylum application raised in quarter,1
2013-01-01,2013,1,Swaziland,Africa Sub-Saharan,Resolved,Less than 18,1
2013-01-01,2013,1,Syria,Middle East,Raised,Asylum application raised in quarter,4
2013-01-01,2013,1,Syria,Middle East,Resolved,Less than 18,2
2013-01-01,2013,1,Syria,Middle East,Resolved,18+,2
2013-01-01,2013,1,Turkey,Europe Other,Raised,Asylum application raised in quarter,3
2013-01-01,2013,1,Turkey,Europe Other,Resolved,Less than 18,1
2013-01-01,2013,1,Turkey,Europe Other,Resolved,18+,3
2013-01-01,2013,1,Uganda,Africa Sub-Saharan,Resolved,Less than 18,1
2013-01-01,2013,1,Vietnam,Asia South East,Raised,Asylum application raised in quarter,8
2013-01-01,2013,1,Vietnam,Asia South East,Resolved,Less than 18,3
2013-01-01,2013,1,Vietnam,Asia South East,Resolved,18+,6
2013-01-01,2013,1,Western Sahara,Africa North,Raised,Asylum application raised in quarter,1
2013-01-01,2013,1,Western Sahara,Africa North,Resolved,18+,1
2013-04-01,2013,2,Afghanistan,Asia Central,Raised,Existing asylum application,4
2013-04-01,2013,2,Afghanistan,Asia Central,Raised,Asylum application raised in quarter,8
2013-04-01,2013,2,Afghanistan,Asia Central,Resolved,Less than 18,9
2013-04-01,2013,2,Afghanistan,Asia Central,Resolved,18+,12
2013-04-01,2013,2,Albania,Europe Other,Raised,Existing asylum application,2
2013-04-01,2013,2,Albania,Europe Other,Raised,Asylum application raised in quarter,7
2013-04-01,2013,2,Albania,Europe Other,Resolved,Less than 18,7
2013-04-01,2013,2,Albania,Europe Other,Resolved,18+,6
2013-04-01,2013,2,Angola,Africa Sub-Saharan,Raised,Asylum application raised in quarter,1
2013-04-01,2013,2,Angola,Africa Sub-Saharan,Resolved,18+,2
2013-04-01,2013,2,China,Asia East,Resolved,Less than 18,1
2013-04-01,2013,2,Congo (Democratic Republic),Africa Sub-Saharan,Resolved,Less than 18,1
2013-04-01,2013,2,Congo (Democratic Republic),Africa Sub-Saharan,Resolved,18+,1
2013-04-01,2013,2,Egypt,Africa North,Raised,Asylum application raised in quarter,1
2013-04-01,2013,2,Egypt,Africa North,Resolved,Less than 18,1
2013-04-01,2013,2,Eritrea,Africa Sub-Saharan,Raised,Existing asylum application,1
2013-04-01,2013,2,Eritrea,Africa Sub-Saharan,Raised,Asylum application raised in quarter,3
2013-04-01,2013,2,Eritrea,Africa Sub-Saharan,Resolved,Less than 18,3
2013-04-01,2013,2,Eritrea,Africa Sub-Saharan,Resolved,18+,2
2013-04-01,2013,2,Ethiopia,Africa Sub-Saharan,Resolved,Less than 18,1
2013-04-01,2013,2,Ghana,Africa Sub-Saharan,Raised,Asylum application raised in quarter,1
2013-04-01,2013,2,Ghana,Africa Sub-Saharan,Resolved,Less than 18,1
2013-04-01,2013,2,Guinea,Africa Sub-Saharan,Resolved,Less than 18,1
2013-04-01,2013,2,India,Asia South,Raised,Asylum application raised in quarter,1
2013-04-01,2013,2,Iran,Middle East,Raised,Asylum application raised in quarter,7
2013-04-01,2013,2,Iran,Middle East,Resolved,Less than 18,4
2013-04-01,2013,2,Iran,Middle East,Resolved,18+,5
2013-04-01,2013,2,Iraq,Middle East,Raised,Existing asylum application,1
2013-04-01,2013,2,Iraq,Middle East,Raised,Asylum application raised in quarter,1
2013-04-01,2013,2,Iraq,Middle East,Resolved,Less than 18,2
2013-04-01,2013,2,Iraq,Middle East,Resolved,18+,3
2013-04-01,2013,2,Kosovo,Europe Other,Resolved,Less than 18,1
2013-04-01,2013,2,Macedonia,Europe Other,Resolved,18+,1
2013-04-01,2013,2,Malawi,Africa Sub-Saharan,Raised,Asylum application raised in quarter,1
2013-04-01,2013,2,Mali,Africa Sub-Saharan,Raised,Asylum application raised in quarter,1
2013-04-01,2013,2,Mali,Africa Sub-Saharan,Resolved,18+,1
2013-04-01,2013,2,Morocco,Africa North,Raised,Asylum application raised in quarter,1
2013-04-01,2013,2,Morocco,Africa North,Resolved,18+,1
2013-04-01,2013,2,Nigeria,Africa Sub-Saharan,Raised,Existing asylum application,1
2013-04-01,2013,2,Nigeria,Africa Sub-Saharan,Raised,Asylum application raised in quarter,2
2013-04-01,2013,2,Nigeria,Africa Sub-Saharan,Resolved,Less than 18,2
2013-04-01,2013,2,Nigeria,Africa Sub-Saharan,Resolved,18+,2
2013-04-01,2013,2,Occupied Palestinian Territories,Middle East,Raised,Asylum application raised in quarter,1
2013-04-01,2013,2,Occupied Palestinian Territories,Middle East,Resolved,18+,1
2013-04-01,2013,2,Pakistan,Asia South,Raised,Asylum application raised in quarter,1
2013-04-01,2013,2,Sierra Leone,Africa Sub-Saharan,Raised,Asylum application raised in quarter,1
2013-04-01,2013,2,Sierra Leone,Africa Sub-Saharan,Resolved,Less than 18,2
2013-04-01,2013,2,Somalia,Africa Sub-Saharan,Raised,Existing asylum application,1
2013-04-01,2013,2,Somalia,Africa Sub-Saharan,Resolved,Less than 18,2
2013-04-01,2013,2,Somalia,Africa Sub-Saharan,Resolved,18+,2
2013-04-01,2013,2,Sudan,Africa North,Raised,Existing asylum application,1
2013-04-01,2013,2,Sudan,Africa North,Raised,Asylum application raised in quarter,8
2013-04-01,2013,2,Sudan,Africa North,Resolved,Less than 18,4
2013-04-01,2013,2,Sudan,Africa North,Resolved,18+,3
2013-04-01,2013,2,Syria,Middle East,Raised,Existing asylum application,2
2013-04-01,2013,2,Syria,Middle East,Raised,Asylum application raised in quarter,8
2013-04-01,2013,2,Syria,Middle East,Resolved,Less than 18,4
2013-04-01,2013,2,Syria,Middle East,Resolved,18+,6
2013-04-01,2013,2,Uganda,Africa Sub-Saharan,Raised,Asylum application raised in quarter,1
2013-04-01,2013,2,Uganda,Africa Sub-Saharan,Resolved,Less than 18,2
2013-04-01,2013,2,Vietnam,Asia South East,Raised,Asylum application raised in quarter,4
2013-04-01,2013,2,Vietnam,Asia South East,Resolved,Less than 18,1
2013-04-01,2013,2,Vietnam,Asia South East,Resolved,18+,3
2013-07-01,2013,3,Afghanistan,Asia Central,Raised,Asylum application raised in quarter,18
2013-07-01,2013,3,Afghanistan,Asia Central,Resolved,Less than 18,8
2013-07-01,2013,3,Afghanistan,Asia Central,Resolved,18+,14
2013-07-01,2013,3,Albania,Europe Other,Raised,Asylum application raised in quarter,9
2013-07-01,2013,3,Albania,Europe Other,Resolved,Less than 18,2
2013-07-01,2013,3,Albania,Europe Other,Resolved,18+,4
2013-07-01,2013,3,Algeria,Africa North,Resolved,Less than 18,1
2013-07-01,2013,3,Algeria,Africa North,Resolved,18+,1
2013-07-01,2013,3,Angola,Africa Sub-Saharan,Resolved,Less than 18,1
2013-07-01,2013,3,China,Asia East,Resolved,Less than 18,3
2013-07-01,2013,3,Congo,Africa Sub-Saharan,Resolved,Less than 18,1
2013-07-01,2013,3,Congo,Africa Sub-Saharan,Resolved,18+,1
2013-07-01,2013,3,Congo (Democratic Republic),Africa Sub-Saharan,Raised,Asylum application raised in quarter,2
2013-07-01,2013,3,Congo (Democratic Republic),Africa Sub-Saharan,Resolved,Less than 18,1
2013-07-01,2013,3,Congo (Democratic Republic),Africa Sub-Saharan,Resolved,18+,1
2013-07-01,2013,3,Egypt,Africa North,Raised,Asylum application raised in quarter,1
2013-07-01,2013,3,Eritrea,Africa Sub-Saharan,Raised,Asylum application raised in quarter,9
2013-07-01,2013,3,Eritrea,Africa Sub-Saharan,Resolved,Less than 18,4
2013-07-01,2013,3,Eritrea,Africa Sub-Saharan,Resolved,18+,6
2013-07-01,2013,3,Ethiopia,Africa Sub-Saharan,Raised,Asylum application raised in quarter,2
2013-07-01,2013,3,Ethiopia,Africa Sub-Saharan,Resolved,Less than 18,1
2013-07-01,2013,3,"Gambia, The",Africa Sub-Saharan,Raised,Asylum application raised in quarter,1
2013-07-01,2013,3,India,Asia South,Resolved,18+,2
2013-07-01,2013,3,Iran,Middle East,Raised,Asylum application raised in quarter,8
2013-07-01,2013,3,Iran,Middle East,Resolved,Less than 18,5
2013-07-01,2013,3,Iran,Middle East,Resolved,18+,4
2013-07-01,2013,3,Iraq,Middle East,Resolved,Less than 18,1
2013-07-01,2013,3,Iraq,Middle East,Resolved,18+,3
2013-07-01,2013,3,Ivory Coast,Africa Sub-Saharan,Raised,Asylum application raised in quarter,1
2013-07-01,2013,3,Ivory Coast,Africa Sub-Saharan,Resolved,18+,1
2013-07-01,2013,3,Kosovo,Europe Other,Raised,Existing asylum application,1
2013-07-01,2013,3,Kosovo,Europe Other,Resolved,Less than 18,1
2013-07-01,2013,3,Kosovo,Europe Other,Resolved,18+,2
2013-07-01,2013,3,Libya,Africa North,Raised,Existing asylum application,1
2013-07-01,2013,3,Malawi,Africa Sub-Saharan,Raised,Asylum application raised in quarter,1
2013-07-01,2013,3,Malawi,Africa Sub-Saharan,Resolved,Less than 18,1
2013-07-01,2013,3,Pakistan,Asia South,Raised,Asylum application raised in quarter,1
2013-07-01,2013,3,Pakistan,Asia South,Resolved,18+,1
2013-07-01,2013,3,Somalia,Africa Sub-Saharan,Raised,Asylum application raised in quarter,1
2013-07-01,2013,3,Somalia,Africa Sub-Saharan,Resolved,Less than 18,1
2013-07-01,2013,3,Somalia,Africa Sub-Saharan,Resolved,18+,1
2013-07-01,2013,3,Sri Lanka,Asia South,Raised,Asylum application raised in quarter,2
2013-07-01,2013,3,Sri Lanka,Asia South,Resolved,18+,1
2013-07-01,2013,3,Stateless,Other,Raised,Asylum application raised in quarter,2
2013-07-01,2013,3,Stateless,Other,Resolved,18+,2
2013-07-01,2013,3,Sudan,Africa North,Raised,Asylum application raised in quarter,5
2013-07-01,2013,3,Sudan,Africa North,Resolved,Less than 18,1
2013-07-01,2013,3,Sudan,Africa North,Resolved,18+,2
2013-07-01,2013,3,Syria,Middle East,Raised,Existing asylum application,2
2013-07-01,2013,3,Syria,Middle East,Raised,Asylum application raised in quarter,7
2013-07-01,2013,3,Syria,Middle East,Resolved,Less than 18,2
2013-07-01,2013,3,Syria,Middle East,Resolved,18+,6
2013-07-01,2013,3,Turkey,Europe Other,Raised,Asylum application raised in quarter,1
2013-07-01,2013,3,Turkey,Europe Other,Resolved,18+,1
2013-07-01,2013,3,Vietnam,Asia South East,Raised,Asylum application raised in quarter,5
2013-07-01,2013,3,Vietnam,Asia South East,Resolved,18+,3
2013-10-01,2013,4,Afghanistan,Asia Central,Raised,Existing asylum application,3
2013-10-01,2013,4,Afghanistan,Asia Central,Raised,Asylum application raised in quarter,19
2013-10-01,2013,4,Afghanistan,Asia Central,Resolved,Less than 18,11
2013-10-01,2013,4,Afghanistan,Asia Central,Resolved,18+,18
2013-10-01,2013,4,Albania,Europe Other,Raised,Asylum application raised in quarter,18
2013-10-01,2013,4,Albania,Europe Other,Resolved,Less than 18,9
2013-10-01,2013,4,Albania,Europe Other,Resolved,18+,11
2013-10-01,2013,4,Angola,Africa Sub-Saharan,Resolved,18+,2
2013-10-01,2013,4,Bangladesh,Asia South,Resolved,Less than 18,1
2013-10-01,2013,4,China,Asia East,Raised,Asylum application raised in quarter,1
2013-10-01,2013,4,China,Asia East,Resolved,Less than 18,2
2013-10-01,2013,4,China,Asia East,Resolved,18+,3
2013-10-01,2013,4,Congo,Africa Sub-Saharan,Raised,Existing asylum application,1
2013-10-01,2013,4,Congo,Africa Sub-Saharan,Resolved,18+,1
2013-10-01,2013,4,Congo (Democratic Republic),Africa Sub-Saharan,Raised,Asylum application raised in quarter,3
2013-10-01,2013,4,Congo (Democratic Republic),Africa Sub-Saharan,Resolved,Less than 18,2
2013-10-01,2013,4,Eritrea,Africa Sub-Saharan,Raised,Asylum application raised in quarter,15
2013-10-01,2013,4,Eritrea,Africa Sub-Saharan,Resolved,Less than 18,10
2013-10-01,2013,4,Eritrea,Africa Sub-Saharan,Resolved,18+,6
2013-10-01,2013,4,Former Yugoslavia,Europe Other,Raised,Asylum application raised in quarter,1
2013-10-01,2013,4,Former Yugoslavia,Europe Other,Resolved,Less than 18,1
