Year,Nationality,Region,Support type granted,Group type,Applications
2015,Bhutan,Asia South,Subsistence Only,Single adult,1
2015,Bolivia,America Central and South,Accommodation,Family,2
2015,Bolivia,America Central and South,Subsistence Only,Family,1
2015,Bosnia and Herzegovina,Europe Other,Accommodation,Family,1
2015,Botswana,Africa Sub-Saharan,Accommodation,Family,2
2015,Botswana,Africa Sub-Saharan,Accommodation,Single adult,4
2015,Botswana,Africa Sub-Saharan,Closed / Invalid,Single adult,3
2015,Brazil,America Central and South,Accommodation,Single adult,3
2015,Brazil,America Central and South,Closed / Invalid,Family,1
2015,Brazil,America Central and South,Closed / Invalid,Single adult,2
2015,Brazil,America Central and South,Subsistence Only,Single adult,1
2015,Bulgaria,EU 2,Closed / Invalid,Single adult,1
2015,Burkina,Africa Sub-Saharan,Accommodation,Single adult,2
2015,Burma,Asia South East,Accommodation,Family,1
2015,Burma,Asia South East,Accommodation,Single adult,4
2015,Burma,Asia South East,Closed / Invalid,Single adult,4
2015,Burma,Asia South East,Subsistence Only,Single adult,3
2015,Burundi,Africa Sub-Saharan,Accommodation,Family,2
2015,Burundi,Africa Sub-Saharan,Accommodation,Single adult,7
2015,Burundi,Africa Sub-Saharan,Closed / Invalid,Single adult,3
2015,Cameroon,Africa Sub-Saharan,Accommodation,Family,11
2015,Cameroon,Africa Sub-Saharan,Accommodation,Single adult,53
2015,Cameroon,Africa Sub-Saharan,Closed / Invalid,Family,1
2015,Cameroon,Africa Sub-Saharan,Closed / Invalid,Single adult,27
2015,Cameroon,Africa Sub-Saharan,Subsistence Only,Family,1
2015,Cameroon,Africa Sub-Saharan,Subsistence Only,Single adult,3
2015,Canada,America North,Accommodation,Family,1
2015,Canada,America North,Accommodation,Single adult,2
2015,Cape Verde,Africa Sub-Saharan,Accommodation,Family,1
2015,Central African Republic,Africa Sub-Saharan,Accommodation,Single adult,1
2015,Central African Republic,Africa Sub-Saharan,Closed / Invalid,Single adult,1
2015,Chad,Africa Sub-Saharan,Accommodation,Family,1
2015,Chad,Africa Sub-Saharan,Accommodation,Single adult,20
2015,Chad,Africa Sub-Saharan,Closed / Invalid,Single adult,1
2015,China,Asia East,Accommodation,Family,114
2015,China,Asia East,Accommodation,Single adult,40
2015,China,Asia East,Closed / Invalid,Family,5
2015,China,Asia East,Closed / Invalid,Single adult,87
2015,China,Asia East,Subsistence Only,Family,4
2015,China,Asia East,Subsistence Only,Single adult,7
2015,Colombia,America Central and South,Accommodation,Single adult,6
2015,Colombia,America Central and South,Closed / Invalid,Single adult,3
2015,Congo,Africa Sub-Saharan,Accommodation,Family,14
2015,Congo,Africa Sub-Saharan,Accommodation,Single adult,60
2015,Congo,Africa Sub-Saharan,Closed / Invalid,Family,1
2015,Congo,Africa Sub-Saharan,Closed / Invalid,Single adult,23
2015,Congo,Africa Sub-Saharan,Subsistence Only,Family,1
2015,Congo,Africa Sub-Saharan,Subsistence Only,Single adult,9
2015,Congo (Democratic Republic),Africa Sub-Saharan,Accommodation,Family,10
2015,Congo (Democratic Republic),Africa Sub-Saharan,Accommodation,Single adult,45
2015,Congo (Democratic Republic),Africa Sub-Saharan,Closed / Invalid,Single adult,19
2015,Congo (Democratic Republic),Africa Sub-Saharan,Subsistence Only,Family,1
2015,Congo (Democratic Republic),Africa Sub-Saharan,Subsistence Only,Single adult,17
2015,Cuba,America Central and South,Accommodation,Single adult,2
2015,Cuba,America Central and South,Closed / Invalid,Single adult,1
2015,Djibouti,Africa Sub-Saharan,Closed / Invalid,Single adult,2
2015,Dominica,America Central and South,Accommodation,Single adult,1
2015,Egypt,Africa North,Accommodation,Family,11
2015,Egypt,Africa North,Accommodation,Single adult,80
2015,Egypt,Africa North,Closed / Invalid,Family,2
2015,Egypt,Africa North,Closed / Invalid,Single adult,44
2015,Egypt,Africa North,Subsistence Only,Family,3
2015,Egypt,Africa North,Subsistence Only,Single adult,5
2015,El Salvador,America Central and South,Accommodation,Family,6
2015,El Salvador,America Central and South,Accommodation,Single adult,2
2015,El Salvador,America Central and South,Closed / Invalid,Single adult,4
2015,Eritrea,Africa Sub-Saharan,Accommodation,Family,68
2015,Eritrea,Africa Sub-Saharan,Accommodation,Single adult,2957
2015,Eritrea,Africa Sub-Saharan,Closed / Invalid,Single adult,81
2015,Eritrea,Africa Sub-Saharan,Subsistence Only,Family,2
2015,Eritrea,Africa Sub-Saharan,Subsistence Only,Single adult,6
2015,Ethiopia,Africa Sub-Saharan,Accommodation,Family,15
2015,Ethiopia,Africa Sub-Saharan,Accommodation,Single adult,608
2015,Ethiopia,Africa Sub-Saharan,Closed / Invalid,Single adult,26
2015,Ethiopia,Africa Sub-Saharan,Subsistence Only,Family,1
2015,Ethiopia,Africa Sub-Saharan,Subsistence Only,Single adult,3
2015,Fiji,Oceania,Accommodation,Single adult,1
2015,Fiji,Oceania,Closed / Invalid,Single adult,2
2015,Former Yugoslavia,Europe Other,Accommodation,Family,1
2015,France,EU 14,Accommodation,Single adult,1
2015,French Guiana,America Central and South,Accommodation,Family,1
2015,Gabon,Africa Sub-Saharan,Accommodation,Family,1
2015,"Gambia, The",Africa Sub-Saharan,Accommodation,Family,25
2015,"Gambia, The",Africa Sub-Saharan,Accommodation,Single adult,61
2015,"Gambia, The",Africa Sub-Saharan,Closed / Invalid,Family,2
2015,"Gambia, The",Africa Sub-Saharan,Closed / Invalid,Single adult,41
2015,"Gambia, The",Africa Sub-Saharan,Subsistence Only,Family,1
2015,"Gambia, The",Africa Sub-Saharan,Subsistence Only,Single adult,3
2015,Georgia,Europe Other,Accommodation,Family,8
2015,Georgia,Europe Other,Accommodation,Single adult,14
2015,Georgia,Europe Other,Closed / Invalid,Single adult,5
2015,Georgia,Europe Other,Subsistence Only,Family,1
2015,Georgia,Europe Other,Subsistence Only,Single adult,1
2015,Ghana,Africa Sub-Saharan,Accommodation,Family,12
2015,Ghana,Africa Sub-Saharan,Accommodation,Single adult,26
2015,Ghana,Africa Sub-Saharan,Closed / Invalid,Family,1
2015,Ghana,Africa Sub-Saharan,Closed / Invalid,Single adult,18
2015,Ghana,Africa Sub-Saharan,Subsistence Only,Single adult,3
2015,Grenada,America Central and South,Closed / Invalid,Single adult,1
2015,Guatemala,America Central and South,Accommodation,Family,2
2015,Guatemala,America Central and South,Accommodation,Single adult,1
2015,Guinea,Africa Sub-Saharan,Accommodation,Family,3
2015,Guinea,Africa Sub-Saharan,Accommodation,Single adult,11
2015,Guinea,Africa Sub-Saharan,Closed / Invalid,Single adult,7
2015,Guinea,Africa Sub-Saharan,Subsistence Only,Family,1
2015,Guinea-Bissau,Africa Sub-Saharan,Accommodation,Single adult,2
2015,Guyana,America Central and South,Accommodation,Single adult,1
2015,Honduras,America Central and South,Accommodation,Single adult,1
2015,Honduras,America Central and South,Closed / Invalid,Single adult,1
2015,Honduras,America Central and South,Subsistence Only,Single adult,2
2015,Hong Kong,Asia East,Accommodation,Single adult,2
2015,India,Asia South,Accommodation,Family,27
2015,India,Asia South,Accommodation,Single adult,34
2015,India,Asia South,Closed / Invalid,Family,6
2015,India,Asia South,Closed / Invalid,Single adult,57
2015,India,Asia South,Subsistence Only,Family,8
2015,India,Asia South,Subsistence Only,Single adult,13
2015,Indonesia,Asia South East,Accommodation,Single adult,1
2015,Indonesia,Asia South East,Closed / Invalid,Single adult,1
2015,Indonesia,Asia South East,Subsistence Only,Single adult,1
2015,Iran,Middle East,Accommodation,Family,159
2015,Iran,Middle East,Accommodation,Single adult,2482
2015,Iran,Middle East,Closed / Invalid,Family,4
2015,Iran,Middle East,Closed / Invalid,Single adult,252
2015,Iran,Middle East,Subsistence Only,Family,8
2015,Iran,Middle East,Subsistence Only,Single adult,97
2015,Iraq,Middle East,Accommodation,Family,113
2015,Iraq,Middle East,Accommodation,Single adult,1544
2015,Iraq,Middle East,Closed / Invalid,Family,9
2015,Iraq,Middle East,Closed / Invalid,Single adult,179
2015,Iraq,Middle East,Subsistence Only,Family,6
2015,Iraq,Middle East,Subsistence Only,Single adult,58
2015,Israel,Middle East,Accommodation,Single adult,3
2015,Israel,Middle East,Closed / Invalid,Single adult,2
2015,Ivory Coast,Africa Sub-Saharan,Accommodation,Family,5
2015,Ivory Coast,Africa Sub-Saharan,Accommodation,Single adult,14
2015,Ivory Coast,Africa Sub-Saharan,Closed / Invalid,Single adult,11
2015,Ivory Coast,Africa Sub-Saharan,Subsistence Only,Single adult,2
2015,Jamaica,America Central and South,Accommodation,Family,2
2015,Jamaica,America Central and South,Accommodation,Single adult,13
2015,Jamaica,America Central and South,Closed / Invalid,Family,1
2015,Jamaica,America Central and South,Closed / Invalid,Single adult,15
2015,Jamaica,America Central and South,Subsistence Only,Single adult,4
2015,Jordan,Middle East,Accommodation,Family,2
2015,Jordan,Middle East,Accommodation,Single adult,5
2015,Jordan,Middle East,Closed / Invalid,Family,1
2015,Jordan,Middle East,Closed / Invalid,Single adult,5
2015,Jordan,Middle East,Subsistence Only,Family,1
2015,Jordan,Middle East,Subsistence Only,Single adult,3
2015,Kazakhstan,Asia Central,Closed / Invalid,Single adult,1
2015,Kazakhstan,Asia Central,Subsistence Only,Single adult,1
2015,Kenya,Africa Sub-Saharan,Accommodation,Family,6
2015,Kenya,Africa Sub-Saharan,Accommodation,Single adult,24
2015,Kenya,Africa Sub-Saharan,Closed / Invalid,Family,1
2015,Kenya,Africa Sub-Saharan,Closed / Invalid,Single adult,16
2015,Kenya,Africa Sub-Saharan,Subsistence Only,Family,1
2015,Kenya,Africa Sub-Saharan,Subsistence Only,Single adult,2
2015,Korea (North),Asia East,Accommodation,Family,4
2015,Korea (North),Asia East,Accommodation,Single adult,12
2015,Korea (North),Asia East,Closed / Invalid,Family,1
2015,Korea (North),Asia East,Closed / Invalid,Single adult,6
2015,Korea (North),Asia East,Subsistence Only,Single adult,1
2015,Korea (South),Asia East,Accommodation,Family,2
2015,Korea (South),Asia East,Accommodation,Single adult,2
2015,Korea (South),Asia East,Closed / Invalid,Family,1
2015,Korea (South),Asia East,Closed / Invalid,Single adult,3
2015,Kosovo,Europe Other,Accommodation,Family,1
2015,Kosovo,Europe Other,Accommodation,Single adult,5
2015,Kosovo,Europe Other,Closed / Invalid,Single adult,3
2015,Kuwait,Middle East,Accommodation,Family,19
2015,Kuwait,Middle East,Accommodation,Single adult,597
2015,Kuwait,Middle East,Closed / Invalid,Family,1
2015,Kuwait,Middle East,Closed / Invalid,Single adult,55
2015,Kuwait,Middle East,Subsistence Only,Single adult,20
2015,Kyrgyzstan,Asia Central,Accommodation,Family,1
2015,Kyrgyzstan,Asia Central,Accommodation,Single adult,3
2015,Kyrgyzstan,Asia Central,Closed / Invalid,Single adult,2
2015,Latvia,EU 8,Accommodation,Single adult,2
2015,Lebanon,Middle East,Accommodation,Family,13
2015,Lebanon,Middle East,Accommodation,Single adult,11
2015,Lebanon,Middle East,Closed / Invalid,Family,2
2015,Lebanon,Middle East,Closed / Invalid,Single adult,12
2015,Lebanon,Middle East,Subsistence Only,Single adult,2
2015,Lesotho,Africa Sub-Saharan,Accommodation,Single adult,2
2015,Liberia,Africa Sub-Saharan,Accommodation,Family,1
2015,Liberia,Africa Sub-Saharan,Accommodation,Single adult,1
2015,Libya,Africa North,Accommodation,Family,83
2015,Libya,Africa North,Accommodation,Single adult,153
2015,Libya,Africa North,Closed / Invalid,Family,10
2015,Libya,Africa North,Closed / Invalid,Single adult,115
2015,Libya,Africa North,Subsistence Only,Family,4
2015,Libya,Africa North,Subsistence Only,Single adult,23
2015,Lithuania,EU 8,Closed / Invalid,Single adult,1
2015,Madagascar,Africa Sub-Saharan,Subsistence Only,Single adult,1
2015,Malawi,Africa Sub-Saharan,Accommodation,Family,23
2015,Malawi,Africa Sub-Saharan,Accommodation,Single adult,15
2015,Malawi,Africa Sub-Saharan,Closed / Invalid,Family,1
2015,Malawi,Africa Sub-Saharan,Closed / Invalid,Single adult,9
2015,Malawi,Africa Sub-Saharan,Subsistence Only,Single adult,1
2015,Malaysia,Asia South East,Accommodation,Family,2
2015,Malaysia,Asia South East,Accommodation,Single adult,9
2015,Malaysia,Asia South East,Closed / Invalid,Family,1
2015,Malaysia,Asia South East,Closed / Invalid,Single adult,8
2015,Maldives,Asia South,Accommodation,Single adult,2
2015,Mali,Africa Sub-Saharan,Accommodation,Single adult,11
2015,Mali,Africa Sub-Saharan,Closed / Invalid,Single adult,2
2015,Mauritius,Africa Sub-Saharan,Accommodation,Family,6
2015,Mauritius,Africa Sub-Saharan,Accommodation,Single adult,7
2015,Mauritius,Africa Sub-Saharan,Closed / Invalid,Family,2
2015,Mauritius,Africa Sub-Saharan,Closed / Invalid,Single adult,9
2015,Mauritius,Africa Sub-Saharan,Subsistence Only,Single adult,1
2015,Mexico,America Central and South,Accommodation,Family,4
2015,Mexico,America Central and South,Accommodation,Single adult,4
2015,Mexico,America Central and South,Closed / Invalid,Single adult,1
2015,Moldova,Europe Other,Closed / Invalid,Single adult,1
2015,Mongolia,Asia East,Accommodation,Family,2
2015,Mongolia,Asia East,Accommodation,Single adult,2
2015,Mongolia,Asia East,Closed / Invalid,Single adult,2
2015,Morocco,Africa North,Accommodation,Family,5
2015,Morocco,Africa North,Accommodation,Single adult,20
2015,Morocco,Africa North,Closed / Invalid,Family,2
2015,Morocco,Africa North,Closed / Invalid,Single adult,12
2015,Morocco,Africa North,Subsistence Only,Single adult,3
2015,Namibia,Africa Sub-Saharan,Accommodation,Family,8
2015,Namibia,Africa Sub-Saharan,Accommodation,Single adult,3
2015,Namibia,Africa Sub-Saharan,Closed / Invalid,Single adult,3
2015,Nepal,Asia South,Accommodation,Family,2
2015,Nepal,Asia South,Accommodation,Single adult,4
2015,Nepal,Asia South,Closed / Invalid,Family,5
2015,Nepal,Asia South,Closed / Invalid,Single adult,2
2015,Nepal,Asia South,Subsistence Only,Single adult,2
2015,Niger,Africa Sub-Saharan,Accommodation,Single adult,2
2015,Nigeria,Africa Sub-Saharan,Accommodation,Family,182
2015,Nigeria,Africa Sub-Saharan,Accommodation,Single adult,135
2015,Nigeria,Africa Sub-Saharan,Closed / Invalid,Family,14
2015,Nigeria,Africa Sub-Saharan,Closed / Invalid,Single adult,131
2015,Nigeria,Africa Sub-Saharan,Subsistence Only,Family,4
2015,Nigeria,Africa Sub-Saharan,Subsistence Only,Single adult,14
2015,Occupied Palestinian Territories,Middle East,Accommodation,Family,9
2015,Occupied Palestinian Territories,Middle East,Accommodation,Single adult,45
2015,Occupied Palestinian Territories,Middle East,Closed / Invalid,Single adult,22
2015,Occupied Palestinian Territories,Middle East,Subsistence Only,Family,1
2015,Occupied Palestinian Territories,Middle East,Subsistence Only,Single adult,18
2015,Oman,Middle East,Accommodation,Single adult,2
2015,Oman,Middle East,Closed / Invalid,Single adult,1
2015,Other and Unknown,Other,Accommodation,Family,14
2015,Other and Unknown,Other,Accommodation,Single adult,71
2015,Other and Unknown,Other,Closed / Invalid,Family,1
2015,Other and Unknown,Other,Closed / Invalid,Single adult,83
2015,Other and Unknown,Other,Subsistence Only,Family,2
2015,Other and Unknown,Other,Subsistence Only,Single adult,8
2015,Pakistan,Asia South,Accommodation,Family,172
2015,Pakistan,Asia South,Accommodation,Single adult,238
2015,Pakistan,Asia South,Closed / Invalid,Family,29
2015,Pakistan,Asia South,Closed / Invalid,Single adult,331
2015,Pakistan,Asia South,Subsistence Only,Family,18
2015,Pakistan,Asia South,Subsistence Only,Single adult,79
2015,Philippines,Asia South East,Accommodation,Single adult,5
2015,Philippines,Asia South East,Closed / Invalid,Single adult,3
2015,Philippines,Asia South East,Subsistence Only,Family,1
2015,Poland,EU 8,Accommodation,Single adult,2
2015,Romania,EU 2,Accommodation,Single adult,1
2015,Romania,EU 2,Closed / Invalid,Family,1
2015,Russia,Europe Other,Accommodation,Family,12
2015,Russia,Europe Other,Accommodation,Single adult,25
2015,Russia,Europe Other,Closed / Invalid,Single adult,10
2015,Russia,Europe Other,Subsistence Only,Family,1
2015,Russia,Europe Other,Subsistence Only,Single adult,4
2015,Rwanda,Africa Sub-Saharan,Accommodation,Single adult,9
2015,Rwanda,Africa Sub-Saharan,Closed / Invalid,Single adult,3
2015,Saudi Arabia,Middle East,Accommodation,Family,2
2015,Saudi Arabia,Middle East,Accommodation,Single adult,15
2015,Saudi Arabia,Middle East,Closed / Invalid,Single adult,16
2015,Saudi Arabia,Middle East,Subsistence Only,Single adult,3
2015,Senegal,Africa Sub-Saharan,Accommodation,Family,4
2015,Senegal,Africa Sub-Saharan,Accommodation,Single adult,11
2015,Senegal,Africa Sub-Saharan,Closed / Invalid,Single adult,6
2015,Senegal,Africa Sub-Saharan,Subsistence Only,Single adult,1
2015,Serbia,Europe Other,Closed / Invalid,Family,1
2015,Seychelles,Africa Sub-Saharan,Accommodation,Single adult,1
2015,Sierra Leone,Africa Sub-Saharan,Accommodation,Family,9
2015,Sierra Leone,Africa Sub-Saharan,Accommodation,Single adult,15
2015,Sierra Leone,Africa Sub-Saharan,Closed / Invalid,Family,2
2015,Sierra Leone,Africa Sub-Saharan,Closed / Invalid,Single adult,8
2015,Sierra Leone,Africa Sub-Saharan,Subsistence Only,Single adult,2
2015,Somalia,Africa Sub-Saharan,Accommodation,Family,18
2015,Somalia,Africa Sub-Saharan,Accommodation,Single adult,160
2015,Somalia,Africa Sub-Saharan,Closed / Invalid,Family,1
2015,Somalia,Africa Sub-Saharan,Closed / Invalid,Single adult,54
2015,Somalia,Africa Sub-Saharan,Subsistence Only,Family,2
2015,Somalia,Africa Sub-Saharan,Subsistence Only,Single adult,43
2015,South Africa,Africa Sub-Saharan,Accommodation,Family,4
2015,South Africa,Africa Sub-Saharan,Accommodation,Single adult,15
2015,South Africa,Africa Sub-Saharan,Closed / Invalid,Single adult,8
2015,South Africa,Africa Sub-Saharan,Subsistence Only,Single adult,6
2015,Spain,EU 14,Closed / Invalid,Single adult,1
2015,Sri Lanka,Asia South,Accommodation,Family,71
2015,Sri Lanka,Asia South,Accommodation,Single adult,74
2015,Sri Lanka,Asia South,Closed / Invalid,Family,8
2015,Sri Lanka,Asia South,Closed / Invalid,Single adult,113
2015,Sri Lanka,Asia South,Subsistence Only,Family,4
2015,Sri Lanka,Asia South,Subsistence Only,Single adult,36
2015,St. Kitts and Nevis,America Central and South,Closed / Invalid,Single adult,1
2015,St. Lucia,America Central and South,Accommodation,Family,3
2015,St. Lucia,America Central and South,Accommodation,Single adult,1
2015,St. Vincent and the Grenadines,America Central and South,Accommodation,Family,1
2015,St. Vincent and the Grenadines,America Central and South,Accommodation,Single adult,1
2015,St. Vincent and the Grenadines,America Central and South,Closed / Invalid,Single adult,1
2015,St. Vincent and the Grenadines,America Central and South,Subsistence Only,Single adult,1
2015,Stateless,Other,Accommodation,Family,1
2015,Stateless,Other,Accommodation,Single adult,10
2015,Stateless,Other,Closed / Invalid,Single adult,1
2015,Stateless,Other,Subsistence Only,Single adult,1
2015,Sudan,Africa North,Accommodation,Family,39
2015,Sudan,Africa North,Accommodation,Single adult,2758
2015,Sudan,Africa North,Closed / Invalid,Family,2
2015,Sudan,Africa North,Closed / Invalid,Single adult,81
2015,Sudan,Africa North,Subsistence Only,Family,1
2015,Sudan,Africa North,Subsistence Only,Single adult,10
2015,Sudan (South),Africa Sub-Saharan,Accommodation,Single adult,3
2015,Swaziland,Africa Sub-Saharan,Accommodation,Family,1
2015,Swaziland,Africa Sub-Saharan,Accommodation,Single adult,2
2015,Swaziland,Africa Sub-Saharan,Closed / Invalid,Single adult,6
2015,Swaziland,Africa Sub-Saharan,Subsistence Only,Single adult,2
2015,Switzerland,Europe Other,Closed / Invalid,Single adult,1
2015,Syria,Middle East,Accommodation,Family,75
2015,Syria,Middle East,Accommodation,Single adult,1826
2015,Syria,Middle East,Closed / Invalid,Family,1
2015,Syria,Middle East,Closed / Invalid,Single adult,241
2015,Syria,Middle East,Subsistence Only,Family,3
2015,Syria,Middle East,Subsistence Only,Single adult,96
2015,Tajikistan,Asia Central,Closed / Invalid,Single adult,1
2015,Tanzania,Africa Sub-Saharan,Accommodation,Family,4
2015,Tanzania,Africa Sub-Saharan,Accommodation,Single adult,7
2015,Tanzania,Africa Sub-Saharan,Closed / Invalid,Single adult,8
2015,Thailand,Asia South East,Accommodation,Single adult,2
2015,Thailand,Asia South East,Closed / Invalid,Single adult,5
2015,Togo,Africa Sub-Saharan,Accommodation,Single adult,4
2015,Togo,Africa Sub-Saharan,Closed / Invalid,Single adult,1
2015,Tonga,Oceania,Closed / Invalid,Single adult,1
2015,Trinidad and Tobago,America Central and South,Accommodation,Family,3
2015,Trinidad and Tobago,America Central and South,Accommodation,Single adult,10
2015,Trinidad and Tobago,America Central and South,Closed / Invalid,Family,1
2015,Trinidad and Tobago,America Central and South,Closed / Invalid,Single adult,4
2015,Trinidad and Tobago,America Central and South,Subsistence Only,Single adult,3
2015,Tunisia,Africa North,Accommodation,Family,3
2015,Tunisia,Africa North,Accommodation,Single adult,7
2015,Tunisia,Africa North,Closed / Invalid,Single adult,4
2015,Tunisia,Africa North,Subsistence Only,Single adult,2
2015,Turkey,Europe Other,Accommodation,Family,5
2015,Turkey,Europe Other,Accommodation,Single adult,13
2015,Turkey,Europe Other,Closed / Invalid,Family,1
2015,Turkey,Europe Other,Closed / Invalid,Single adult,44
2015,Turkey,Europe Other,Subsistence Only,Family,5
2015,Turkey,Europe Other,Subsistence Only,Single adult,29
2015,Uganda,Africa Sub-Saharan,Accommodation,Family,12
2015,Uganda,Africa Sub-Saharan,Accommodation,Single adult,55
2015,Uganda,Africa Sub-Saharan,Closed / Invalid,Family,2
2015,Uganda,Africa Sub-Saharan,Closed / Invalid,Single adult,39
2015,Uganda,Africa Sub-Saharan,Subsistence Only,Single adult,8
2015,Ukraine,Europe Other,Accommodation,Family,13
2015,Ukraine,Europe Other,Accommodation,Single adult,25
2015,Ukraine,Europe Other,Closed / Invalid,Family,2
2015,Ukraine,Europe Other,Closed / Invalid,Single adult,19
2015,Ukraine,Europe Other,Subsistence Only,Family,1
2015,Ukraine,Europe Other,Subsistence Only,Single adult,4
2015,United Arab Emirates,Middle East,Accommodation,Single adult,4
2015,United Arab Emirates,Middle East,Subsistence Only,Single adult,1
2015,United States,America North,Accommodation,Family,1
2015,United States,America North,Accommodation,Single adult,7
2015,United States,America North,Closed / Invalid,Single adult,8
2015,Uruguay,America Central and South,Accommodation,Single adult,1
2015,Uruguay,America Central and South,Closed / Invalid,Single adult,1
2015,Uzbekistan,Asia Central,Accommodation,Family,4
2015,Uzbekistan,Asia Central,Accommodation,Single adult,2
2015,Uzbekistan,Asia Central,Closed / Invalid,Single adult,1
2015,Venezuela,America Central and South,Accommodation,Single adult,1
2015,Venezuela,America Central and South,Closed / Invalid,Family,1
2015,Venezuela,America Central and South,Closed / Invalid,Single adult,2
2015,Vietnam,Asia South East,Accommodation,Family,14
2015,Vietnam,Asia South East,Accommodation,Single adult,65
2015,Vietnam,Asia South East,Closed / Invalid,Family,2
2015,Vietnam,Asia South East,Closed / Invalid,Single adult,89
2015,Vietnam,Asia South East,Subsistence Only,Single adult,5
2015,Western Sahara,Africa North,Closed / Invalid,Single adult,2
2015,Yemen,Middle East,Accommodation,Family,3
2015,Yemen,Middle East,Accommodation,Single adult,36
2015,Yemen,Middle East,Closed / Invalid,Single adult,18
2015,Yemen,Middle East,Subsistence Only,Family,1
2015,Yemen,Middle East,Subsistence Only,Single adult,11
2015,Zambia,Africa Sub-Saharan,Accommodation,Family,2
2015,Zambia,Africa Sub-Saharan,Accommodation,Single adult,4
2015,Zambia,Africa Sub-Saharan,Closed / Invalid,Single adult,4
2015,Zimbabwe,Africa Sub-Saharan,Accommodation,Family,21
2015,Zimbabwe,Africa Sub-Saharan,Accommodation,Single adult,74
2015,Zimbabwe,Africa Sub-Saharan,Closed / Invalid,Family,9
2015,Zimbabwe,Africa Sub-Saharan,Closed / Invalid,Single adult,51
2015,Zimbabwe,Africa Sub-Saharan,Subsistence Only,Family,2
2015,Zimbabwe,Africa Sub-Saharan,Subsistence Only,Single adult,17
2016,Afghanistan,Asia Central,Accommodation,Family,231
2016,Afghanistan,Asia Central,Accommodation,Single adult,705
2016,Afghanistan,Asia Central,Closed / Invalid,Family,6
2016,Afghanistan,Asia Central,Closed / Invalid,Single adult,394
2016,Afghanistan,Asia Central,Subsistence Only,Family,6
2016,Afghanistan,Asia Central,Subsistence Only,Single adult,83
2016,Albania,Europe Other,Accommodation,Family,291
2016,Albania,Europe Other,Accommodation,Single adult,198
2016,Albania,Europe Other,Closed / Invalid,Family,12
2016,Albania,Europe Other,Closed / Invalid,Single adult,139
2016,Albania,Europe Other,Subsistence Only,Family,38
2016,Albania,Europe Other,Subsistence Only,Single adult,20
2016,Algeria,Africa North,Accommodation,Family,11
2016,Algeria,Africa North,Accommodation,Single adult,44
2016,Algeria,Africa North,Closed / Invalid,Single adult,33
2016,Algeria,Africa North,Subsistence Only,Family,1
2016,Algeria,Africa North,Subsistence Only,Single adult,3
2016,Angola,Africa Sub-Saharan,Accommodation,Family,7
2016,Angola,Africa Sub-Saharan,Accommodation,Single adult,16
2016,Angola,Africa Sub-Saharan,Closed / Invalid,Family,1
2016,Angola,Africa Sub-Saharan,Closed / Invalid,Single adult,8
2016,Antigua and Barbuda,America Central and South,Accommodation,Family,1
2016,Argentina,America Central and South,Accommodation,Family,1
2016,Armenia,Europe Other,Accommodation,Family,4
2016,Armenia,Europe Other,Accommodation,Single adult,5
2016,Armenia,Europe Other,Closed / Invalid,Single adult,8
2016,Armenia,Europe Other,Subsistence Only,Single adult,1
2016,Australia,Oceania,Accommodation,Single adult,1
2016,Australia,Oceania,Closed / Invalid,Single adult,1
2016,Azerbaijan,Europe Other,Accommodation,Family,3
2016,Azerbaijan,Europe Other,Accommodation,Single adult,9
2016,Azerbaijan,Europe Other,Closed / Invalid,Single adult,7
2016,"Bahamas, The",America Central and South,Closed / Invalid,Single adult,1
2016,Bahrain,Middle East,Accommodation,Single adult,3
2016,Bahrain,Middle East,Closed / Invalid,Single adult,4
2016,Bangladesh,Asia South,Accommodation,Family,59
2016,Bangladesh,Asia South,Accommodation,Single adult,43
2016,Bangladesh,Asia South,Closed / Invalid,Family,10
2016,Bangladesh,Asia South,Closed / Invalid,Single adult,114
2016,Bangladesh,Asia South,Subsistence Only,Family,2
2016,Bangladesh,Asia South,Subsistence Only,Single adult,15
2016,Barbados,America Central and South,Accommodation,Single adult,2
2016,Barbados,America Central and South,Closed / Invalid,Single adult,1
2016,Belarus,Europe Other,Accommodation,Family,2
2016,Belarus,Europe Other,Accommodation,Single adult,5
2016,Belarus,Europe Other,Closed / Invalid,Single adult,1
2016,Belize,America Central and South,Accommodation,Single adult,1
2016,Belize,America Central and South,Closed / Invalid,Single adult,1
2016,Benin,Africa Sub-Saharan,Accommodation,Single adult,5
2016,Bolivia,America Central and South,Accommodation,Family,1
2016,Bolivia,America Central and South,Closed / Invalid,Single adult,1
2016,Bolivia,America Central and South,Subsistence Only,Single adult,1
2016,Botswana,Africa Sub-Saharan,Accommodation,Family,1
2016,Botswana,Africa Sub-Saharan,Accommodation,Single adult,7
2016,Botswana,Africa Sub-Saharan,Closed / Invalid,Single adult,2
2016,Botswana,Africa Sub-Saharan,Subsistence Only,Single adult,1
2016,Brazil,America Central and South,Accommodation,Family,2
2016,Brazil,America Central and South,Accommodation,Single adult,4
2016,Brazil,America Central and South,Closed / Invalid,Single adult,4
2016,Brazil,America Central and South,Subsistence Only,Single adult,1
2016,Brunei,Asia South East,Closed / Invalid,Single adult,1
2016,Burkina,Africa Sub-Saharan,Accommodation,Single adult,6
2016,Burkina,Africa Sub-Saharan,Closed / Invalid,Single adult,2
2016,Burma,Asia South East,Accommodation,Family,1
2016,Burma,Asia South East,Accommodation,Single adult,3
