Date,Year,Quarter,Nationality,Region,Sex,Age,Visas granted
2012-07-01,2012,3,Libya,Africa North,Female,18-29,1
2012-07-01,2012,3,Libya,Africa North,Female,Under 18,1
2012-07-01,2012,3,Mozambique,Africa Sub-Saharan,Female,18-29,1
2012-07-01,2012,3,Nigeria,Africa Sub-Saharan,Male,30-49,1
2012-07-01,2012,3,Other and unknown,Other,Female,18-29,3
2012-07-01,2012,3,Other and unknown,Other,Female,30-49,6
2012-07-01,2012,3,Other and unknown,Other,Female,50-69,1
2012-07-01,2012,3,Other and unknown,Other,Female,Under 18,18
2012-07-01,2012,3,Other and unknown,Other,Male,50-69,1
2012-07-01,2012,3,Other and unknown,Other,Male,Under 18,32
2012-07-01,2012,3,Pakistan,Asia South,Male,Under 18,1
2012-07-01,2012,3,Somalia,Africa Sub-Saharan,Female,18-29,14
2012-07-01,2012,3,Somalia,Africa Sub-Saharan,Female,30-49,7
2012-07-01,2012,3,Somalia,Africa Sub-Saharan,Female,Under 18,38
2012-07-01,2012,3,Somalia,Africa Sub-Saharan,Male,18-29,4
2012-07-01,2012,3,Somalia,Africa Sub-Saharan,Male,30-49,9
2012-07-01,2012,3,Somalia,Africa Sub-Saharan,Male,50-69,1
2012-07-01,2012,3,Somalia,Africa Sub-Saharan,Male,Under 18,23
2012-07-01,2012,3,South Africa,Africa Sub-Saharan,Male,Under 18,1
2012-07-01,2012,3,Sri Lanka,Asia South,Female,18-29,9
2012-07-01,2012,3,Sri Lanka,Asia South,Female,30-49,24
2012-07-01,2012,3,Sri Lanka,Asia South,Female,Under 18,32
2012-07-01,2012,3,Sri Lanka,Asia South,Male,18-29,1
2012-07-01,2012,3,Sri Lanka,Asia South,Male,30-49,2
2012-07-01,2012,3,Sri Lanka,Asia South,Male,Under 18,31
2012-07-01,2012,3,Sudan,Africa North,Female,18-29,20
2012-07-01,2012,3,Sudan,Africa North,Female,30-49,11
2012-07-01,2012,3,Sudan,Africa North,Female,50-69,1
2012-07-01,2012,3,Sudan,Africa North,Female,Under 18,28
2012-07-01,2012,3,Sudan,Africa North,Male,30-49,1
2012-07-01,2012,3,Sudan,Africa North,Male,Under 18,28
2012-07-01,2012,3,Syria,Middle East,Female,18-29,6
2012-07-01,2012,3,Syria,Middle East,Female,30-49,5
2012-07-01,2012,3,Syria,Middle East,Female,Under 18,9
2012-07-01,2012,3,Syria,Middle East,Male,30-49,1
2012-07-01,2012,3,Syria,Middle East,Male,Under 18,10
2012-07-01,2012,3,Turkey,Europe Other,Female,30-49,4
2012-07-01,2012,3,Turkey,Europe Other,Female,Under 18,4
2012-07-01,2012,3,Turkey,Europe Other,Male,Under 18,5
2012-07-01,2012,3,Uganda,Africa Sub-Saharan,Female,Under 18,6
2012-07-01,2012,3,Uganda,Africa Sub-Saharan,Male,Under 18,2
2012-07-01,2012,3,Uzbekistan,Asia Central,Female,50-69,1
2012-07-01,2012,3,Yemen,Middle East,Female,18-29,1
2012-07-01,2012,3,Yemen,Middle East,Male,Under 18,1
2012-07-01,2012,3,Zimbabwe,Africa Sub-Saharan,Female,18-29,1
2012-07-01,2012,3,Zimbabwe,Africa Sub-Saharan,Female,30-49,3
2012-07-01,2012,3,Zimbabwe,Africa Sub-Saharan,Female,Under 18,25
2012-07-01,2012,3,Zimbabwe,Africa Sub-Saharan,Male,18-29,3
2012-07-01,2012,3,Zimbabwe,Africa Sub-Saharan,Male,30-49,2
2012-07-01,2012,3,Zimbabwe,Africa Sub-Saharan,Male,50-69,2
2012-07-01,2012,3,Zimbabwe,Africa Sub-Saharan,Male,Under 18,28
2012-10-01,2012,4,Afghanistan,Asia Central,Female,18-29,18
2012-10-01,2012,4,Afghanistan,Asia Central,Female,30-49,10
2012-10-01,2012,4,Afghanistan,Asia Central,Female,50-69,1
2012-10-01,2012,4,Afghanistan,Asia Central,Female,Under 18,39
2012-10-01,2012,4,Afghanistan,Asia Central,Male,18-29,2
2012-10-01,2012,4,Afghanistan,Asia Central,Male,30-49,2
2012-10-01,2012,4,Afghanistan,Asia Central,Male,50-69,1
2012-10-01,2012,4,Afghanistan,Asia Central,Male,Under 18,39
2012-10-01,2012,4,Albania,Europe Other,Female,50-69,1
2012-10-01,2012,4,Albania,Europe Other,Male,Under 18,1
2012-10-01,2012,4,Bahrain,Middle East,Female,18-29,2
2012-10-01,2012,4,Bahrain,Middle East,Female,Under 18,1
2012-10-01,2012,4,Bahrain,Middle East,Male,Under 18,1
2012-10-01,2012,4,Bangladesh,Asia South,Female,30-49,1
2012-10-01,2012,4,Bangladesh,Asia South,Female,Under 18,1
2012-10-01,2012,4,Bangladesh,Asia South,Male,Under 18,4
2012-10-01,2012,4,Benin,Africa Sub-Saharan,Female,Under 18,1
2012-10-01,2012,4,Cameroon,Africa Sub-Saharan,Female,30-49,1
2012-10-01,2012,4,Cameroon,Africa Sub-Saharan,Female,50-69,1
2012-10-01,2012,4,Cameroon,Africa Sub-Saharan,Female,Under 18,7
2012-10-01,2012,4,Cameroon,Africa Sub-Saharan,Male,50-69,1
2012-10-01,2012,4,Cameroon,Africa Sub-Saharan,Male,Under 18,3
2012-10-01,2012,4,Canada,America North,Male,Under 18,1
2012-10-01,2012,4,China,Asia East,Male,Under 18,3
2012-10-01,2012,4,Colombia,America Central and South,Male,Under 18,1
2012-10-01,2012,4,Comoros,Africa Sub-Saharan,Female,Under 18,1
2012-10-01,2012,4,Comoros,Africa Sub-Saharan,Male,Under 18,2
2012-10-01,2012,4,Congo,Africa Sub-Saharan,Male,Under 18,2
2012-10-01,2012,4,Congo (Democratic Republic),Africa Sub-Saharan,Female,50-69,1
2012-10-01,2012,4,Congo (Democratic Republic),Africa Sub-Saharan,Female,Under 18,5
2012-10-01,2012,4,Congo (Democratic Republic),Africa Sub-Saharan,Male,30-49,2
2012-10-01,2012,4,Congo (Democratic Republic),Africa Sub-Saharan,Male,Under 18,5
2012-10-01,2012,4,Egypt,Africa North,Male,18-29,1
2012-10-01,2012,4,Egypt,Africa North,Male,30-49,1
2012-10-01,2012,4,Egypt,Africa North,Male,50-69,2
2012-10-01,2012,4,Eritrea,Africa Sub-Saharan,Female,18-29,28
2012-10-01,2012,4,Eritrea,Africa Sub-Saharan,Female,30-49,6
2012-10-01,2012,4,Eritrea,Africa Sub-Saharan,Female,Under 18,13
2012-10-01,2012,4,Eritrea,Africa Sub-Saharan,Male,18-29,2
2012-10-01,2012,4,Eritrea,Africa Sub-Saharan,Male,30-49,10
2012-10-01,2012,4,Eritrea,Africa Sub-Saharan,Male,Under 18,10
2012-10-01,2012,4,Ethiopia,Africa Sub-Saharan,Female,18-29,3
2012-10-01,2012,4,Ethiopia,Africa Sub-Saharan,Female,30-49,3
2012-10-01,2012,4,Ethiopia,Africa Sub-Saharan,Female,Under 18,6
2012-10-01,2012,4,Ethiopia,Africa Sub-Saharan,Male,18-29,1
2012-10-01,2012,4,Ethiopia,Africa Sub-Saharan,Male,30-49,1
2012-10-01,2012,4,Ethiopia,Africa Sub-Saharan,Male,Under 18,8
2012-10-01,2012,4,Gabon,Africa Sub-Saharan,Female,Under 18,1
2012-10-01,2012,4,"Gambia, The",Africa Sub-Saharan,Female,Under 18,8
2012-10-01,2012,4,"Gambia, The",Africa Sub-Saharan,Male,30-49,1
2012-10-01,2012,4,"Gambia, The",Africa Sub-Saharan,Male,50-69,1
2012-10-01,2012,4,"Gambia, The",Africa Sub-Saharan,Male,Under 18,1
2012-10-01,2012,4,Guinea,Africa Sub-Saharan,Female,30-49,1
2012-10-01,2012,4,Guinea,Africa Sub-Saharan,Female,Under 18,2
2012-10-01,2012,4,Guinea,Africa Sub-Saharan,Male,Under 18,2
2012-10-01,2012,4,India,Asia South,Male,Under 18,2
2012-10-01,2012,4,Iran,Middle East,Female,18-29,12
2012-10-01,2012,4,Iran,Middle East,Female,30-49,20
2012-10-01,2012,4,Iran,Middle East,Female,50-69,1
2012-10-01,2012,4,Iran,Middle East,Female,Under 18,22
2012-10-01,2012,4,Iran,Middle East,Male,18-29,1
2012-10-01,2012,4,Iran,Middle East,Male,30-49,14
2012-10-01,2012,4,Iran,Middle East,Male,50-69,2
2012-10-01,2012,4,Iran,Middle East,Male,Under 18,22
2012-10-01,2012,4,Iraq,Middle East,Female,18-29,2
2012-10-01,2012,4,Iraq,Middle East,Female,30-49,8
2012-10-01,2012,4,Iraq,Middle East,Female,50-69,1
2012-10-01,2012,4,Iraq,Middle East,Female,Under 18,12
2012-10-01,2012,4,Iraq,Middle East,Male,18-29,2
2012-10-01,2012,4,Iraq,Middle East,Male,30-49,8
2012-10-01,2012,4,Iraq,Middle East,Male,50-69,2
2012-10-01,2012,4,Iraq,Middle East,Male,Under 18,13
2012-10-01,2012,4,Ivory Coast,Africa Sub-Saharan,Male,18-29,1
2012-10-01,2012,4,Ivory Coast,Africa Sub-Saharan,Male,Under 18,1
2012-10-01,2012,4,Kazakhstan,Asia Central,Female,18-29,1
2012-10-01,2012,4,Kazakhstan,Asia Central,Female,Under 18,1
2012-10-01,2012,4,Kazakhstan,Asia Central,Male,Under 18,1
2012-10-01,2012,4,Kuwait,Middle East,Female,30-49,1
2012-10-01,2012,4,Libya,Africa North,Female,18-29,1
2012-10-01,2012,4,Other and unknown,Other,Female,18-29,4
2012-10-01,2012,4,Other and unknown,Other,Female,30-49,11
2012-10-01,2012,4,Other and unknown,Other,Female,50-69,1
2012-10-01,2012,4,Other and unknown,Other,Female,Under 18,37
2012-10-01,2012,4,Other and unknown,Other,Male,30-49,3
2012-10-01,2012,4,Other and unknown,Other,Male,Under 18,31
2012-10-01,2012,4,Pakistan,Asia South,Female,18-29,9
2012-10-01,2012,4,Pakistan,Asia South,Female,30-49,19
2012-10-01,2012,4,Pakistan,Asia South,Female,50-69,6
2012-10-01,2012,4,Pakistan,Asia South,Female,Under 18,39
2012-10-01,2012,4,Pakistan,Asia South,Male,30-49,9
2012-10-01,2012,4,Pakistan,Asia South,Male,50-69,1
2012-10-01,2012,4,Pakistan,Asia South,Male,Under 18,35
2012-10-01,2012,4,Russia,Europe Other,Female,30-49,1
2012-10-01,2012,4,Rwanda,Africa Sub-Saharan,Female,30-49,1
2012-10-01,2012,4,Rwanda,Africa Sub-Saharan,Male,Under 18,1
2012-10-01,2012,4,Serbia,Europe Other,Male,Under 18,1
2012-10-01,2012,4,Somalia,Africa Sub-Saharan,Female,18-29,10
2012-10-01,2012,4,Somalia,Africa Sub-Saharan,Female,30-49,6
2012-10-01,2012,4,Somalia,Africa Sub-Saharan,Female,70+,1
2012-10-01,2012,4,Somalia,Africa Sub-Saharan,Female,Under 18,58
2012-10-01,2012,4,Somalia,Africa Sub-Saharan,Male,18-29,6
2012-10-01,2012,4,Somalia,Africa Sub-Saharan,Male,30-49,9
2012-10-01,2012,4,Somalia,Africa Sub-Saharan,Male,50-69,4
2012-10-01,2012,4,Somalia,Africa Sub-Saharan,Male,Under 18,59
2012-10-01,2012,4,Sri Lanka,Asia South,Female,18-29,7
2012-10-01,2012,4,Sri Lanka,Asia South,Female,30-49,19
2012-10-01,2012,4,Sri Lanka,Asia South,Female,50-69,1
2012-10-01,2012,4,Sri Lanka,Asia South,Female,Under 18,21
2012-10-01,2012,4,Sri Lanka,Asia South,Male,Under 18,22
2012-10-01,2012,4,Sudan,Africa North,Female,18-29,14
2012-10-01,2012,4,Sudan,Africa North,Female,30-49,13
2012-10-01,2012,4,Sudan,Africa North,Female,Under 18,20
2012-10-01,2012,4,Sudan,Africa North,Male,30-49,2
2012-10-01,2012,4,Sudan,Africa North,Male,Under 18,22
2012-10-01,2012,4,Syria,Middle East,Female,18-29,12
2012-10-01,2012,4,Syria,Middle East,Female,30-49,12
2012-10-01,2012,4,Syria,Middle East,Female,50-69,1
2012-10-01,2012,4,Syria,Middle East,Female,Under 18,24
2012-10-01,2012,4,Syria,Middle East,Male,30-49,4
2012-10-01,2012,4,Syria,Middle East,Male,Under 18,28
2012-10-01,2012,4,Togo,Africa Sub-Saharan,Female,30-49,1
2012-10-01,2012,4,Togo,Africa Sub-Saharan,Female,Under 18,2
2012-10-01,2012,4,Turkey,Europe Other,Female,18-29,1
2012-10-01,2012,4,Turkey,Europe Other,Female,30-49,3
2012-10-01,2012,4,Turkey,Europe Other,Female,Under 18,2
2012-10-01,2012,4,Turkey,Europe Other,Male,Under 18,4
2012-10-01,2012,4,Uganda,Africa Sub-Saharan,Female,Under 18,5
2012-10-01,2012,4,Uganda,Africa Sub-Saharan,Male,18-29,1
2012-10-01,2012,4,Yemen,Middle East,Male,Under 18,1
2012-10-01,2012,4,Zimbabwe,Africa Sub-Saharan,Female,18-29,3
2012-10-01,2012,4,Zimbabwe,Africa Sub-Saharan,Female,30-49,4
2012-10-01,2012,4,Zimbabwe,Africa Sub-Saharan,Female,Under 18,30
2012-10-01,2012,4,Zimbabwe,Africa Sub-Saharan,Male,18-29,1
2012-10-01,2012,4,Zimbabwe,Africa Sub-Saharan,Male,Under 18,32
2013-01-01,2013,1,Afghanistan,Asia Central,Female,18-29,5
2013-01-01,2013,1,Afghanistan,Asia Central,Female,30-49,1
2013-01-01,2013,1,Afghanistan,Asia Central,Female,Under 18,9
2013-01-01,2013,1,Afghanistan,Asia Central,Male,18-29,1
2013-01-01,2013,1,Afghanistan,Asia Central,Male,30-49,1
2013-01-01,2013,1,Afghanistan,Asia Central,Male,50-69,2
2013-01-01,2013,1,Afghanistan,Asia Central,Male,Under 18,10
2013-01-01,2013,1,Armenia,Europe Other,Female,30-49,1
2013-01-01,2013,1,Bahrain,Middle East,Female,Under 18,1
2013-01-01,2013,1,Benin,Africa Sub-Saharan,Male,18-29,1
2013-01-01,2013,1,Burma,Asia South East,Female,18-29,1
2013-01-01,2013,1,Burma,Asia South East,Female,30-49,2
2013-01-01,2013,1,Burma,Asia South East,Female,Under 18,1
2013-01-01,2013,1,Cameroon,Africa Sub-Saharan,Female,18-29,1
2013-01-01,2013,1,Cameroon,Africa Sub-Saharan,Female,30-49,1
2013-01-01,2013,1,Cameroon,Africa Sub-Saharan,Female,Under 18,3
2013-01-01,2013,1,Cameroon,Africa Sub-Saharan,Male,Under 18,3
2013-01-01,2013,1,China,Asia East,Female,30-49,2
2013-01-01,2013,1,China,Asia East,Female,Under 18,1
2013-01-01,2013,1,China,Asia East,Male,Under 18,3
2013-01-01,2013,1,Congo (Democratic Republic),Africa Sub-Saharan,Female,18-29,4
2013-01-01,2013,1,Congo (Democratic Republic),Africa Sub-Saharan,Female,Under 18,9
2013-01-01,2013,1,Congo (Democratic Republic),Africa Sub-Saharan,Male,Under 18,12
2013-01-01,2013,1,Egypt,Africa North,Female,30-49,2
2013-01-01,2013,1,Egypt,Africa North,Female,Under 18,3
2013-01-01,2013,1,Egypt,Africa North,Male,30-49,3
2013-01-01,2013,1,Egypt,Africa North,Male,Under 18,3
2013-01-01,2013,1,Eritrea,Africa Sub-Saharan,Female,18-29,27
2013-01-01,2013,1,Eritrea,Africa Sub-Saharan,Female,30-49,11
2013-01-01,2013,1,Eritrea,Africa Sub-Saharan,Female,Under 18,25
2013-01-01,2013,1,Eritrea,Africa Sub-Saharan,Male,18-29,9
2013-01-01,2013,1,Eritrea,Africa Sub-Saharan,Male,30-49,15
2013-01-01,2013,1,Eritrea,Africa Sub-Saharan,Male,Under 18,33
2013-01-01,2013,1,Ethiopia,Africa Sub-Saharan,Female,18-29,3
2013-01-01,2013,1,Ethiopia,Africa Sub-Saharan,Female,30-49,1
2013-01-01,2013,1,Ethiopia,Africa Sub-Saharan,Female,Under 18,4
2013-01-01,2013,1,Ethiopia,Africa Sub-Saharan,Male,18-29,1
2013-01-01,2013,1,Ethiopia,Africa Sub-Saharan,Male,30-49,1
2013-01-01,2013,1,Ethiopia,Africa Sub-Saharan,Male,Under 18,3
2013-01-01,2013,1,"Gambia, The",Africa Sub-Saharan,Female,Under 18,3
2013-01-01,2013,1,"Gambia, The",Africa Sub-Saharan,Male,Under 18,3
2013-01-01,2013,1,Guinea,Africa Sub-Saharan,Female,30-49,2
2013-01-01,2013,1,India,Asia South,Female,18-29,1
2013-01-01,2013,1,Iran,Middle East,Female,18-29,7
2013-01-01,2013,1,Iran,Middle East,Female,30-49,23
2013-01-01,2013,1,Iran,Middle East,Female,50-69,1
2013-01-01,2013,1,Iran,Middle East,Female,Under 18,13
2013-01-01,2013,1,Iran,Middle East,Male,30-49,15
2013-01-01,2013,1,Iran,Middle East,Male,50-69,2
2013-01-01,2013,1,Iran,Middle East,Male,Under 18,19
2013-01-01,2013,1,Iraq,Middle East,Female,Under 18,1
2013-01-01,2013,1,Iraq,Middle East,Male,30-49,1
2013-01-01,2013,1,Iraq,Middle East,Male,Under 18,1
2013-01-01,2013,1,Ivory Coast,Africa Sub-Saharan,Female,Under 18,2
2013-01-01,2013,1,Ivory Coast,Africa Sub-Saharan,Male,18-29,1
2013-01-01,2013,1,Ivory Coast,Africa Sub-Saharan,Male,Under 18,3
2013-01-01,2013,1,Jordan,Middle East,Female,30-49,1
2013-01-01,2013,1,Jordan,Middle East,Male,30-49,1
2013-01-01,2013,1,Kazakhstan,Asia Central,Female,30-49,1
2013-01-01,2013,1,Kazakhstan,Asia Central,Male,Under 18,3
2013-01-01,2013,1,Kenya,Africa Sub-Saharan,Male,30-49,1
2013-01-01,2013,1,Kenya,Africa Sub-Saharan,Male,Under 18,2
2013-01-01,2013,1,Kuwait,Middle East,Female,Under 18,1
2013-01-01,2013,1,Malawi,Africa Sub-Saharan,Female,30-49,1
2013-01-01,2013,1,Maldives,Asia South,Female,30-49,1
2013-01-01,2013,1,Maldives,Asia South,Female,Under 18,4
2013-01-01,2013,1,Mali,Africa Sub-Saharan,Male,Under 18,1
2013-01-01,2013,1,Nigeria,Africa Sub-Saharan,Female,Under 18,1
2013-01-01,2013,1,Other and unknown,Other,Female,18-29,2
2013-01-01,2013,1,Other and unknown,Other,Female,30-49,3
2013-01-01,2013,1,Other and unknown,Other,Female,Under 18,7
2013-01-01,2013,1,Other and unknown,Other,Male,Under 18,12
2013-01-01,2013,1,Pakistan,Asia South,Female,18-29,6
2013-01-01,2013,1,Pakistan,Asia South,Female,30-49,3
2013-01-01,2013,1,Pakistan,Asia South,Female,50-69,2
2013-01-01,2013,1,Pakistan,Asia South,Female,Under 18,7
2013-01-01,2013,1,Pakistan,Asia South,Male,30-49,2
2013-01-01,2013,1,Pakistan,Asia South,Male,50-69,1
2013-01-01,2013,1,Pakistan,Asia South,Male,Under 18,11
2013-01-01,2013,1,Russia,Europe Other,Male,30-49,1
2013-01-01,2013,1,Rwanda,Africa Sub-Saharan,Female,18-29,1
2013-01-01,2013,1,Rwanda,Africa Sub-Saharan,Male,Under 18,2
2013-01-01,2013,1,Sierra Leone,Africa Sub-Saharan,Female,Under 18,2
2013-01-01,2013,1,Somalia,Africa Sub-Saharan,Female,18-29,18
2013-01-01,2013,1,Somalia,Africa Sub-Saharan,Female,30-49,12
2013-01-01,2013,1,Somalia,Africa Sub-Saharan,Female,50-69,1
2013-01-01,2013,1,Somalia,Africa Sub-Saharan,Female,Under 18,68
2013-01-01,2013,1,Somalia,Africa Sub-Saharan,Male,18-29,4
2013-01-01,2013,1,Somalia,Africa Sub-Saharan,Male,30-49,6
2013-01-01,2013,1,Somalia,Africa Sub-Saharan,Male,50-69,2
2013-01-01,2013,1,Somalia,Africa Sub-Saharan,Male,Under 18,63
2013-01-01,2013,1,Sri Lanka,Asia South,Female,18-29,10
2013-01-01,2013,1,Sri Lanka,Asia South,Female,30-49,26
2013-01-01,2013,1,Sri Lanka,Asia South,Female,50-69,1
2013-01-01,2013,1,Sri Lanka,Asia South,Female,Under 18,29
2013-01-01,2013,1,Sri Lanka,Asia South,Male,18-29,1
2013-01-01,2013,1,Sri Lanka,Asia South,Male,Under 18,36
2013-01-01,2013,1,Sudan,Africa North,Female,18-29,33
2013-01-01,2013,1,Sudan,Africa North,Female,30-49,10
2013-01-01,2013,1,Sudan,Africa North,Female,Under 18,25
2013-01-01,2013,1,Sudan,Africa North,Male,30-49,1
2013-01-01,2013,1,Sudan,Africa North,Male,Under 18,22
2013-01-01,2013,1,Syria,Middle East,Female,18-29,15
2013-01-01,2013,1,Syria,Middle East,Female,30-49,16
2013-01-01,2013,1,Syria,Middle East,Female,Under 18,40
2013-01-01,2013,1,Syria,Middle East,Male,18-29,1
2013-01-01,2013,1,Syria,Middle East,Male,30-49,3
2013-01-01,2013,1,Syria,Middle East,Male,Under 18,39
2013-01-01,2013,1,Turkey,Europe Other,Female,18-29,1
2013-01-01,2013,1,Turkey,Europe Other,Female,30-49,2
2013-01-01,2013,1,Turkey,Europe Other,Female,Under 18,1
2013-01-01,2013,1,Turkey,Europe Other,Male,Under 18,4
2013-01-01,2013,1,Uganda,Africa Sub-Saharan,Female,30-49,1
2013-01-01,2013,1,Uganda,Africa Sub-Saharan,Female,Under 18,3
2013-01-01,2013,1,Uganda,Africa Sub-Saharan,Male,30-49,1
2013-01-01,2013,1,Uganda,Africa Sub-Saharan,Male,Under 18,6
2013-01-01,2013,1,Ukraine,Europe Other,Female,30-49,1
2013-01-01,2013,1,Ukraine,Europe Other,Male,Under 18,1
2013-01-01,2013,1,United States,America North,Female,Under 18,1
2013-01-01,2013,1,Yemen,Middle East,Female,18-29,2
2013-01-01,2013,1,Yemen,Middle East,Female,Under 18,2
2013-01-01,2013,1,Yemen,Middle East,Male,Under 18,3
2013-01-01,2013,1,Zimbabwe,Africa Sub-Saharan,Female,18-29,3
2013-01-01,2013,1,Zimbabwe,Africa Sub-Saharan,Female,30-49,1
2013-01-01,2013,1,Zimbabwe,Africa Sub-Saharan,Female,Under 18,11
2013-01-01,2013,1,Zimbabwe,Africa Sub-Saharan,Male,18-29,2
2013-01-01,2013,1,Zimbabwe,Africa Sub-Saharan,Male,30-49,3
2013-01-01,2013,1,Zimbabwe,Africa Sub-Saharan,Male,Under 18,20
2013-04-01,2013,2,Afghanistan,Asia Central,Female,18-29,2
2013-04-01,2013,2,Afghanistan,Asia Central,Female,30-49,7
2013-04-01,2013,2,Afghanistan,Asia Central,Female,50-69,1
2013-04-01,2013,2,Afghanistan,Asia Central,Female,Under 18,17
2013-04-01,2013,2,Afghanistan,Asia Central,Male,30-49,2
2013-04-01,2013,2,Afghanistan,Asia Central,Male,50-69,1
2013-04-01,2013,2,Afghanistan,Asia Central,Male,Under 18,15
2013-04-01,2013,2,Albania,Europe Other,Female,18-29,1
2013-04-01,2013,2,Angola,Africa Sub-Saharan,Male,30-49,1
2013-04-01,2013,2,Bahrain,Middle East,Female,18-29,1
2013-04-01,2013,2,Bahrain,Middle East,Female,30-49,1
2013-04-01,2013,2,Bahrain,Middle East,Female,Under 18,2
2013-04-01,2013,2,Bahrain,Middle East,Male,Under 18,3
2013-04-01,2013,2,Bangladesh,Asia South,Female,50-69,1
2013-04-01,2013,2,Bangladesh,Asia South,Female,Under 18,1
2013-04-01,2013,2,Cameroon,Africa Sub-Saharan,Female,18-29,1
2013-04-01,2013,2,Cameroon,Africa Sub-Saharan,Female,Under 18,2
2013-04-01,2013,2,Cameroon,Africa Sub-Saharan,Male,Under 18,4
2013-04-01,2013,2,Canada,America North,Male,Under 18,1
2013-04-01,2013,2,China,Asia East,Female,30-49,1
2013-04-01,2013,2,China,Asia East,Female,Under 18,1
2013-04-01,2013,2,China,Asia East,Male,Under 18,4
2013-04-01,2013,2,Congo,Africa Sub-Saharan,Female,30-49,1
2013-04-01,2013,2,Congo (Democratic Republic),Africa Sub-Saharan,Female,30-49,4
2013-04-01,2013,2,Congo (Democratic Republic),Africa Sub-Saharan,Female,Under 18,7
2013-04-01,2013,2,Congo (Democratic Republic),Africa Sub-Saharan,Male,18-29,1
2013-04-01,2013,2,Congo (Democratic Republic),Africa Sub-Saharan,Male,30-49,1
2013-04-01,2013,2,Congo (Democratic Republic),Africa Sub-Saharan,Male,50-69,1
2013-04-01,2013,2,Congo (Democratic Republic),Africa Sub-Saharan,Male,Under 18,11
2013-04-01,2013,2,Egypt,Africa North,Female,18-29,2
2013-04-01,2013,2,Egypt,Africa North,Female,30-49,1
2013-04-01,2013,2,Egypt,Africa North,Female,Under 18,2
2013-04-01,2013,2,Egypt,Africa North,Male,30-49,1
2013-04-01,2013,2,Egypt,Africa North,Male,50-69,1
2013-04-01,2013,2,Egypt,Africa North,Male,Under 18,3
2013-04-01,2013,2,Eritrea,Africa Sub-Saharan,Female,18-29,24
2013-04-01,2013,2,Eritrea,Africa Sub-Saharan,Female,30-49,4
2013-04-01,2013,2,Eritrea,Africa Sub-Saharan,Female,Under 18,12
2013-04-01,2013,2,Eritrea,Africa Sub-Saharan,Male,18-29,6
2013-04-01,2013,2,Eritrea,Africa Sub-Saharan,Male,30-49,11
2013-04-01,2013,2,Eritrea,Africa Sub-Saharan,Male,50-69,2
2013-04-01,2013,2,Eritrea,Africa Sub-Saharan,Male,Under 18,15
2013-04-01,2013,2,Ethiopia,Africa Sub-Saharan,Female,18-29,1
2013-04-01,2013,2,Ethiopia,Africa Sub-Saharan,Female,30-49,3
2013-04-01,2013,2,Ethiopia,Africa Sub-Saharan,Female,Under 18,6
2013-04-01,2013,2,Ethiopia,Africa Sub-Saharan,Male,18-29,1
2013-04-01,2013,2,Ethiopia,Africa Sub-Saharan,Male,30-49,1
2013-04-01,2013,2,Ethiopia,Africa Sub-Saharan,Male,Under 18,3
2013-04-01,2013,2,"Gambia, The",Africa Sub-Saharan,Female,30-49,1
2013-04-01,2013,2,"Gambia, The",Africa Sub-Saharan,Male,Under 18,4
2013-04-01,2013,2,Guinea,Africa Sub-Saharan,Female,18-29,1
2013-04-01,2013,2,Guinea,Africa Sub-Saharan,Female,30-49,1
2013-04-01,2013,2,Guinea,Africa Sub-Saharan,Female,Under 18,1
2013-04-01,2013,2,Iran,Middle East,Female,18-29,9
2013-04-01,2013,2,Iran,Middle East,Female,30-49,15
2013-04-01,2013,2,Iran,Middle East,Female,50-69,2
2013-04-01,2013,2,Iran,Middle East,Female,Under 18,9
2013-04-01,2013,2,Iran,Middle East,Male,18-29,1
2013-04-01,2013,2,Iran,Middle East,Male,30-49,3
2013-04-01,2013,2,Iran,Middle East,Male,Under 18,15
2013-04-01,2013,2,Iraq,Middle East,Female,30-49,2
2013-04-01,2013,2,Iraq,Middle East,Female,Under 18,2
2013-04-01,2013,2,Iraq,Middle East,Male,Under 18,1
2013-04-01,2013,2,Ivory Coast,Africa Sub-Saharan,Female,Under 18,4
2013-04-01,2013,2,Ivory Coast,Africa Sub-Saharan,Male,Under 18,1
2013-04-01,2013,2,Kuwait,Middle East,Male,Under 18,1
2013-04-01,2013,2,Lebanon,Middle East,Female,18-29,1
2013-04-01,2013,2,Libya,Africa North,Female,18-29,1
2013-04-01,2013,2,Libya,Africa North,Female,30-49,1
2013-04-01,2013,2,Libya,Africa North,Female,50-69,1
2013-04-01,2013,2,Libya,Africa North,Female,Under 18,1
2013-04-01,2013,2,Libya,Africa North,Male,30-49,1
2013-04-01,2013,2,Libya,Africa North,Male,Under 18,6
2013-04-01,2013,2,Nigeria,Africa Sub-Saharan,Female,Under 18,1
2013-04-01,2013,2,Nigeria,Africa Sub-Saharan,Male,Under 18,1
2013-04-01,2013,2,Other and unknown,Other,Female,30-49,6
2013-04-01,2013,2,Other and unknown,Other,Female,Under 18,7
2013-04-01,2013,2,Other and unknown,Other,Male,18-29,1
2013-04-01,2013,2,Other and unknown,Other,Male,30-49,1
2013-04-01,2013,2,Other and unknown,Other,Male,Under 18,7
2013-04-01,2013,2,Pakistan,Asia South,Female,18-29,9
2013-04-01,2013,2,Pakistan,Asia South,Female,30-49,13
2013-04-01,2013,2,Pakistan,Asia South,Female,50-69,1
2013-04-01,2013,2,Pakistan,Asia South,Female,Under 18,24
