Date,Year,Quarter,Nationality,Region,Grant,Refused,Initial grant rate
2003-07-01,2003,2003 Q3,Refugee,Other,1,4,0.2
2003-07-01,2003,2003 Q3,Romania,EU 2,1,91,0.010869565217391304
2003-07-01,2003,2003 Q3,Russia,Europe Other,6,76,0.07317073170731707
2003-07-01,2003,2003 Q3,Rwanda,Africa Sub-Saharan,22,76,0.22448979591836735
2003-07-01,2003,2003 Q3,Senegal,Africa Sub-Saharan,NA,4,NA
2003-07-01,2003,2003 Q3,Serbia and Montenegro,Europe Other,15,446,0.03253796095444685
2003-07-01,2003,2003 Q3,Sierra Leone,Africa Sub-Saharan,11,115,0.0873015873015873
2003-07-01,2003,2003 Q3,Singapore,Asia South East,NA,2,NA
2003-07-01,2003,2003 Q3,Slovakia,EU 8,NA,6,NA
2003-07-01,2003,2003 Q3,Slovenia,EU 8,NA,1,NA
2003-07-01,2003,2003 Q3,Somalia,Africa Sub-Saharan,518,851,0.3783783783783784
2003-07-01,2003,2003 Q3,South Africa,Africa Sub-Saharan,2,54,0.03571428571428571
2003-07-01,2003,2003 Q3,Sri Lanka,Asia South,16,188,0.0784313725490196
2003-07-01,2003,2003 Q3,Sudan,Africa North,42,140,0.23076923076923078
2003-07-01,2003,2003 Q3,Syria,Middle East,1,38,0.02564102564102564
2003-07-01,2003,2003 Q3,Tajikistan,Asia Central,NA,2,NA
2003-07-01,2003,2003 Q3,Tanzania,Africa Sub-Saharan,2,15,0.11764705882352941
2003-07-01,2003,2003 Q3,Thailand,Asia South East,NA,3,NA
2003-07-01,2003,2003 Q3,Togo,Africa Sub-Saharan,1,13,0.07142857142857142
2003-07-01,2003,2003 Q3,Trinidad and Tobago,America Central and South,NA,6,NA
2003-07-01,2003,2003 Q3,Tunisia,Africa North,1,1,0.5
2003-07-01,2003,2003 Q3,Turkey,Europe Other,36,596,0.056962025316455694
2003-07-01,2003,2003 Q3,Turkmenistan,Asia Central,NA,2,NA
2003-07-01,2003,2003 Q3,Uganda,Africa Sub-Saharan,52,136,0.2765957446808511
2003-07-01,2003,2003 Q3,Ukraine,Europe Other,NA,87,NA
2003-07-01,2003,2003 Q3,United Arab Emirates,Middle East,NA,1,NA
2003-07-01,2003,2003 Q3,Uzbekistan,Asia Central,1,6,0.14285714285714285
2003-07-01,2003,2003 Q3,Venezuela,America Central and South,NA,3,NA
2003-07-01,2003,2003 Q3,Vietnam,Asia South East,60,179,0.2510460251046025
2003-07-01,2003,2003 Q3,Yemen,Middle East,2,32,0.058823529411764705
2003-07-01,2003,2003 Q3,Zambia,Africa Sub-Saharan,NA,3,NA
2003-07-01,2003,2003 Q3,Zimbabwe,Africa Sub-Saharan,148,758,0.16335540838852097
2003-10-01,2003,2003 Q4,Afghanistan,Asia Central,133,543,0.19674556213017752
2003-10-01,2003,2003 Q4,Albania,Europe Other,69,114,0.3770491803278688
2003-10-01,2003,2003 Q4,Algeria,Africa North,7,171,0.03932584269662921
2003-10-01,2003,2003 Q4,Angola,Africa Sub-Saharan,39,211,0.156
2003-10-01,2003,2003 Q4,Armenia,Europe Other,1,20,0.047619047619047616
2003-10-01,2003,2003 Q4,Azerbaijan,Europe Other,1,26,0.037037037037037035
2003-10-01,2003,2003 Q4,Bangladesh,Asia South,108,110,0.4954128440366973
2003-10-01,2003,2003 Q4,Belarus,Europe Other,1,59,0.016666666666666666
2003-10-01,2003,2003 Q4,Benin,Africa Sub-Saharan,NA,1,NA
2003-10-01,2003,2003 Q4,Bhutan,Asia South,NA,11,NA
2003-10-01,2003,2003 Q4,Bolivia,America Central and South,2,8,0.2
2003-10-01,2003,2003 Q4,Bosnia and Herzegovina,Europe Other,NA,7,NA
2003-10-01,2003,2003 Q4,Brazil,America Central and South,NA,3,NA
2003-10-01,2003,2003 Q4,British overseas citizens,Other,NA,1,NA
2003-10-01,2003,2003 Q4,Bulgaria,EU 2,1,10,0.09090909090909091
2003-10-01,2003,2003 Q4,Burkina,Africa Sub-Saharan,NA,1,NA
2003-10-01,2003,2003 Q4,Burma,Asia South East,6,18,0.25
2003-10-01,2003,2003 Q4,Burundi,Africa Sub-Saharan,76,108,0.41304347826086957
2003-10-01,2003,2003 Q4,Cameroon,Africa Sub-Saharan,11,111,0.09016393442622951
2003-10-01,2003,2003 Q4,Canada,America North,NA,1,NA
2003-10-01,2003,2003 Q4,Central African Republic,Africa Sub-Saharan,NA,3,NA
2003-10-01,2003,2003 Q4,Chad,Africa Sub-Saharan,2,9,0.18181818181818182
2003-10-01,2003,2003 Q4,Chile,America Central and South,NA,1,NA
2003-10-01,2003,2003 Q4,China,Asia East,43,985,0.04182879377431906
2003-10-01,2003,2003 Q4,Colombia,America Central and South,4,65,0.057971014492753624
2003-10-01,2003,2003 Q4,Comoros,Africa Sub-Saharan,NA,1,NA
2003-10-01,2003,2003 Q4,Congo,Africa Sub-Saharan,11,85,0.11458333333333333
2003-10-01,2003,2003 Q4,Congo (Democratic Republic),Africa Sub-Saharan,62,408,0.13191489361702127
2003-10-01,2003,2003 Q4,Croatia,EU Other,NA,11,NA
2003-10-01,2003,2003 Q4,Cuba,America Central and South,NA,4,NA
2003-10-01,2003,2003 Q4,Cyprus,EU Other,NA,2,NA
2003-10-01,2003,2003 Q4,Cyprus (Northern part of),Europe Other,NA,13,NA
2003-10-01,2003,2003 Q4,Czech Republic,EU 8,NA,18,NA
2003-10-01,2003,2003 Q4,Dominican Republic,America Central and South,1,NA,NA
2003-10-01,2003,2003 Q4,Ecuador,America Central and South,1,35,0.027777777777777776
2003-10-01,2003,2003 Q4,Egypt,Africa North,3,15,0.16666666666666666
2003-10-01,2003,2003 Q4,Equatorial Guinea,Africa Sub-Saharan,NA,1,NA
2003-10-01,2003,2003 Q4,Eritrea,Africa Sub-Saharan,53,237,0.18275862068965518
2003-10-01,2003,2003 Q4,Estonia,EU 8,1,7,0.125
2003-10-01,2003,2003 Q4,Ethiopia,Africa Sub-Saharan,50,166,0.23148148148148148
2003-10-01,2003,2003 Q4,Fiji,Oceania,NA,2,NA
2003-10-01,2003,2003 Q4,Gabon,Africa Sub-Saharan,NA,1,NA
2003-10-01,2003,2003 Q4,"Gambia, The",Africa Sub-Saharan,3,21,0.125
2003-10-01,2003,2003 Q4,Georgia,Europe Other,5,40,0.1111111111111111
2003-10-01,2003,2003 Q4,Ghana,Africa Sub-Saharan,6,80,0.06976744186046512
2003-10-01,2003,2003 Q4,Guatemala,America Central and South,NA,5,NA
2003-10-01,2003,2003 Q4,Guinea,Africa Sub-Saharan,9,59,0.1323529411764706
2003-10-01,2003,2003 Q4,Guinea-Bissau,Africa Sub-Saharan,NA,5,NA
2003-10-01,2003,2003 Q4,Honduras,America Central and South,NA,1,NA
2003-10-01,2003,2003 Q4,Hong Kong,Asia East,NA,1,NA
2003-10-01,2003,2003 Q4,Hungary,EU 8,NA,4,NA
2003-10-01,2003,2003 Q4,India,Asia South,9,532,0.0166358595194085
2003-10-01,2003,2003 Q4,Indonesia,Asia South East,1,3,0.25
2003-10-01,2003,2003 Q4,Iran,Middle East,39,897,0.041666666666666664
2003-10-01,2003,2003 Q4,Iraq,Middle East,30,1660,0.01775147928994083
2003-10-01,2003,2003 Q4,Israel,Middle East,NA,12,NA
2003-10-01,2003,2003 Q4,Ivory Coast,Africa Sub-Saharan,6,57,0.09523809523809523
2003-10-01,2003,2003 Q4,Jamaica,America Central and South,1,175,0.005681818181818182
2003-10-01,2003,2003 Q4,Jordan,Middle East,NA,5,NA
2003-10-01,2003,2003 Q4,Kazakhstan,Asia Central,NA,2,NA
2003-10-01,2003,2003 Q4,Kenya,Africa Sub-Saharan,12,40,0.23076923076923078
2003-10-01,2003,2003 Q4,Korea (South),Asia East,NA,1,NA
2003-10-01,2003,2003 Q4,Kuwait,Middle East,2,21,0.08695652173913043
2003-10-01,2003,2003 Q4,Kyrgyzstan,Asia Central,1,3,0.25
2003-10-01,2003,2003 Q4,Latvia,EU 8,NA,4,NA
2003-10-01,2003,2003 Q4,Lebanon,Middle East,5,54,0.0847457627118644
2003-10-01,2003,2003 Q4,Liberia,Africa Sub-Saharan,36,199,0.15319148936170213
2003-10-01,2003,2003 Q4,Libya,Africa North,2,46,0.041666666666666664
2003-10-01,2003,2003 Q4,Lithuania,EU 8,NA,31,NA
2003-10-01,2003,2003 Q4,Macedonia,Europe Other,4,9,0.3076923076923077
2003-10-01,2003,2003 Q4,Malawi,Africa Sub-Saharan,1,42,0.023255813953488372
2003-10-01,2003,2003 Q4,Malaysia,Asia South East,NA,7,NA
2003-10-01,2003,2003 Q4,Mali,Africa Sub-Saharan,NA,2,NA
2003-10-01,2003,2003 Q4,Mauritania,Africa North,NA,2,NA
2003-10-01,2003,2003 Q4,Mauritius,Africa Sub-Saharan,NA,1,NA
2003-10-01,2003,2003 Q4,Moldova,Europe Other,17,53,0.24285714285714285
2003-10-01,2003,2003 Q4,Mongolia,Asia East,3,22,0.12
2003-10-01,2003,2003 Q4,Morocco,Africa North,NA,7,NA
2003-10-01,2003,2003 Q4,Mozambique,Africa Sub-Saharan,NA,1,NA
2003-10-01,2003,2003 Q4,Namibia,Africa Sub-Saharan,NA,1,NA
2003-10-01,2003,2003 Q4,Nepal,Asia South,NA,48,NA
2003-10-01,2003,2003 Q4,Nicaragua,America Central and South,NA,1,NA
2003-10-01,2003,2003 Q4,Niger,Africa Sub-Saharan,1,2,0.3333333333333333
2003-10-01,2003,2003 Q4,Nigeria,Africa Sub-Saharan,12,206,0.05504587155963303
2003-10-01,2003,2003 Q4,Occupied Palestinian Territories,Middle East,8,384,0.02040816326530612
2003-10-01,2003,2003 Q4,Oman,Middle East,NA,1,NA
2003-10-01,2003,2003 Q4,Other and unknown,Other,3,19,0.13636363636363635
2003-10-01,2003,2003 Q4,Pakistan,Asia South,51,547,0.08528428093645485
2003-10-01,2003,2003 Q4,Paraguay,America Central and South,NA,3,NA
2003-10-01,2003,2003 Q4,Peru,America Central and South,NA,1,NA
2003-10-01,2003,2003 Q4,Philippines,Asia South East,NA,6,NA
2003-10-01,2003,2003 Q4,Poland,EU 8,7,28,0.2
2003-10-01,2003,2003 Q4,Refugee,Other,1,4,0.2
2003-10-01,2003,2003 Q4,Romania,EU 2,14,109,0.11382113821138211
2003-10-01,2003,2003 Q4,Russia,Europe Other,5,72,0.06493506493506493
2003-10-01,2003,2003 Q4,Rwanda,Africa Sub-Saharan,8,62,0.11428571428571428
2003-10-01,2003,2003 Q4,Senegal,Africa Sub-Saharan,NA,3,NA
2003-10-01,2003,2003 Q4,Serbia and Montenegro,Europe Other,59,229,0.2048611111111111
2003-10-01,2003,2003 Q4,Seychelles,Africa Sub-Saharan,NA,3,NA
2003-10-01,2003,2003 Q4,Sierra Leone,Africa Sub-Saharan,18,111,0.13953488372093023
2003-10-01,2003,2003 Q4,Slovakia,EU 8,NA,3,NA
2003-10-01,2003,2003 Q4,Slovenia,EU 8,NA,1,NA
2003-10-01,2003,2003 Q4,Somalia,Africa Sub-Saharan,354,1083,0.24634655532359082
2003-10-01,2003,2003 Q4,South Africa,Africa Sub-Saharan,NA,27,NA
2003-10-01,2003,2003 Q4,Sri Lanka,Asia South,15,202,0.06912442396313365
2003-10-01,2003,2003 Q4,Stateless,Other,NA,3,NA
2003-10-01,2003,2003 Q4,Sudan,Africa North,72,211,0.254416961130742
2003-10-01,2003,2003 Q4,Syria,Middle East,2,35,0.05405405405405406
2003-10-01,2003,2003 Q4,Tajikistan,Asia Central,NA,1,NA
2003-10-01,2003,2003 Q4,Tanzania,Africa Sub-Saharan,2,6,0.25
2003-10-01,2003,2003 Q4,Thailand,Asia South East,NA,2,NA
2003-10-01,2003,2003 Q4,Togo,Africa Sub-Saharan,6,31,0.16216216216216217
2003-10-01,2003,2003 Q4,Trinidad and Tobago,America Central and South,NA,3,NA
2003-10-01,2003,2003 Q4,Tunisia,Africa North,1,6,0.14285714285714285
2003-10-01,2003,2003 Q4,Turkey,Europe Other,74,807,0.08399545970488081
2003-10-01,2003,2003 Q4,Turkmenistan,Asia Central,NA,1,NA
2003-10-01,2003,2003 Q4,Uganda,Africa Sub-Saharan,40,115,0.25806451612903225
2003-10-01,2003,2003 Q4,Ukraine,Europe Other,2,51,0.03773584905660377
2003-10-01,2003,2003 Q4,United Arab Emirates,Middle East,NA,3,NA
2003-10-01,2003,2003 Q4,Uzbekistan,Asia Central,3,5,0.375
2003-10-01,2003,2003 Q4,Venezuela,America Central and South,NA,6,NA
2003-10-01,2003,2003 Q4,Vietnam,Asia South East,40,239,0.14336917562724014
2003-10-01,2003,2003 Q4,Yemen,Middle East,3,19,0.13636363636363635
2003-10-01,2003,2003 Q4,Zambia,Africa Sub-Saharan,2,6,0.25
2003-10-01,2003,2003 Q4,Zimbabwe,Africa Sub-Saharan,119,831,0.12526315789473685
2004-01-01,2004,2004 Q1,Afghanistan,Asia Central,123,442,0.2176991150442478
2004-01-01,2004,2004 Q1,Albania,Europe Other,62,158,0.2818181818181818
2004-01-01,2004,2004 Q1,Algeria,Africa North,14,166,0.07777777777777778
2004-01-01,2004,2004 Q1,Angola,Africa Sub-Saharan,41,184,0.18222222222222223
2004-01-01,2004,2004 Q1,Armenia,Europe Other,1,12,0.07692307692307693
2004-01-01,2004,2004 Q1,Azerbaijan,Europe Other,4,34,0.10526315789473684
2004-01-01,2004,2004 Q1,Bangladesh,Asia South,86,98,0.4673913043478261
2004-01-01,2004,2004 Q1,Belarus,Europe Other,1,130,0.007633587786259542
2004-01-01,2004,2004 Q1,Benin,Africa Sub-Saharan,NA,1,NA
2004-01-01,2004,2004 Q1,Bhutan,Asia South,2,28,0.06666666666666667
2004-01-01,2004,2004 Q1,Bolivia,America Central and South,1,2,0.3333333333333333
2004-01-01,2004,2004 Q1,Bosnia and Herzegovina,Europe Other,1,9,0.1
2004-01-01,2004,2004 Q1,Botswana,Africa Sub-Saharan,1,1,0.5
2004-01-01,2004,2004 Q1,Brazil,America Central and South,NA,8,NA
2004-01-01,2004,2004 Q1,British overseas citizens,Other,NA,1,NA
2004-01-01,2004,2004 Q1,Brunei,Asia South East,NA,1,NA
2004-01-01,2004,2004 Q1,Bulgaria,EU 2,1,3,0.25
2004-01-01,2004,2004 Q1,Burkina,Africa Sub-Saharan,NA,1,NA
2004-01-01,2004,2004 Q1,Burma,Asia South East,2,15,0.11764705882352941
2004-01-01,2004,2004 Q1,Burundi,Africa Sub-Saharan,44,84,0.34375
2004-01-01,2004,2004 Q1,Cameroon,Africa Sub-Saharan,25,119,0.1736111111111111
2004-01-01,2004,2004 Q1,Canada,America North,NA,1,NA
2004-01-01,2004,2004 Q1,Central African Republic,Africa Sub-Saharan,1,1,0.5
2004-01-01,2004,2004 Q1,Chad,Africa Sub-Saharan,2,11,0.15384615384615385
2004-01-01,2004,2004 Q1,China,Asia East,17,791,0.02103960396039604
2004-01-01,2004,2004 Q1,Colombia,America Central and South,2,39,0.04878048780487805
2004-01-01,2004,2004 Q1,Congo,Africa Sub-Saharan,12,87,0.12121212121212122
2004-01-01,2004,2004 Q1,Congo (Democratic Republic),Africa Sub-Saharan,65,462,0.12333965844402277
2004-01-01,2004,2004 Q1,Croatia,EU Other,1,10,0.09090909090909091
2004-01-01,2004,2004 Q1,Cuba,America Central and South,NA,8,NA
2004-01-01,2004,2004 Q1,Cyprus,EU Other,1,3,0.25
2004-01-01,2004,2004 Q1,Cyprus (Northern part of),Europe Other,NA,7,NA
2004-01-01,2004,2004 Q1,Czech Republic,EU 8,NA,25,NA
2004-01-01,2004,2004 Q1,Dominican Republic,America Central and South,1,2,0.3333333333333333
2004-01-01,2004,2004 Q1,Ecuador,America Central and South,2,21,0.08695652173913043
2004-01-01,2004,2004 Q1,Egypt,Africa North,3,22,0.12
2004-01-01,2004,2004 Q1,Equatorial Guinea,Africa Sub-Saharan,NA,1,NA
2004-01-01,2004,2004 Q1,Eritrea,Africa Sub-Saharan,67,170,0.28270042194092826
2004-01-01,2004,2004 Q1,Estonia,EU 8,NA,4,NA
2004-01-01,2004,2004 Q1,Ethiopia,Africa Sub-Saharan,52,158,0.24761904761904763
2004-01-01,2004,2004 Q1,France,EU 14,NA,1,NA
2004-01-01,2004,2004 Q1,"Gambia, The",Africa Sub-Saharan,1,29,0.03333333333333333
2004-01-01,2004,2004 Q1,Georgia,Europe Other,6,60,0.09090909090909091
2004-01-01,2004,2004 Q1,Ghana,Africa Sub-Saharan,4,87,0.04395604395604396
2004-01-01,2004,2004 Q1,Guatemala,America Central and South,NA,1,NA
2004-01-01,2004,2004 Q1,Guinea,Africa Sub-Saharan,13,78,0.14285714285714285
2004-01-01,2004,2004 Q1,Guinea-Bissau,Africa Sub-Saharan,NA,6,NA
2004-01-01,2004,2004 Q1,Guyana,America Central and South,1,3,0.25
2004-01-01,2004,2004 Q1,Hungary,EU 8,NA,2,NA
2004-01-01,2004,2004 Q1,India,Asia South,5,429,0.01152073732718894
2004-01-01,2004,2004 Q1,Indonesia,Asia South East,NA,13,NA
2004-01-01,2004,2004 Q1,Iran,Middle East,68,946,0.0670611439842209
2004-01-01,2004,2004 Q1,Iraq,Middle East,79,1579,0.04764776839565742
2004-01-01,2004,2004 Q1,Israel,Middle East,1,12,0.07692307692307693
2004-01-01,2004,2004 Q1,Ivory Coast,Africa Sub-Saharan,5,79,0.05952380952380952
2004-01-01,2004,2004 Q1,Jamaica,America Central and South,2,161,0.012269938650306749
2004-01-01,2004,2004 Q1,Japan,Asia East,NA,1,NA
2004-01-01,2004,2004 Q1,Jordan,Middle East,NA,4,NA
2004-01-01,2004,2004 Q1,Kenya,Africa Sub-Saharan,12,56,0.17647058823529413
2004-01-01,2004,2004 Q1,Korea (North),Asia East,NA,1,NA
2004-01-01,2004,2004 Q1,Kuwait,Middle East,NA,14,NA
2004-01-01,2004,2004 Q1,Kyrgyzstan,Asia Central,1,5,0.16666666666666666
2004-01-01,2004,2004 Q1,Latvia,EU 8,NA,6,NA
2004-01-01,2004,2004 Q1,Lebanon,Middle East,NA,61,NA
2004-01-01,2004,2004 Q1,Lesotho,Africa Sub-Saharan,NA,1,NA
2004-01-01,2004,2004 Q1,Liberia,Africa Sub-Saharan,24,161,0.12972972972972974
2004-01-01,2004,2004 Q1,Libya,Africa North,5,40,0.1111111111111111
2004-01-01,2004,2004 Q1,Lithuania,EU 8,1,19,0.05
2004-01-01,2004,2004 Q1,Macedonia,Europe Other,10,10,0.5
2004-01-01,2004,2004 Q1,Malawi,Africa Sub-Saharan,1,39,0.025
2004-01-01,2004,2004 Q1,Malaysia,Asia South East,1,2,0.3333333333333333
2004-01-01,2004,2004 Q1,Mali,Africa Sub-Saharan,1,1,0.5
2004-01-01,2004,2004 Q1,Malta,EU Other,NA,1,NA
2004-01-01,2004,2004 Q1,Mauritania,Africa North,NA,3,NA
2004-01-01,2004,2004 Q1,Mauritius,Africa Sub-Saharan,NA,4,NA
2004-01-01,2004,2004 Q1,Moldova,Europe Other,18,49,0.26865671641791045
2004-01-01,2004,2004 Q1,Mongolia,Asia East,3,40,0.06976744186046512
2004-01-01,2004,2004 Q1,Morocco,Africa North,1,5,0.16666666666666666
2004-01-01,2004,2004 Q1,Mozambique,Africa Sub-Saharan,NA,2,NA
2004-01-01,2004,2004 Q1,Nepal,Asia South,4,61,0.06153846153846154
2004-01-01,2004,2004 Q1,Nicaragua,America Central and South,NA,1,NA
2004-01-01,2004,2004 Q1,Niger,Africa Sub-Saharan,NA,2,NA
2004-01-01,2004,2004 Q1,Nigeria,Africa Sub-Saharan,19,287,0.06209150326797386
2004-01-01,2004,2004 Q1,Occupied Palestinian Territories,Middle East,16,163,0.0893854748603352
2004-01-01,2004,2004 Q1,Oman,Middle East,1,NA,NA
2004-01-01,2004,2004 Q1,Other and unknown,Other,NA,8,NA
2004-01-01,2004,2004 Q1,Pakistan,Asia South,44,489,0.0825515947467167
2004-01-01,2004,2004 Q1,Peru,America Central and South,NA,2,NA
2004-01-01,2004,2004 Q1,Philippines,Asia South East,2,6,0.25
2004-01-01,2004,2004 Q1,Poland,EU 8,NA,22,NA
2004-01-01,2004,2004 Q1,Qatar,Middle East,NA,1,NA
2004-01-01,2004,2004 Q1,Refugee,Other,NA,11,NA
2004-01-01,2004,2004 Q1,Romania,EU 2,30,117,0.20408163265306123
2004-01-01,2004,2004 Q1,Russia,Europe Other,13,72,0.15294117647058825
2004-01-01,2004,2004 Q1,Rwanda,Africa Sub-Saharan,11,51,0.1774193548387097
2004-01-01,2004,2004 Q1,Sao Tome and Principe,Africa Sub-Saharan,NA,1,NA
2004-01-01,2004,2004 Q1,Saudi Arabia,Middle East,NA,2,NA
2004-01-01,2004,2004 Q1,Senegal,Africa Sub-Saharan,NA,11,NA
2004-01-01,2004,2004 Q1,Serbia and Montenegro,Europe Other,89,250,0.26253687315634217
2004-01-01,2004,2004 Q1,Sierra Leone,Africa Sub-Saharan,22,122,0.1527777777777778
2004-01-01,2004,2004 Q1,Slovakia,EU 8,NA,9,NA
2004-01-01,2004,2004 Q1,Somalia,Africa Sub-Saharan,276,993,0.21749408983451538
2004-01-01,2004,2004 Q1,South Africa,Africa Sub-Saharan,NA,43,NA
2004-01-01,2004,2004 Q1,Sri Lanka,Asia South,32,290,0.09937888198757763
2004-01-01,2004,2004 Q1,St. Lucia,America Central and South,NA,1,NA
2004-01-01,2004,2004 Q1,Stateless,Other,NA,1,NA
2004-01-01,2004,2004 Q1,Sudan,Africa North,85,327,0.20631067961165048
2004-01-01,2004,2004 Q1,Syria,Middle East,2,50,0.038461538461538464
2004-01-01,2004,2004 Q1,Tajikistan,Asia Central,NA,2,NA
2004-01-01,2004,2004 Q1,Tanzania,Africa Sub-Saharan,1,4,0.2
2004-01-01,2004,2004 Q1,Thailand,Asia South East,1,4,0.2
2004-01-01,2004,2004 Q1,Togo,Africa Sub-Saharan,1,22,0.043478260869565216
2004-01-01,2004,2004 Q1,Tunisia,Africa North,NA,5,NA
2004-01-01,2004,2004 Q1,Turkey,Europe Other,72,837,0.07920792079207921
2004-01-01,2004,2004 Q1,Turkmenistan,Asia Central,2,2,0.5
2004-01-01,2004,2004 Q1,Uganda,Africa Sub-Saharan,42,141,0.22950819672131148
2004-01-01,2004,2004 Q1,Ukraine,Europe Other,6,47,0.11320754716981132
2004-01-01,2004,2004 Q1,United States,America North,NA,1,NA
2004-01-01,2004,2004 Q1,Uzbekistan,Asia Central,NA,4,NA
2004-01-01,2004,2004 Q1,Vietnam,Asia South East,63,264,0.1926605504587156
2004-01-01,2004,2004 Q1,Western Sahara,Africa North,NA,1,NA
2004-01-01,2004,2004 Q1,Yemen,Middle East,9,18,0.3333333333333333
2004-01-01,2004,2004 Q1,Zambia,Africa Sub-Saharan,NA,8,NA
2004-01-01,2004,2004 Q1,Zimbabwe,Africa Sub-Saharan,101,742,0.11981020166073547
2004-04-01,2004,2004 Q2,Afghanistan,Asia Central,85,619,0.12073863636363637
2004-04-01,2004,2004 Q2,Albania,Europe Other,17,121,0.12318840579710146
2004-04-01,2004,2004 Q2,Algeria,Africa North,7,184,0.03664921465968586
2004-04-01,2004,2004 Q2,Angola,Africa Sub-Saharan,40,124,0.24390243902439024
2004-04-01,2004,2004 Q2,Armenia,Europe Other,NA,9,NA
2004-04-01,2004,2004 Q2,Azerbaijan,Europe Other,1,11,0.08333333333333333
2004-04-01,2004,2004 Q2,Bangladesh,Asia South,75,60,0.5555555555555556
2004-04-01,2004,2004 Q2,Belarus,Europe Other,1,27,0.03571428571428571
2004-04-01,2004,2004 Q2,Benin,Africa Sub-Saharan,NA,2,NA
2004-04-01,2004,2004 Q2,Bhutan,Asia South,3,25,0.10714285714285714
2004-04-01,2004,2004 Q2,Bolivia,America Central and South,NA,4,NA
2004-04-01,2004,2004 Q2,Bosnia and Herzegovina,Europe Other,NA,4,NA
2004-04-01,2004,2004 Q2,Botswana,Africa Sub-Saharan,NA,2,NA
2004-04-01,2004,2004 Q2,Brazil,America Central and South,NA,8,NA
2004-04-01,2004,2004 Q2,Bulgaria,EU 2,NA,9,NA
2004-04-01,2004,2004 Q2,Burkina,Africa Sub-Saharan,NA,6,NA
2004-04-01,2004,2004 Q2,Burma,Asia South East,9,36,0.2
2004-04-01,2004,2004 Q2,Burundi,Africa Sub-Saharan,37,68,0.3523809523809524
2004-04-01,2004,2004 Q2,Cameroon,Africa Sub-Saharan,12,79,0.13186813186813187
2004-04-01,2004,2004 Q2,Canada,America North,NA,1,NA
2004-04-01,2004,2004 Q2,Central African Republic,Africa Sub-Saharan,NA,1,NA
2004-04-01,2004,2004 Q2,Chad,Africa Sub-Saharan,1,5,0.16666666666666666
2004-04-01,2004,2004 Q2,Chile,America Central and South,NA,2,NA
2004-04-01,2004,2004 Q2,China,Asia East,24,610,0.03785488958990536
2004-04-01,2004,2004 Q2,Colombia,America Central and South,2,49,0.0392156862745098
2004-04-01,2004,2004 Q2,Congo,Africa Sub-Saharan,9,58,0.13432835820895522
2004-04-01,2004,2004 Q2,Congo (Democratic Republic),Africa Sub-Saharan,50,404,0.11013215859030837
2004-04-01,2004,2004 Q2,Costa Rica,America Central and South,NA,1,NA
2004-04-01,2004,2004 Q2,Croatia,EU Other,2,11,0.15384615384615385
2004-04-01,2004,2004 Q2,Cuba,America Central and South,NA,3,NA
2004-04-01,2004,2004 Q2,Cyprus,EU Other,NA,1,NA
2004-04-01,2004,2004 Q2,Cyprus (Northern part of),Europe Other,NA,5,NA
2004-04-01,2004,2004 Q2,Czech Republic,EU 8,NA,9,NA
2004-04-01,2004,2004 Q2,Djibouti,Africa Sub-Saharan,NA,1,NA
2004-04-01,2004,2004 Q2,Ecuador,America Central and South,1,14,0.06666666666666667
2004-04-01,2004,2004 Q2,Egypt,Africa North,NA,27,NA
2004-04-01,2004,2004 Q2,Eritrea,Africa Sub-Saharan,46,150,0.23469387755102042
2004-04-01,2004,2004 Q2,Estonia,EU 8,NA,6,NA
2004-04-01,2004,2004 Q2,Ethiopia,Africa Sub-Saharan,27,110,0.19708029197080293
2004-04-01,2004,2004 Q2,France,EU 14,NA,1,NA
2004-04-01,2004,2004 Q2,Gabon,Africa Sub-Saharan,NA,1,NA
2004-04-01,2004,2004 Q2,"Gambia, The",Africa Sub-Saharan,1,31,0.03125
2004-04-01,2004,2004 Q2,Georgia,Europe Other,1,43,0.022727272727272728
2004-04-01,2004,2004 Q2,Ghana,Africa Sub-Saharan,3,95,0.030612244897959183
2004-04-01,2004,2004 Q2,Grenada,America Central and South,NA,1,NA
2004-04-01,2004,2004 Q2,Guinea,Africa Sub-Saharan,13,65,0.16666666666666666
2004-04-01,2004,2004 Q2,Guinea-Bissau,Africa Sub-Saharan,1,3,0.25
2004-04-01,2004,2004 Q2,Hungary,EU 8,NA,1,NA
2004-04-01,2004,2004 Q2,India,Asia South,3,363,0.00819672131147541
2004-04-01,2004,2004 Q2,Indonesia,Asia South East,1,9,0.1
2004-04-01,2004,2004 Q2,Iran,Middle East,50,807,0.058343057176196034
2004-04-01,2004,2004 Q2,Iraq,Middle East,23,1213,0.0186084142394822
2004-04-01,2004,2004 Q2,Israel,Middle East,NA,8,NA
2004-04-01,2004,2004 Q2,Ivory Coast,Africa Sub-Saharan,4,61,0.06153846153846154
2004-04-01,2004,2004 Q2,Jamaica,America Central and South,1,127,0.0078125
2004-04-01,2004,2004 Q2,Japan,Asia East,NA,1,NA
2004-04-01,2004,2004 Q2,Jordan,Middle East,NA,3,NA
2004-04-01,2004,2004 Q2,Kazakhstan,Asia Central,NA,2,NA
2004-04-01,2004,2004 Q2,Kenya,Africa Sub-Saharan,11,61,0.1527777777777778
2004-04-01,2004,2004 Q2,Korea (North),Asia East,1,26,0.037037037037037035
2004-04-01,2004,2004 Q2,Kuwait,Middle East,NA,9,NA
