Date,Year,Quarter,Nationality,Region,Asylum Case Outcome,Asylum Case Outcome Group,Applicant type,UASC,Sex,Age Group,Decisions
2020-09-30,2020,3,Refugee,Other,Refugee Permission,Grant of Protection,Main applicant,Non-UASC,Male,40 and over,17
2020-09-30,2020,3,Refugee,Other,Refugee Permission,Grant of Protection,Main applicant,UASC,Male,17 and under,5
2020-09-30,2020,3,Senegal,Africa Sub-Saharan,3rd Country Refusal,Refused,Main applicant,Non-UASC,Male,18 to 24,1
2020-09-30,2020,3,Senegal,Africa Sub-Saharan,3rd Country Refusal,Refused,Main applicant,Non-UASC,Male,25 to 39,5
2020-09-30,2020,3,Senegal,Africa Sub-Saharan,Awaiting initial decision,Awaiting initial decision,Main applicant,Non-UASC,Male,18 to 24,1
2020-09-30,2020,3,Senegal,Africa Sub-Saharan,Refugee Permission,Grant of Protection,Main applicant,UASC,Male,17 and under,1
2020-09-30,2020,3,Sierra Leone,Africa Sub-Saharan,3rd Country Refusal,Refused,Main applicant,Non-UASC,Male,18 to 24,1
2020-09-30,2020,3,Sierra Leone,Africa Sub-Saharan,Awaiting initial decision,Awaiting initial decision,Main applicant,UASC,Male,17 and under,1
2020-09-30,2020,3,Somalia,Africa Sub-Saharan,3rd Country Refusal,Refused,Main applicant,Non-UASC,Female,18 to 24,1
2020-09-30,2020,3,Somalia,Africa Sub-Saharan,Awaiting initial decision,Awaiting initial decision,Main applicant,UASC,Male,17 and under,1
2020-09-30,2020,3,Somalia,Africa Sub-Saharan,Other Refusals,Refused,Main applicant,Non-UASC,Male,18 to 24,1
2020-09-30,2020,3,Somalia,Africa Sub-Saharan,Other Refusals,Refused,Main applicant,Non-UASC,Male,40 and over,1
2020-09-30,2020,3,Somalia,Africa Sub-Saharan,Refugee Permission,Grant of Protection,Main applicant,UASC,Male,17 and under,1
2020-09-30,2020,3,South Sudan,Africa Sub-Saharan,3rd Country Refusal,Refused,Main applicant,Non-UASC,Male,18 to 24,5
2020-09-30,2020,3,South Sudan,Africa Sub-Saharan,3rd Country Refusal,Refused,Main applicant,Non-UASC,Male,25 to 39,2
2020-09-30,2020,3,South Sudan,Africa Sub-Saharan,Awaiting initial decision,Awaiting initial decision,Main applicant,Non-UASC,Male,18 to 24,3
2020-09-30,2020,3,South Sudan,Africa Sub-Saharan,Awaiting initial decision,Awaiting initial decision,Main applicant,Non-UASC,Male,25 to 39,4
2020-09-30,2020,3,South Sudan,Africa Sub-Saharan,Humanitarian Protection,Grant of Protection,Main applicant,Non-UASC,Male,17 and under,1
2020-09-30,2020,3,South Sudan,Africa Sub-Saharan,Humanitarian Protection,Grant of Protection,Main applicant,Non-UASC,Male,18 to 24,1
2020-09-30,2020,3,South Sudan,Africa Sub-Saharan,Refugee Permission,Grant of Protection,Main applicant,Non-UASC,Male,18 to 24,6
2020-09-30,2020,3,South Sudan,Africa Sub-Saharan,Refugee Permission,Grant of Protection,Main applicant,Non-UASC,Male,25 to 39,1
2020-09-30,2020,3,South Sudan,Africa Sub-Saharan,Refugee Permission,Grant of Protection,Main applicant,UASC,Male,17 and under,5
2020-09-30,2020,3,Sri Lanka,Asia South,3rd Country Refusal,Refused,Main applicant,Non-UASC,Male,18 to 24,1
2020-09-30,2020,3,Sri Lanka,Asia South,3rd Country Refusal,Refused,Main applicant,Non-UASC,Male,25 to 39,6
2020-09-30,2020,3,Sri Lanka,Asia South,Awaiting initial decision,Awaiting initial decision,Main applicant,Non-UASC,Male,25 to 39,3
2020-09-30,2020,3,Sri Lanka,Asia South,Non-substantiated withdrawal,Withdrawn,Main applicant,Non-UASC,Male,25 to 39,2
2020-09-30,2020,3,Stateless,Other,3rd Country Refusal,Refused,Dependant,Non-UASC,Female,17 and under,6
2020-09-30,2020,3,Stateless,Other,3rd Country Refusal,Refused,Dependant,Non-UASC,Female,25 to 39,3
2020-09-30,2020,3,Stateless,Other,3rd Country Refusal,Refused,Dependant,Non-UASC,Male,17 and under,11
2020-09-30,2020,3,Stateless,Other,3rd Country Refusal,Refused,Main applicant,Non-UASC,Female,40 and over,2
2020-09-30,2020,3,Stateless,Other,3rd Country Refusal,Refused,Main applicant,Non-UASC,Male,18 to 24,8
2020-09-30,2020,3,Stateless,Other,3rd Country Refusal,Refused,Main applicant,Non-UASC,Male,25 to 39,28
2020-09-30,2020,3,Stateless,Other,3rd Country Refusal,Refused,Main applicant,Non-UASC,Male,40 and over,18
2020-09-30,2020,3,Stateless,Other,Awaiting initial decision,Awaiting initial decision,Dependant,Non-UASC,Female,17 and under,10
2020-09-30,2020,3,Stateless,Other,Awaiting initial decision,Awaiting initial decision,Dependant,Non-UASC,Female,25 to 39,1
2020-09-30,2020,3,Stateless,Other,Awaiting initial decision,Awaiting initial decision,Dependant,Non-UASC,Female,40 and over,2
2020-09-30,2020,3,Stateless,Other,Awaiting initial decision,Awaiting initial decision,Dependant,Non-UASC,Male,17 and under,8
2020-09-30,2020,3,Stateless,Other,Awaiting initial decision,Awaiting initial decision,Main applicant,Non-UASC,Female,25 to 39,1
2020-09-30,2020,3,Stateless,Other,Awaiting initial decision,Awaiting initial decision,Main applicant,Non-UASC,Female,40 and over,1
2020-09-30,2020,3,Stateless,Other,Awaiting initial decision,Awaiting initial decision,Main applicant,Non-UASC,Male,25 to 39,7
2020-09-30,2020,3,Stateless,Other,Awaiting initial decision,Awaiting initial decision,Main applicant,Non-UASC,Male,40 and over,2
2020-09-30,2020,3,Stateless,Other,Awaiting initial decision,Awaiting initial decision,Main applicant,UASC,Male,17 and under,3
2020-09-30,2020,3,Stateless,Other,Other Refusals,Refused,Main applicant,Non-UASC,Male,18 to 24,2
2020-09-30,2020,3,Stateless,Other,Other Refusals,Refused,Main applicant,Non-UASC,Male,25 to 39,1
2020-09-30,2020,3,Stateless,Other,Other Refusals,Refused,Main applicant,Non-UASC,Male,40 and over,1
2020-09-30,2020,3,Stateless,Other,Other Withdrawal,Withdrawn,Main applicant,Non-UASC,Female,25 to 39,1
2020-09-30,2020,3,Stateless,Other,Refugee Permission,Grant of Protection,Dependant,Non-UASC,Female,17 and under,1
2020-09-30,2020,3,Stateless,Other,Refugee Permission,Grant of Protection,Dependant,Non-UASC,Male,17 and under,1
2020-09-30,2020,3,Stateless,Other,Refugee Permission,Grant of Protection,Main applicant,Non-UASC,Female,40 and over,2
2020-09-30,2020,3,Stateless,Other,Refugee Permission,Grant of Protection,Main applicant,Non-UASC,Male,18 to 24,1
2020-09-30,2020,3,Stateless,Other,Refugee Permission,Grant of Protection,Main applicant,Non-UASC,Male,25 to 39,5
2020-09-30,2020,3,Sudan,Africa North,3rd Country Refusal,Refused,Dependant,Non-UASC,Male,17 and under,2
2020-09-30,2020,3,Sudan,Africa North,3rd Country Refusal,Refused,Main applicant,Non-UASC,Female,25 to 39,2
2020-09-30,2020,3,Sudan,Africa North,3rd Country Refusal,Refused,Main applicant,Non-UASC,Female,40 and over,1
2020-09-30,2020,3,Sudan,Africa North,3rd Country Refusal,Refused,Main applicant,Non-UASC,Male,17 and under,9
2020-09-30,2020,3,Sudan,Africa North,3rd Country Refusal,Refused,Main applicant,Non-UASC,Male,18 to 24,91
2020-09-30,2020,3,Sudan,Africa North,3rd Country Refusal,Refused,Main applicant,Non-UASC,Male,25 to 39,187
2020-09-30,2020,3,Sudan,Africa North,3rd Country Refusal,Refused,Main applicant,Non-UASC,Male,40 and over,19
2020-09-30,2020,3,Sudan,Africa North,3rd Country Refusal,Refused,Main applicant,UASC,Male,17 and under,14
2020-09-30,2020,3,Sudan,Africa North,3rd Country Refusal,Refused,Main applicant,UASC,Male,18 to 24,1
2020-09-30,2020,3,Sudan,Africa North,Awaiting initial decision,Awaiting initial decision,Main applicant,Non-UASC,Male,17 and under,2
2020-09-30,2020,3,Sudan,Africa North,Awaiting initial decision,Awaiting initial decision,Main applicant,Non-UASC,Male,18 to 24,41
2020-09-30,2020,3,Sudan,Africa North,Awaiting initial decision,Awaiting initial decision,Main applicant,Non-UASC,Male,25 to 39,49
2020-09-30,2020,3,Sudan,Africa North,Awaiting initial decision,Awaiting initial decision,Main applicant,Non-UASC,Male,40 and over,6
2020-09-30,2020,3,Sudan,Africa North,Awaiting initial decision,Awaiting initial decision,Main applicant,UASC,Male,17 and under,6
2020-09-30,2020,3,Sudan,Africa North,Humanitarian Protection,Grant of Protection,Main applicant,UASC,Male,17 and under,2
2020-09-30,2020,3,Sudan,Africa North,Non-substantiated withdrawal,Withdrawn,Main applicant,Non-UASC,Male,18 to 24,1
2020-09-30,2020,3,Sudan,Africa North,Non-substantiated withdrawal,Withdrawn,Main applicant,Non-UASC,Male,25 to 39,1
2020-09-30,2020,3,Sudan,Africa North,Other Refusals,Refused,Main applicant,Non-UASC,Male,18 to 24,15
2020-09-30,2020,3,Sudan,Africa North,Other Refusals,Refused,Main applicant,Non-UASC,Male,25 to 39,24
2020-09-30,2020,3,Sudan,Africa North,Other Refusals,Refused,Main applicant,Non-UASC,Male,40 and over,2
2020-09-30,2020,3,Sudan,Africa North,Other Refusals,Refused,Main applicant,UASC,Male,17 and under,8
2020-09-30,2020,3,Sudan,Africa North,Other Refusals,Refused,Main applicant,UASC,Male,25 to 39,1
2020-09-30,2020,3,Sudan,Africa North,Other Withdrawal,Withdrawn,Main applicant,Non-UASC,Male,18 to 24,1
2020-09-30,2020,3,Sudan,Africa North,Other Withdrawal,Withdrawn,Main applicant,Non-UASC,Male,25 to 39,1
2020-09-30,2020,3,Sudan,Africa North,Other Withdrawal,Withdrawn,Main applicant,Non-UASC,Male,40 and over,1
2020-09-30,2020,3,Sudan,Africa North,Other Withdrawal,Withdrawn,Main applicant,UASC,Male,17 and under,1
2020-09-30,2020,3,Sudan,Africa North,Refugee Permission,Grant of Protection,Dependant,Non-UASC,Male,17 and under,1
2020-09-30,2020,3,Sudan,Africa North,Refugee Permission,Grant of Protection,Main applicant,Non-UASC,Female,18 to 24,1
2020-09-30,2020,3,Sudan,Africa North,Refugee Permission,Grant of Protection,Main applicant,Non-UASC,Female,40 and over,1
2020-09-30,2020,3,Sudan,Africa North,Refugee Permission,Grant of Protection,Main applicant,Non-UASC,Male,17 and under,5
2020-09-30,2020,3,Sudan,Africa North,Refugee Permission,Grant of Protection,Main applicant,Non-UASC,Male,18 to 24,62
2020-09-30,2020,3,Sudan,Africa North,Refugee Permission,Grant of Protection,Main applicant,Non-UASC,Male,25 to 39,88
2020-09-30,2020,3,Sudan,Africa North,Refugee Permission,Grant of Protection,Main applicant,Non-UASC,Male,40 and over,12
2020-09-30,2020,3,Sudan,Africa North,Refugee Permission,Grant of Protection,Main applicant,UASC,Female,17 and under,2
2020-09-30,2020,3,Sudan,Africa North,Refugee Permission,Grant of Protection,Main applicant,UASC,Male,17 and under,104
2020-09-30,2020,3,Sudan,Africa North,Refugee Permission,Grant of Protection,Main applicant,UASC,Male,18 to 24,3
2020-09-30,2020,3,Syria,Middle East,3rd Country Refusal,Refused,Main applicant,Non-UASC,Female,25 to 39,1
2020-09-30,2020,3,Syria,Middle East,3rd Country Refusal,Refused,Main applicant,Non-UASC,Male,17 and under,2
2020-09-30,2020,3,Syria,Middle East,3rd Country Refusal,Refused,Main applicant,Non-UASC,Male,18 to 24,17
2020-09-30,2020,3,Syria,Middle East,3rd Country Refusal,Refused,Main applicant,Non-UASC,Male,25 to 39,27
2020-09-30,2020,3,Syria,Middle East,3rd Country Refusal,Refused,Main applicant,Non-UASC,Male,40 and over,1
2020-09-30,2020,3,Syria,Middle East,Awaiting initial decision,Awaiting initial decision,Dependant,Non-UASC,Female,17 and under,4
2020-09-30,2020,3,Syria,Middle East,Awaiting initial decision,Awaiting initial decision,Dependant,Non-UASC,Female,18 to 24,1
2020-09-30,2020,3,Syria,Middle East,Awaiting initial decision,Awaiting initial decision,Main applicant,Non-UASC,Female,25 to 39,2
2020-09-30,2020,3,Syria,Middle East,Awaiting initial decision,Awaiting initial decision,Main applicant,Non-UASC,Male,18 to 24,5
2020-09-30,2020,3,Syria,Middle East,Awaiting initial decision,Awaiting initial decision,Main applicant,Non-UASC,Male,25 to 39,4
2020-09-30,2020,3,Syria,Middle East,Awaiting initial decision,Awaiting initial decision,Main applicant,UASC,Male,17 and under,1
2020-09-30,2020,3,Syria,Middle East,Non-substantiated withdrawal,Withdrawn,Dependant,Non-UASC,Female,17 and under,1
2020-09-30,2020,3,Syria,Middle East,Non-substantiated withdrawal,Withdrawn,Dependant,Non-UASC,Female,18 to 24,1
2020-09-30,2020,3,Syria,Middle East,Non-substantiated withdrawal,Withdrawn,Main applicant,Non-UASC,Male,18 to 24,2
2020-09-30,2020,3,Syria,Middle East,Non-substantiated withdrawal,Withdrawn,Main applicant,Non-UASC,Male,25 to 39,4
2020-09-30,2020,3,Syria,Middle East,Non-substantiated withdrawal,Withdrawn,Main applicant,Non-UASC,Male,40 and over,1
2020-09-30,2020,3,Syria,Middle East,Other Refusals,Refused,Main applicant,UASC,Male,18 to 24,1
2020-09-30,2020,3,Syria,Middle East,Other Withdrawal,Withdrawn,Main applicant,Non-UASC,Male,25 to 39,1
2020-09-30,2020,3,Syria,Middle East,Refugee Permission,Grant of Protection,Dependant,Non-UASC,Female,17 and under,2
2020-09-30,2020,3,Syria,Middle East,Refugee Permission,Grant of Protection,Dependant,Non-UASC,Female,18 to 24,1
2020-09-30,2020,3,Syria,Middle East,Refugee Permission,Grant of Protection,Dependant,Non-UASC,Female,25 to 39,2
2020-09-30,2020,3,Syria,Middle East,Refugee Permission,Grant of Protection,Dependant,Non-UASC,Female,40 and over,1
2020-09-30,2020,3,Syria,Middle East,Refugee Permission,Grant of Protection,Dependant,Non-UASC,Male,17 and under,4
2020-09-30,2020,3,Syria,Middle East,Refugee Permission,Grant of Protection,Main applicant,Non-UASC,Female,18 to 24,2
2020-09-30,2020,3,Syria,Middle East,Refugee Permission,Grant of Protection,Main applicant,Non-UASC,Female,25 to 39,1
2020-09-30,2020,3,Syria,Middle East,Refugee Permission,Grant of Protection,Main applicant,Non-UASC,Male,17 and under,3
2020-09-30,2020,3,Syria,Middle East,Refugee Permission,Grant of Protection,Main applicant,Non-UASC,Male,18 to 24,81
2020-09-30,2020,3,Syria,Middle East,Refugee Permission,Grant of Protection,Main applicant,Non-UASC,Male,25 to 39,111
2020-09-30,2020,3,Syria,Middle East,Refugee Permission,Grant of Protection,Main applicant,Non-UASC,Male,40 and over,21
2020-09-30,2020,3,Syria,Middle East,Refugee Permission,Grant of Protection,Main applicant,UASC,Male,17 and under,8
2020-09-30,2020,3,Syria,Middle East,Refugee Permission,Grant of Protection,Main applicant,UASC,Male,18 to 24,1
2020-09-30,2020,3,Tajikistan,Asia Central,3rd Country Refusal,Refused,Dependant,Non-UASC,Female,18 to 24,1
2020-09-30,2020,3,Tajikistan,Asia Central,3rd Country Refusal,Refused,Main applicant,Non-UASC,Male,25 to 39,2
2020-09-30,2020,3,Turkey,Europe Other,3rd Country Refusal,Refused,Main applicant,Non-UASC,Male,25 to 39,1
2020-09-30,2020,3,Turkey,Europe Other,Awaiting initial decision,Awaiting initial decision,Main applicant,Non-UASC,Male,18 to 24,1
2020-09-30,2020,3,Turkey,Europe Other,Awaiting initial decision,Awaiting initial decision,Main applicant,Non-UASC,Male,40 and over,2
2020-09-30,2020,3,Turkey,Europe Other,Refugee Permission,Grant of Protection,Main applicant,Non-UASC,Male,25 to 39,1
2020-09-30,2020,3,Vietnam,Asia South East,3rd Country Refusal,Refused,Main applicant,Non-UASC,Male,18 to 24,1
2020-09-30,2020,3,Vietnam,Asia South East,Awaiting initial decision,Awaiting initial decision,Main applicant,Non-UASC,Male,18 to 24,3
2020-09-30,2020,3,Vietnam,Asia South East,Awaiting initial decision,Awaiting initial decision,Main applicant,Non-UASC,Male,25 to 39,8
2020-09-30,2020,3,Vietnam,Asia South East,Awaiting initial decision,Awaiting initial decision,Main applicant,UASC,Male,17 and under,1
2020-09-30,2020,3,Vietnam,Asia South East,Non-substantiated withdrawal,Withdrawn,Main applicant,Non-UASC,Male,18 to 24,2
2020-09-30,2020,3,Vietnam,Asia South East,Non-substantiated withdrawal,Withdrawn,Main applicant,Non-UASC,Male,25 to 39,14
2020-09-30,2020,3,Vietnam,Asia South East,Other Refusals,Refused,Main applicant,Non-UASC,Male,17 and under,1
2020-09-30,2020,3,Vietnam,Asia South East,Other Refusals,Refused,Main applicant,UASC,Male,17 and under,1
2020-09-30,2020,3,Vietnam,Asia South East,Other Withdrawal,Withdrawn,Main applicant,UASC,Male,18 to 24,1
2020-09-30,2020,3,Vietnam,Asia South East,Refugee Permission,Grant of Protection,Main applicant,Non-UASC,Male,17 and under,1
2020-09-30,2020,3,Vietnam,Asia South East,Refugee Permission,Grant of Protection,Main applicant,UASC,Male,17 and under,5
2020-09-30,2020,3,Yemen,Middle East,3rd Country Refusal,Refused,Dependant,Non-UASC,Female,17 and under,1
2020-09-30,2020,3,Yemen,Middle East,3rd Country Refusal,Refused,Dependant,Non-UASC,Female,40 and over,1
2020-09-30,2020,3,Yemen,Middle East,3rd Country Refusal,Refused,Main applicant,Non-UASC,Female,25 to 39,1
2020-09-30,2020,3,Yemen,Middle East,3rd Country Refusal,Refused,Main applicant,Non-UASC,Male,18 to 24,9
2020-09-30,2020,3,Yemen,Middle East,3rd Country Refusal,Refused,Main applicant,Non-UASC,Male,25 to 39,29
2020-09-30,2020,3,Yemen,Middle East,3rd Country Refusal,Refused,Main applicant,Non-UASC,Male,40 and over,9
2020-09-30,2020,3,Yemen,Middle East,3rd Country Refusal,Refused,Main applicant,UASC,Male,17 and under,1
2020-09-30,2020,3,Yemen,Middle East,Awaiting initial decision,Awaiting initial decision,Main applicant,Non-UASC,Male,25 to 39,2
2020-09-30,2020,3,Yemen,Middle East,Awaiting initial decision,Awaiting initial decision,Main applicant,Non-UASC,Male,40 and over,1
2020-09-30,2020,3,Yemen,Middle East,Humanitarian Protection,Grant of Protection,Dependant,Non-UASC,Female,17 and under,2
2020-09-30,2020,3,Yemen,Middle East,Humanitarian Protection,Grant of Protection,Dependant,Non-UASC,Male,17 and under,1
2020-09-30,2020,3,Yemen,Middle East,Humanitarian Protection,Grant of Protection,Main applicant,Non-UASC,Female,18 to 24,1
2020-09-30,2020,3,Yemen,Middle East,Humanitarian Protection,Grant of Protection,Main applicant,Non-UASC,Female,40 and over,1
2020-09-30,2020,3,Yemen,Middle East,Humanitarian Protection,Grant of Protection,Main applicant,Non-UASC,Male,18 to 24,6
2020-09-30,2020,3,Yemen,Middle East,Humanitarian Protection,Grant of Protection,Main applicant,Non-UASC,Male,25 to 39,34
2020-09-30,2020,3,Yemen,Middle East,Humanitarian Protection,Grant of Protection,Main applicant,Non-UASC,Male,40 and over,1
2020-09-30,2020,3,Yemen,Middle East,Humanitarian Protection,Grant of Protection,Main applicant,UASC,Male,17 and under,1
2020-09-30,2020,3,Yemen,Middle East,Other Withdrawal,Withdrawn,Main applicant,Non-UASC,Male,25 to 39,1
2020-09-30,2020,3,Yemen,Middle East,Refugee Permission,Grant of Protection,Dependant,Non-UASC,Female,25 to 39,1
2020-09-30,2020,3,Yemen,Middle East,Refugee Permission,Grant of Protection,Main applicant,Non-UASC,Female,18 to 24,1
2020-09-30,2020,3,Yemen,Middle East,Refugee Permission,Grant of Protection,Main applicant,Non-UASC,Male,18 to 24,7
2020-09-30,2020,3,Yemen,Middle East,Refugee Permission,Grant of Protection,Main applicant,Non-UASC,Male,25 to 39,20
2020-09-30,2020,3,Yemen,Middle East,Refugee Permission,Grant of Protection,Main applicant,Non-UASC,Male,40 and over,1
2020-09-30,2020,3,Yemen,Middle East,Refugee Permission,Grant of Protection,Main applicant,UASC,Male,17 and under,1
2020-12-31,2020,4,Afghanistan,Asia Central,3rd Country Refusal,Refused,Main applicant,Non-UASC,Male,17 and under,1
2020-12-31,2020,4,Afghanistan,Asia Central,3rd Country Refusal,Refused,Main applicant,Non-UASC,Male,18 to 24,8
2020-12-31,2020,4,Afghanistan,Asia Central,3rd Country Refusal,Refused,Main applicant,Non-UASC,Male,25 to 39,8
2020-12-31,2020,4,Afghanistan,Asia Central,3rd Country Refusal,Refused,Main applicant,UASC,Male,17 and under,4
2020-12-31,2020,4,Afghanistan,Asia Central,Awaiting initial decision,Awaiting initial decision,Main applicant,Non-UASC,Male,18 to 24,4
2020-12-31,2020,4,Afghanistan,Asia Central,Awaiting initial decision,Awaiting initial decision,Main applicant,Non-UASC,Male,25 to 39,6
2020-12-31,2020,4,Afghanistan,Asia Central,Awaiting initial decision,Awaiting initial decision,Main applicant,Non-UASC,Male,40 and over,1
2020-12-31,2020,4,Afghanistan,Asia Central,Awaiting initial decision,Awaiting initial decision,Main applicant,UASC,Male,17 and under,1
2020-12-31,2020,4,Afghanistan,Asia Central,Non-substantiated withdrawal,Withdrawn,Main applicant,Non-UASC,Male,18 to 24,2
2020-12-31,2020,4,Afghanistan,Asia Central,Non-substantiated withdrawal,Withdrawn,Main applicant,Non-UASC,Male,25 to 39,5
2020-12-31,2020,4,Afghanistan,Asia Central,Non-substantiated withdrawal,Withdrawn,Main applicant,Non-UASC,Male,40 and over,2
2020-12-31,2020,4,Afghanistan,Asia Central,Other Refusals,Refused,Main applicant,Non-UASC,Male,18 to 24,1
2020-12-31,2020,4,Afghanistan,Asia Central,Other Refusals,Refused,Main applicant,Non-UASC,Male,25 to 39,3
2020-12-31,2020,4,Afghanistan,Asia Central,Other Refusals,Refused,Main applicant,Non-UASC,Male,40 and over,1
2020-12-31,2020,4,Afghanistan,Asia Central,Other Withdrawal,Withdrawn,Main applicant,Non-UASC,Male,18 to 24,1
2020-12-31,2020,4,Afghanistan,Asia Central,Other Withdrawal,Withdrawn,Main applicant,Non-UASC,Male,25 to 39,3
2020-12-31,2020,4,Afghanistan,Asia Central,Refugee Permission,Grant of Protection,Dependant,Non-UASC,Female,17 and under,1
2020-12-31,2020,4,Afghanistan,Asia Central,Refugee Permission,Grant of Protection,Dependant,Non-UASC,Female,25 to 39,1
2020-12-31,2020,4,Afghanistan,Asia Central,Refugee Permission,Grant of Protection,Dependant,Non-UASC,Male,17 and under,3
2020-12-31,2020,4,Afghanistan,Asia Central,Refugee Permission,Grant of Protection,Main applicant,Non-UASC,Female,25 to 39,1
2020-12-31,2020,4,Afghanistan,Asia Central,Refugee Permission,Grant of Protection,Main applicant,Non-UASC,Male,17 and under,1
2020-12-31,2020,4,Afghanistan,Asia Central,Refugee Permission,Grant of Protection,Main applicant,Non-UASC,Male,18 to 24,20
2020-12-31,2020,4,Afghanistan,Asia Central,Refugee Permission,Grant of Protection,Main applicant,Non-UASC,Male,25 to 39,13
2020-12-31,2020,4,Afghanistan,Asia Central,Refugee Permission,Grant of Protection,Main applicant,Non-UASC,Male,40 and over,2
2020-12-31,2020,4,Afghanistan,Asia Central,Refugee Permission,Grant of Protection,Main applicant,UASC,Male,17 and under,32
2020-12-31,2020,4,Albania,Europe Other,3rd Country Refusal,Refused,Main applicant,Non-UASC,Male,25 to 39,1
2020-12-31,2020,4,Albania,Europe Other,Awaiting initial decision,Awaiting initial decision,Main applicant,Non-UASC,Male,18 to 24,2
2020-12-31,2020,4,Albania,Europe Other,Awaiting initial decision,Awaiting initial decision,Main applicant,Non-UASC,Male,25 to 39,3
2020-12-31,2020,4,Albania,Europe Other,Non-substantiated withdrawal,Withdrawn,Main applicant,Non-UASC,Male,25 to 39,1
2020-12-31,2020,4,Albania,Europe Other,Other Withdrawal,Withdrawn,Main applicant,Non-UASC,Male,18 to 24,4
2020-12-31,2020,4,Albania,Europe Other,Other Withdrawal,Withdrawn,Main applicant,Non-UASC,Male,25 to 39,6
2020-12-31,2020,4,Chad,Africa Sub-Saharan,Refugee Permission,Grant of Protection,Main applicant,UASC,Male,17 and under,1
2020-12-31,2020,4,Egypt,Africa North,Awaiting initial decision,Awaiting initial decision,Main applicant,Non-UASC,Male,18 to 24,1
2020-12-31,2020,4,Egypt,Africa North,Awaiting initial decision,Awaiting initial decision,Main applicant,Non-UASC,Male,25 to 39,3
2020-12-31,2020,4,Egypt,Africa North,Awaiting initial decision,Awaiting initial decision,Main applicant,UASC,Male,18 to 24,1
2020-12-31,2020,4,Egypt,Africa North,Non-substantiated withdrawal,Withdrawn,Main applicant,Non-UASC,Male,18 to 24,2
2020-12-31,2020,4,Egypt,Africa North,Non-substantiated withdrawal,Withdrawn,Main applicant,Non-UASC,Male,25 to 39,1
2020-12-31,2020,4,Egypt,Africa North,Other Refusals,Refused,Main applicant,Non-UASC,Male,25 to 39,2
2020-12-31,2020,4,Egypt,Africa North,Other Refusals,Refused,Main applicant,Non-UASC,Male,40 and over,1
2020-12-31,2020,4,Egypt,Africa North,Refugee Permission,Grant of Protection,Main applicant,Non-UASC,Male,25 to 39,1
2020-12-31,2020,4,Eritrea,Africa Sub-Saharan,3rd Country Refusal,Refused,Main applicant,Non-UASC,Male,18 to 24,4
2020-12-31,2020,4,Eritrea,Africa Sub-Saharan,3rd Country Refusal,Refused,Main applicant,Non-UASC,Male,25 to 39,9
2020-12-31,2020,4,Eritrea,Africa Sub-Saharan,Awaiting initial decision,Awaiting initial decision,Dependant,Non-UASC,Female,17 and under,1
2020-12-31,2020,4,Eritrea,Africa Sub-Saharan,Awaiting initial decision,Awaiting initial decision,Dependant,Non-UASC,Female,25 to 39,1
2020-12-31,2020,4,Eritrea,Africa Sub-Saharan,Awaiting initial decision,Awaiting initial decision,Main applicant,Non-UASC,Female,25 to 39,3
2020-12-31,2020,4,Eritrea,Africa Sub-Saharan,Awaiting initial decision,Awaiting initial decision,Main applicant,Non-UASC,Male,18 to 24,2
2020-12-31,2020,4,Eritrea,Africa Sub-Saharan,Awaiting initial decision,Awaiting initial decision,Main applicant,Non-UASC,Male,25 to 39,9
2020-12-31,2020,4,Eritrea,Africa Sub-Saharan,Awaiting initial decision,Awaiting initial decision,Main applicant,UASC,Male,17 and under,1
2020-12-31,2020,4,Eritrea,Africa Sub-Saharan,Refugee Permission,Grant of Protection,Dependant,Non-UASC,Female,17 and under,2
2020-12-31,2020,4,Eritrea,Africa Sub-Saharan,Refugee Permission,Grant of Protection,Dependant,Non-UASC,Male,17 and under,1
2020-12-31,2020,4,Eritrea,Africa Sub-Saharan,Refugee Permission,Grant of Protection,Main applicant,Non-UASC,Female,18 to 24,5
2020-12-31,2020,4,Eritrea,Africa Sub-Saharan,Refugee Permission,Grant of Protection,Main applicant,Non-UASC,Female,25 to 39,10
2020-12-31,2020,4,Eritrea,Africa Sub-Saharan,Refugee Permission,Grant of Protection,Main applicant,Non-UASC,Male,17 and under,1
2020-12-31,2020,4,Eritrea,Africa Sub-Saharan,Refugee Permission,Grant of Protection,Main applicant,Non-UASC,Male,18 to 24,10
2020-12-31,2020,4,Eritrea,Africa Sub-Saharan,Refugee Permission,Grant of Protection,Main applicant,Non-UASC,Male,25 to 39,24
2020-12-31,2020,4,Eritrea,Africa Sub-Saharan,Refugee Permission,Grant of Protection,Main applicant,Non-UASC,Male,40 and over,5
2020-12-31,2020,4,Eritrea,Africa Sub-Saharan,Refugee Permission,Grant of Protection,Main applicant,UASC,Female,17 and under,1
2020-12-31,2020,4,Eritrea,Africa Sub-Saharan,Refugee Permission,Grant of Protection,Main applicant,UASC,Female,18 to 24,2
2020-12-31,2020,4,Eritrea,Africa Sub-Saharan,Refugee Permission,Grant of Protection,Main applicant,UASC,Male,17 and under,3
2020-12-31,2020,4,Ethiopia,Africa Sub-Saharan,3rd Country Refusal,Refused,Main applicant,Non-UASC,Male,18 to 24,1
2020-12-31,2020,4,Ethiopia,Africa Sub-Saharan,3rd Country Refusal,Refused,Main applicant,Non-UASC,Male,25 to 39,1
2020-12-31,2020,4,Ethiopia,Africa Sub-Saharan,Awaiting initial decision,Awaiting initial decision,Main applicant,Non-UASC,Male,18 to 24,1
