Date,Nationality,Region,Support Type,Support Sub-Type,UK Region,People
2017-03-31,Zimbabwe,Africa Sub-Saharan,Section 95,Dispersed Accommodation,Wales,16
2017-03-31,Zimbabwe,Africa Sub-Saharan,Section 95,Dispersed Accommodation,West Midlands,96
2017-03-31,Zimbabwe,Africa Sub-Saharan,Section 95,Dispersed Accommodation,Yorkshire and The Humber,47
2017-03-31,Zimbabwe,Africa Sub-Saharan,Section 95,Subsistence Only,East Midlands,1
2017-03-31,Zimbabwe,Africa Sub-Saharan,Section 95,Subsistence Only,East of England,5
2017-03-31,Zimbabwe,Africa Sub-Saharan,Section 95,Subsistence Only,London,6
2017-03-31,Zimbabwe,Africa Sub-Saharan,Section 95,Subsistence Only,North West,1
2017-03-31,Zimbabwe,Africa Sub-Saharan,Section 95,Subsistence Only,Scotland,4
2017-03-31,Zimbabwe,Africa Sub-Saharan,Section 95,Subsistence Only,South East,11
2017-03-31,Zimbabwe,Africa Sub-Saharan,Section 95,Subsistence Only,South West,2
2017-03-31,Zimbabwe,Africa Sub-Saharan,Section 95,Subsistence Only,West Midlands,3
2017-03-31,Zimbabwe,Africa Sub-Saharan,Section 95,Subsistence Only,Yorkshire and The Humber,5
2017-03-31,N/A - Section 98,N/A - Section 98,Section 98,N/A - Section 98,N/A - Section 98,1563
2017-06-30,N/A - Section 4 (pre-2018),N/A - Section 4 (pre-2018),Section 4,Dispersed Accommodation,N/A - Section 4 (pre-2018),3876
2017-06-30,Afghanistan,Asia Central,Section 95,Dispersed Accommodation,East Midlands,109
2017-06-30,Afghanistan,Asia Central,Section 95,Dispersed Accommodation,East of England,31
2017-06-30,Afghanistan,Asia Central,Section 95,Dispersed Accommodation,London,173
2017-06-30,Afghanistan,Asia Central,Section 95,Dispersed Accommodation,North East,207
2017-06-30,Afghanistan,Asia Central,Section 95,Dispersed Accommodation,North West,552
2017-06-30,Afghanistan,Asia Central,Section 95,Dispersed Accommodation,Northern Ireland,4
2017-06-30,Afghanistan,Asia Central,Section 95,Dispersed Accommodation,Scotland,75
2017-06-30,Afghanistan,Asia Central,Section 95,Dispersed Accommodation,South East,9
2017-06-30,Afghanistan,Asia Central,Section 95,Dispersed Accommodation,South West,34
2017-06-30,Afghanistan,Asia Central,Section 95,Dispersed Accommodation,Unknown,18
2017-06-30,Afghanistan,Asia Central,Section 95,Dispersed Accommodation,Wales,173
2017-06-30,Afghanistan,Asia Central,Section 95,Dispersed Accommodation,West Midlands,300
2017-06-30,Afghanistan,Asia Central,Section 95,Dispersed Accommodation,Yorkshire and The Humber,308
2017-06-30,Afghanistan,Asia Central,Section 95,Subsistence Only,East Midlands,6
2017-06-30,Afghanistan,Asia Central,Section 95,Subsistence Only,East of England,3
2017-06-30,Afghanistan,Asia Central,Section 95,Subsistence Only,London,92
2017-06-30,Afghanistan,Asia Central,Section 95,Subsistence Only,North West,7
2017-06-30,Afghanistan,Asia Central,Section 95,Subsistence Only,Scotland,2
2017-06-30,Afghanistan,Asia Central,Section 95,Subsistence Only,South East,6
2017-06-30,Afghanistan,Asia Central,Section 95,Subsistence Only,Unknown,3
2017-06-30,Afghanistan,Asia Central,Section 95,Subsistence Only,West Midlands,33
2017-06-30,Afghanistan,Asia Central,Section 95,Subsistence Only,Yorkshire and The Humber,7
2017-06-30,Albania,Europe Other,Section 95,Dispersed Accommodation,East Midlands,198
2017-06-30,Albania,Europe Other,Section 95,Dispersed Accommodation,East of England,21
2017-06-30,Albania,Europe Other,Section 95,Dispersed Accommodation,London,379
2017-06-30,Albania,Europe Other,Section 95,Dispersed Accommodation,North East,209
2017-06-30,Albania,Europe Other,Section 95,Dispersed Accommodation,North West,415
2017-06-30,Albania,Europe Other,Section 95,Dispersed Accommodation,Northern Ireland,17
2017-06-30,Albania,Europe Other,Section 95,Dispersed Accommodation,Scotland,76
2017-06-30,Albania,Europe Other,Section 95,Dispersed Accommodation,South East,28
2017-06-30,Albania,Europe Other,Section 95,Dispersed Accommodation,South West,65
2017-06-30,Albania,Europe Other,Section 95,Dispersed Accommodation,Unknown,2
2017-06-30,Albania,Europe Other,Section 95,Dispersed Accommodation,Wales,185
2017-06-30,Albania,Europe Other,Section 95,Dispersed Accommodation,West Midlands,380
2017-06-30,Albania,Europe Other,Section 95,Dispersed Accommodation,Yorkshire and The Humber,294
2017-06-30,Albania,Europe Other,Section 95,Subsistence Only,East Midlands,1
2017-06-30,Albania,Europe Other,Section 95,Subsistence Only,East of England,36
2017-06-30,Albania,Europe Other,Section 95,Subsistence Only,London,267
2017-06-30,Albania,Europe Other,Section 95,Subsistence Only,North East,6
2017-06-30,Albania,Europe Other,Section 95,Subsistence Only,North West,6
2017-06-30,Albania,Europe Other,Section 95,Subsistence Only,South East,23
2017-06-30,Albania,Europe Other,Section 95,Subsistence Only,South West,5
2017-06-30,Albania,Europe Other,Section 95,Subsistence Only,Unknown,5
2017-06-30,Albania,Europe Other,Section 95,Subsistence Only,Wales,1
2017-06-30,Albania,Europe Other,Section 95,Subsistence Only,West Midlands,13
2017-06-30,Albania,Europe Other,Section 95,Subsistence Only,Yorkshire and The Humber,3
2017-06-30,Algeria,Africa North,Section 95,Dispersed Accommodation,East Midlands,21
2017-06-30,Algeria,Africa North,Section 95,Dispersed Accommodation,East of England,5
2017-06-30,Algeria,Africa North,Section 95,Dispersed Accommodation,London,21
2017-06-30,Algeria,Africa North,Section 95,Dispersed Accommodation,North East,29
2017-06-30,Algeria,Africa North,Section 95,Dispersed Accommodation,North West,68
2017-06-30,Algeria,Africa North,Section 95,Dispersed Accommodation,Northern Ireland,15
2017-06-30,Algeria,Africa North,Section 95,Dispersed Accommodation,Scotland,26
2017-06-30,Algeria,Africa North,Section 95,Dispersed Accommodation,South East,5
2017-06-30,Algeria,Africa North,Section 95,Dispersed Accommodation,South West,4
2017-06-30,Algeria,Africa North,Section 95,Dispersed Accommodation,Unknown,1
2017-06-30,Algeria,Africa North,Section 95,Dispersed Accommodation,Wales,24
2017-06-30,Algeria,Africa North,Section 95,Dispersed Accommodation,West Midlands,37
2017-06-30,Algeria,Africa North,Section 95,Dispersed Accommodation,Yorkshire and The Humber,49
2017-06-30,Algeria,Africa North,Section 95,Subsistence Only,East Midlands,1
2017-06-30,Algeria,Africa North,Section 95,Subsistence Only,London,12
2017-06-30,Algeria,Africa North,Section 95,Subsistence Only,North West,1
2017-06-30,Algeria,Africa North,Section 95,Subsistence Only,South East,1
2017-06-30,Algeria,Africa North,Section 95,Subsistence Only,West Midlands,2
2017-06-30,Algeria,Africa North,Section 95,Subsistence Only,Yorkshire and The Humber,1
2017-06-30,Angola,Africa Sub-Saharan,Section 95,Dispersed Accommodation,East Midlands,8
2017-06-30,Angola,Africa Sub-Saharan,Section 95,Dispersed Accommodation,East of England,1
2017-06-30,Angola,Africa Sub-Saharan,Section 95,Dispersed Accommodation,London,6
2017-06-30,Angola,Africa Sub-Saharan,Section 95,Dispersed Accommodation,North East,18
2017-06-30,Angola,Africa Sub-Saharan,Section 95,Dispersed Accommodation,North West,29
2017-06-30,Angola,Africa Sub-Saharan,Section 95,Dispersed Accommodation,South East,5
2017-06-30,Angola,Africa Sub-Saharan,Section 95,Dispersed Accommodation,Wales,14
2017-06-30,Angola,Africa Sub-Saharan,Section 95,Dispersed Accommodation,West Midlands,13
2017-06-30,Angola,Africa Sub-Saharan,Section 95,Dispersed Accommodation,Yorkshire and The Humber,20
2017-06-30,Angola,Africa Sub-Saharan,Section 95,Subsistence Only,London,2
2017-06-30,Angola,Africa Sub-Saharan,Section 95,Subsistence Only,North West,2
2017-06-30,Antigua and Barbuda,America Central and South,Section 95,Dispersed Accommodation,Yorkshire and The Humber,2
2017-06-30,Argentina,America Central and South,Section 95,Dispersed Accommodation,North West,3
2017-06-30,Armenia,Europe Other,Section 95,Dispersed Accommodation,East of England,4
2017-06-30,Armenia,Europe Other,Section 95,Dispersed Accommodation,North East,7
2017-06-30,Armenia,Europe Other,Section 95,Dispersed Accommodation,North West,15
2017-06-30,Armenia,Europe Other,Section 95,Dispersed Accommodation,South East,5
2017-06-30,Armenia,Europe Other,Section 95,Dispersed Accommodation,West Midlands,10
2017-06-30,Armenia,Europe Other,Section 95,Subsistence Only,London,19
2017-06-30,Armenia,Europe Other,Section 95,Subsistence Only,West Midlands,2
2017-06-30,Australia,Oceania,Section 95,Dispersed Accommodation,Yorkshire and The Humber,1
2017-06-30,Azerbaijan,Europe Other,Section 95,Dispersed Accommodation,London,4
2017-06-30,Azerbaijan,Europe Other,Section 95,Dispersed Accommodation,North East,1
2017-06-30,Azerbaijan,Europe Other,Section 95,Dispersed Accommodation,North West,19
2017-06-30,Azerbaijan,Europe Other,Section 95,Dispersed Accommodation,Scotland,3
2017-06-30,Azerbaijan,Europe Other,Section 95,Dispersed Accommodation,West Midlands,2
2017-06-30,Azerbaijan,Europe Other,Section 95,Dispersed Accommodation,Yorkshire and The Humber,3
2017-06-30,Azerbaijan,Europe Other,Section 95,Subsistence Only,London,1
2017-06-30,"Bahamas, The",America Central and South,Section 95,Dispersed Accommodation,East Midlands,1
2017-06-30,Bahrain,Middle East,Section 95,Dispersed Accommodation,East Midlands,1
2017-06-30,Bahrain,Middle East,Section 95,Dispersed Accommodation,East of England,6
2017-06-30,Bahrain,Middle East,Section 95,Dispersed Accommodation,North West,6
2017-06-30,Bahrain,Middle East,Section 95,Dispersed Accommodation,Wales,1
2017-06-30,Bangladesh,Asia South,Section 95,Dispersed Accommodation,East Midlands,46
2017-06-30,Bangladesh,Asia South,Section 95,Dispersed Accommodation,East of England,10
2017-06-30,Bangladesh,Asia South,Section 95,Dispersed Accommodation,London,62
2017-06-30,Bangladesh,Asia South,Section 95,Dispersed Accommodation,North East,69
2017-06-30,Bangladesh,Asia South,Section 95,Dispersed Accommodation,North West,150
2017-06-30,Bangladesh,Asia South,Section 95,Dispersed Accommodation,Northern Ireland,3
2017-06-30,Bangladesh,Asia South,Section 95,Dispersed Accommodation,Scotland,24
2017-06-30,Bangladesh,Asia South,Section 95,Dispersed Accommodation,South East,15
2017-06-30,Bangladesh,Asia South,Section 95,Dispersed Accommodation,South West,26
2017-06-30,Bangladesh,Asia South,Section 95,Dispersed Accommodation,Unknown,3
2017-06-30,Bangladesh,Asia South,Section 95,Dispersed Accommodation,Wales,43
2017-06-30,Bangladesh,Asia South,Section 95,Dispersed Accommodation,West Midlands,108
2017-06-30,Bangladesh,Asia South,Section 95,Dispersed Accommodation,Yorkshire and The Humber,92
2017-06-30,Bangladesh,Asia South,Section 95,Subsistence Only,East Midlands,10
2017-06-30,Bangladesh,Asia South,Section 95,Subsistence Only,East of England,11
2017-06-30,Bangladesh,Asia South,Section 95,Subsistence Only,London,38
2017-06-30,Bangladesh,Asia South,Section 95,Subsistence Only,North East,3
2017-06-30,Bangladesh,Asia South,Section 95,Subsistence Only,North West,11
2017-06-30,Bangladesh,Asia South,Section 95,Subsistence Only,Northern Ireland,3
2017-06-30,Bangladesh,Asia South,Section 95,Subsistence Only,Scotland,5
2017-06-30,Bangladesh,Asia South,Section 95,Subsistence Only,West Midlands,9
2017-06-30,Bangladesh,Asia South,Section 95,Subsistence Only,Yorkshire and The Humber,2
2017-06-30,Barbados,America Central and South,Section 95,Dispersed Accommodation,North West,6
2017-06-30,Barbados,America Central and South,Section 95,Dispersed Accommodation,South East,1
2017-06-30,Belarus,Europe Other,Section 95,Dispersed Accommodation,North West,5
2017-06-30,Belarus,Europe Other,Section 95,Dispersed Accommodation,South West,3
2017-06-30,Belarus,Europe Other,Section 95,Dispersed Accommodation,West Midlands,2
2017-06-30,Belarus,Europe Other,Section 95,Dispersed Accommodation,Yorkshire and The Humber,7
2017-06-30,Belize,America Central and South,Section 95,Dispersed Accommodation,North West,1
2017-06-30,Benin,Africa Sub-Saharan,Section 95,Dispersed Accommodation,North East,4
2017-06-30,Benin,Africa Sub-Saharan,Section 95,Dispersed Accommodation,North West,2
2017-06-30,Benin,Africa Sub-Saharan,Section 95,Dispersed Accommodation,Scotland,4
2017-06-30,Benin,Africa Sub-Saharan,Section 95,Dispersed Accommodation,Wales,3
2017-06-30,Benin,Africa Sub-Saharan,Section 95,Dispersed Accommodation,West Midlands,1
2017-06-30,Bhutan,Asia South,Section 95,Dispersed Accommodation,North West,5
2017-06-30,Bhutan,Asia South,Section 95,Subsistence Only,London,1
2017-06-30,Bolivia,America Central and South,Section 95,Dispersed Accommodation,South West,2
2017-06-30,Bolivia,America Central and South,Section 95,Dispersed Accommodation,Yorkshire and The Humber,2
2017-06-30,Bolivia,America Central and South,Section 95,Subsistence Only,West Midlands,2
2017-06-30,Bosnia and Herzegovina,Europe Other,Section 95,Dispersed Accommodation,London,2
2017-06-30,Bosnia and Herzegovina,Europe Other,Section 95,Subsistence Only,East Midlands,1
2017-06-30,Botswana,Africa Sub-Saharan,Section 95,Dispersed Accommodation,East Midlands,8
2017-06-30,Botswana,Africa Sub-Saharan,Section 95,Dispersed Accommodation,North East,3
2017-06-30,Botswana,Africa Sub-Saharan,Section 95,Dispersed Accommodation,North West,5
2017-06-30,Botswana,Africa Sub-Saharan,Section 95,Dispersed Accommodation,Scotland,1
2017-06-30,Botswana,Africa Sub-Saharan,Section 95,Dispersed Accommodation,Wales,9
2017-06-30,Botswana,Africa Sub-Saharan,Section 95,Dispersed Accommodation,West Midlands,4
2017-06-30,Botswana,Africa Sub-Saharan,Section 95,Dispersed Accommodation,Yorkshire and The Humber,2
2017-06-30,Botswana,Africa Sub-Saharan,Section 95,Subsistence Only,West Midlands,3
2017-06-30,Brazil,America Central and South,Section 95,Dispersed Accommodation,North West,5
2017-06-30,Brazil,America Central and South,Section 95,Dispersed Accommodation,Scotland,1
2017-06-30,Brazil,America Central and South,Section 95,Dispersed Accommodation,Wales,1
2017-06-30,Brazil,America Central and South,Section 95,Dispersed Accommodation,Yorkshire and The Humber,5
2017-06-30,Burkina,Africa Sub-Saharan,Section 95,Dispersed Accommodation,London,1
2017-06-30,Burkina,Africa Sub-Saharan,Section 95,Dispersed Accommodation,North West,2
2017-06-30,Burkina,Africa Sub-Saharan,Section 95,Dispersed Accommodation,South West,1
2017-06-30,Burkina,Africa Sub-Saharan,Section 95,Dispersed Accommodation,Wales,7
2017-06-30,Burkina,Africa Sub-Saharan,Section 95,Dispersed Accommodation,West Midlands,1
2017-06-30,Burma,Asia South East,Section 95,Dispersed Accommodation,East Midlands,1
2017-06-30,Burma,Asia South East,Section 95,Dispersed Accommodation,North West,9
2017-06-30,Burma,Asia South East,Section 95,Dispersed Accommodation,Wales,1
2017-06-30,Burma,Asia South East,Section 95,Dispersed Accommodation,West Midlands,4
2017-06-30,Burma,Asia South East,Section 95,Dispersed Accommodation,Yorkshire and The Humber,5
2017-06-30,Burundi,Africa Sub-Saharan,Section 95,Dispersed Accommodation,East Midlands,6
2017-06-30,Burundi,Africa Sub-Saharan,Section 95,Dispersed Accommodation,London,3
2017-06-30,Burundi,Africa Sub-Saharan,Section 95,Dispersed Accommodation,North East,1
2017-06-30,Burundi,Africa Sub-Saharan,Section 95,Dispersed Accommodation,North West,12
2017-06-30,Burundi,Africa Sub-Saharan,Section 95,Dispersed Accommodation,Scotland,2
2017-06-30,Burundi,Africa Sub-Saharan,Section 95,Dispersed Accommodation,West Midlands,6
2017-06-30,Burundi,Africa Sub-Saharan,Section 95,Dispersed Accommodation,Yorkshire and The Humber,4
2017-06-30,Burundi,Africa Sub-Saharan,Section 95,Subsistence Only,South West,1
2017-06-30,Burundi,Africa Sub-Saharan,Section 95,Subsistence Only,West Midlands,4
2017-06-30,Cambodia,Asia South East,Section 95,Dispersed Accommodation,London,1
2017-06-30,Cambodia,Asia South East,Section 95,Dispersed Accommodation,South West,1
2017-06-30,Cameroon,Africa Sub-Saharan,Section 95,Dispersed Accommodation,East Midlands,14
2017-06-30,Cameroon,Africa Sub-Saharan,Section 95,Dispersed Accommodation,London,16
2017-06-30,Cameroon,Africa Sub-Saharan,Section 95,Dispersed Accommodation,North East,9
2017-06-30,Cameroon,Africa Sub-Saharan,Section 95,Dispersed Accommodation,North West,39
2017-06-30,Cameroon,Africa Sub-Saharan,Section 95,Dispersed Accommodation,Scotland,21
2017-06-30,Cameroon,Africa Sub-Saharan,Section 95,Dispersed Accommodation,South East,2
2017-06-30,Cameroon,Africa Sub-Saharan,Section 95,Dispersed Accommodation,South West,2
2017-06-30,Cameroon,Africa Sub-Saharan,Section 95,Dispersed Accommodation,Unknown,1
2017-06-30,Cameroon,Africa Sub-Saharan,Section 95,Dispersed Accommodation,Wales,7
2017-06-30,Cameroon,Africa Sub-Saharan,Section 95,Dispersed Accommodation,West Midlands,31
2017-06-30,Cameroon,Africa Sub-Saharan,Section 95,Dispersed Accommodation,Yorkshire and The Humber,32
2017-06-30,Cameroon,Africa Sub-Saharan,Section 95,Subsistence Only,East Midlands,2
2017-06-30,Cameroon,Africa Sub-Saharan,Section 95,Subsistence Only,London,3
2017-06-30,Cameroon,Africa Sub-Saharan,Section 95,Subsistence Only,North West,1
2017-06-30,Cameroon,Africa Sub-Saharan,Section 95,Subsistence Only,West Midlands,2
2017-06-30,Canada,America North,Section 95,Dispersed Accommodation,West Midlands,4
2017-06-30,Canada,America North,Section 95,Dispersed Accommodation,Yorkshire and The Humber,5
2017-06-30,Cape Verde,Africa Sub-Saharan,Section 95,Dispersed Accommodation,Yorkshire and The Humber,4
2017-06-30,Central African Republic,Africa Sub-Saharan,Section 95,Dispersed Accommodation,North West,3
2017-06-30,Central African Republic,Africa Sub-Saharan,Section 95,Dispersed Accommodation,Yorkshire and The Humber,2
2017-06-30,Chad,Africa Sub-Saharan,Section 95,Dispersed Accommodation,North East,7
2017-06-30,Chad,Africa Sub-Saharan,Section 95,Dispersed Accommodation,North West,6
2017-06-30,Chad,Africa Sub-Saharan,Section 95,Dispersed Accommodation,Scotland,2
2017-06-30,Chad,Africa Sub-Saharan,Section 95,Dispersed Accommodation,West Midlands,6
2017-06-30,China,Asia East,Section 95,Dispersed Accommodation,East Midlands,184
2017-06-30,China,Asia East,Section 95,Dispersed Accommodation,East of England,31
2017-06-30,China,Asia East,Section 95,Dispersed Accommodation,London,165
2017-06-30,China,Asia East,Section 95,Dispersed Accommodation,North East,162
2017-06-30,China,Asia East,Section 95,Dispersed Accommodation,North West,453
2017-06-30,China,Asia East,Section 95,Dispersed Accommodation,Northern Ireland,151
2017-06-30,China,Asia East,Section 95,Dispersed Accommodation,Scotland,1011
2017-06-30,China,Asia East,Section 95,Dispersed Accommodation,South East,48
2017-06-30,China,Asia East,Section 95,Dispersed Accommodation,South West,40
2017-06-30,China,Asia East,Section 95,Dispersed Accommodation,Unknown,13
2017-06-30,China,Asia East,Section 95,Dispersed Accommodation,Wales,368
2017-06-30,China,Asia East,Section 95,Dispersed Accommodation,West Midlands,297
2017-06-30,China,Asia East,Section 95,Dispersed Accommodation,Yorkshire and The Humber,239
2017-06-30,China,Asia East,Section 95,Subsistence Only,London,34
2017-06-30,China,Asia East,Section 95,Subsistence Only,North West,3
2017-06-30,China,Asia East,Section 95,Subsistence Only,Scotland,7
2017-06-30,China,Asia East,Section 95,Subsistence Only,South East,1
2017-06-30,China,Asia East,Section 95,Subsistence Only,South West,6
2017-06-30,China,Asia East,Section 95,Subsistence Only,Unknown,3
2017-06-30,China,Asia East,Section 95,Subsistence Only,West Midlands,9
2017-06-30,China,Asia East,Section 95,Subsistence Only,Yorkshire and The Humber,2
2017-06-30,Colombia,America Central and South,Section 95,Dispersed Accommodation,East Midlands,7
2017-06-30,Colombia,America Central and South,Section 95,Dispersed Accommodation,Wales,1
2017-06-30,Colombia,America Central and South,Section 95,Dispersed Accommodation,West Midlands,4
2017-06-30,Colombia,America Central and South,Section 95,Dispersed Accommodation,Yorkshire and The Humber,4
2017-06-30,Comoros,Africa Sub-Saharan,Section 95,Dispersed Accommodation,East Midlands,4
2017-06-30,Comoros,Africa Sub-Saharan,Section 95,Dispersed Accommodation,North East,6
2017-06-30,Comoros,Africa Sub-Saharan,Section 95,Dispersed Accommodation,North West,2
2017-06-30,Congo,Africa Sub-Saharan,Section 95,Dispersed Accommodation,East Midlands,5
2017-06-30,Congo,Africa Sub-Saharan,Section 95,Dispersed Accommodation,London,30
2017-06-30,Congo,Africa Sub-Saharan,Section 95,Dispersed Accommodation,North East,14
2017-06-30,Congo,Africa Sub-Saharan,Section 95,Dispersed Accommodation,North West,87
2017-06-30,Congo,Africa Sub-Saharan,Section 95,Dispersed Accommodation,Northern Ireland,4
2017-06-30,Congo,Africa Sub-Saharan,Section 95,Dispersed Accommodation,Scotland,9
2017-06-30,Congo,Africa Sub-Saharan,Section 95,Dispersed Accommodation,South East,4
2017-06-30,Congo,Africa Sub-Saharan,Section 95,Dispersed Accommodation,South West,4
2017-06-30,Congo,Africa Sub-Saharan,Section 95,Dispersed Accommodation,Wales,16
2017-06-30,Congo,Africa Sub-Saharan,Section 95,Dispersed Accommodation,West Midlands,37
2017-06-30,Congo,Africa Sub-Saharan,Section 95,Dispersed Accommodation,Yorkshire and The Humber,47
2017-06-30,Congo,Africa Sub-Saharan,Section 95,Subsistence Only,East Midlands,2
2017-06-30,Congo,Africa Sub-Saharan,Section 95,Subsistence Only,London,9
2017-06-30,Congo,Africa Sub-Saharan,Section 95,Subsistence Only,North East,1
2017-06-30,Congo,Africa Sub-Saharan,Section 95,Subsistence Only,North West,3
2017-06-30,Congo,Africa Sub-Saharan,Section 95,Subsistence Only,South East,1
2017-06-30,Congo,Africa Sub-Saharan,Section 95,Subsistence Only,Unknown,1
2017-06-30,Congo,Africa Sub-Saharan,Section 95,Subsistence Only,West Midlands,3
2017-06-30,Congo,Africa Sub-Saharan,Section 95,Subsistence Only,Yorkshire and The Humber,1
2017-06-30,Congo (Democratic Republic),Africa Sub-Saharan,Section 95,Dispersed Accommodation,East Midlands,15
2017-06-30,Congo (Democratic Republic),Africa Sub-Saharan,Section 95,Dispersed Accommodation,East of England,2
2017-06-30,Congo (Democratic Republic),Africa Sub-Saharan,Section 95,Dispersed Accommodation,London,19
2017-06-30,Congo (Democratic Republic),Africa Sub-Saharan,Section 95,Dispersed Accommodation,North East,10
2017-06-30,Congo (Democratic Republic),Africa Sub-Saharan,Section 95,Dispersed Accommodation,North West,57
2017-06-30,Congo (Democratic Republic),Africa Sub-Saharan,Section 95,Dispersed Accommodation,Northern Ireland,10
2017-06-30,Congo (Democratic Republic),Africa Sub-Saharan,Section 95,Dispersed Accommodation,Scotland,5
2017-06-30,Congo (Democratic Republic),Africa Sub-Saharan,Section 95,Dispersed Accommodation,South East,2
2017-06-30,Congo (Democratic Republic),Africa Sub-Saharan,Section 95,Dispersed Accommodation,South West,3
2017-06-30,Congo (Democratic Republic),Africa Sub-Saharan,Section 95,Dispersed Accommodation,Unknown,3
2017-06-30,Congo (Democratic Republic),Africa Sub-Saharan,Section 95,Dispersed Accommodation,Wales,13
2017-06-30,Congo (Democratic Republic),Africa Sub-Saharan,Section 95,Dispersed Accommodation,West Midlands,14
2017-06-30,Congo (Democratic Republic),Africa Sub-Saharan,Section 95,Dispersed Accommodation,Yorkshire and The Humber,12
2017-06-30,Congo (Democratic Republic),Africa Sub-Saharan,Section 95,Subsistence Only,East of England,5
2017-06-30,Congo (Democratic Republic),Africa Sub-Saharan,Section 95,Subsistence Only,London,8
2017-06-30,Congo (Democratic Republic),Africa Sub-Saharan,Section 95,Subsistence Only,North West,2
2017-06-30,Congo (Democratic Republic),Africa Sub-Saharan,Section 95,Subsistence Only,South West,1
2017-06-30,Congo (Democratic Republic),Africa Sub-Saharan,Section 95,Subsistence Only,Unknown,1
2017-06-30,Congo (Democratic Republic),Africa Sub-Saharan,Section 95,Subsistence Only,West Midlands,3
2017-06-30,Costa Rica,America Central and South,Section 95,Dispersed Accommodation,North West,1
2017-06-30,Cuba,America Central and South,Section 95,Dispersed Accommodation,North West,4
2017-06-30,Cuba,America Central and South,Section 95,Subsistence Only,London,1
2017-06-30,Cyprus (Northern part of),Europe Other,Section 95,Subsistence Only,London,3
2017-06-30,Dominica,America Central and South,Section 95,Dispersed Accommodation,East Midlands,1
2017-06-30,Dominica,America Central and South,Section 95,Dispersed Accommodation,London,4
2017-06-30,Dominica,America Central and South,Section 95,Dispersed Accommodation,West Midlands,5
2017-06-30,Ecuador,America Central and South,Section 95,Subsistence Only,London,1
2017-06-30,Egypt,Africa North,Section 95,Dispersed Accommodation,East Midlands,18
2017-06-30,Egypt,Africa North,Section 95,Dispersed Accommodation,East of England,1
2017-06-30,Egypt,Africa North,Section 95,Dispersed Accommodation,London,45
2017-06-30,Egypt,Africa North,Section 95,Dispersed Accommodation,North East,38
2017-06-30,Egypt,Africa North,Section 95,Dispersed Accommodation,North West,97
2017-06-30,Egypt,Africa North,Section 95,Dispersed Accommodation,Northern Ireland,10
2017-06-30,Egypt,Africa North,Section 95,Dispersed Accommodation,Scotland,29
2017-06-30,Egypt,Africa North,Section 95,Dispersed Accommodation,South East,3
2017-06-30,Egypt,Africa North,Section 95,Dispersed Accommodation,South West,9
2017-06-30,Egypt,Africa North,Section 95,Dispersed Accommodation,Unknown,4
2017-06-30,Egypt,Africa North,Section 95,Dispersed Accommodation,Wales,27
2017-06-30,Egypt,Africa North,Section 95,Dispersed Accommodation,West Midlands,28
2017-06-30,Egypt,Africa North,Section 95,Dispersed Accommodation,Yorkshire and The Humber,51
2017-06-30,Egypt,Africa North,Section 95,Subsistence Only,London,9
2017-06-30,Egypt,Africa North,Section 95,Subsistence Only,North West,2
2017-06-30,Egypt,Africa North,Section 95,Subsistence Only,Northern Ireland,1
2017-06-30,Egypt,Africa North,Section 95,Subsistence Only,South East,7
2017-06-30,Egypt,Africa North,Section 95,Subsistence Only,Yorkshire and The Humber,10
2017-06-30,El Salvador,America Central and South,Section 95,Dispersed Accommodation,London,6
2017-06-30,El Salvador,America Central and South,Section 95,Dispersed Accommodation,North East,3
2017-06-30,El Salvador,America Central and South,Section 95,Dispersed Accommodation,North West,8
2017-06-30,El Salvador,America Central and South,Section 95,Dispersed Accommodation,Scotland,14
2017-06-30,El Salvador,America Central and South,Section 95,Dispersed Accommodation,South West,5
2017-06-30,El Salvador,America Central and South,Section 95,Dispersed Accommodation,Wales,24
2017-06-30,El Salvador,America Central and South,Section 95,Dispersed Accommodation,West Midlands,9
2017-06-30,El Salvador,America Central and South,Section 95,Dispersed Accommodation,Yorkshire and The Humber,15
2017-06-30,El Salvador,America Central and South,Section 95,Subsistence Only,North West,1
2017-06-30,Equatorial Guinea,Africa Sub-Saharan,Section 95,Dispersed Accommodation,Wales,3
2017-06-30,Eritrea,Africa Sub-Saharan,Section 95,Dispersed Accommodation,East Midlands,99
2017-06-30,Eritrea,Africa Sub-Saharan,Section 95,Dispersed Accommodation,East of England,6
2017-06-30,Eritrea,Africa Sub-Saharan,Section 95,Dispersed Accommodation,London,45
2017-06-30,Eritrea,Africa Sub-Saharan,Section 95,Dispersed Accommodation,North East,94
2017-06-30,Eritrea,Africa Sub-Saharan,Section 95,Dispersed Accommodation,North West,284
2017-06-30,Eritrea,Africa Sub-Saharan,Section 95,Dispersed Accommodation,Northern Ireland,6
2017-06-30,Eritrea,Africa Sub-Saharan,Section 95,Dispersed Accommodation,Scotland,86
2017-06-30,Eritrea,Africa Sub-Saharan,Section 95,Dispersed Accommodation,South East,3
2017-06-30,Eritrea,Africa Sub-Saharan,Section 95,Dispersed Accommodation,South West,21
2017-06-30,Eritrea,Africa Sub-Saharan,Section 95,Dispersed Accommodation,Wales,85
2017-06-30,Eritrea,Africa Sub-Saharan,Section 95,Dispersed Accommodation,West Midlands,171
2017-06-30,Eritrea,Africa Sub-Saharan,Section 95,Dispersed Accommodation,Yorkshire and The Humber,161
