Year,Nationality,Region,Grant,Refused,Initial grant rate
2004,Gabon,Africa Sub-Saharan,0,2,0
2004,"Gambia, The",Africa Sub-Saharan,2,116,0.01694915254237288
2004,Georgia,Europe Other,10,152,0.06172839506172839
2004,Ghana,Africa Sub-Saharan,10,314,0.030864197530864196
2004,Grenada,America Central and South,0,1,0
2004,Guatemala,America Central and South,0,1,0
2004,Guinea,Africa Sub-Saharan,54,268,0.16770186335403728
2004,Guinea-Bissau,Africa Sub-Saharan,2,22,0.08333333333333333
2004,Guyana,America Central and South,1,4,0.2
2004,Hungary,EU 8,0,3,0
2004,India,Asia South,19,1512,0.012410189418680601
2004,Indonesia,Asia South East,1,27,0.03571428571428571
2004,Iran,Middle East,300,3589,0.07714065312419645
2004,Iraq,Middle East,197,4617,0.040922309929372666
2004,Ireland,EU 14,0,2,0
2004,Israel,Middle East,1,44,0.022222222222222223
2004,Italy,EU 14,0,1,0
2004,Ivory Coast,Africa Sub-Saharan,20,269,0.06920415224913495
2004,Jamaica,America Central and South,11,500,0.021526418786692758
2004,Japan,Asia East,0,3,0
2004,Jordan,Middle East,1,13,0.07142857142857142
2004,Kazakhstan,Asia Central,2,6,0.25
2004,Kenya,Africa Sub-Saharan,35,172,0.16908212560386474
2004,Kuwait,Middle East,2,37,0.05128205128205128
2004,Kyrgyzstan,Asia Central,2,16,0.1111111111111111
2004,Latvia,EU 8,0,17,0
2004,Lebanon,Middle East,5,141,0.03424657534246575
2004,Lesotho,Africa Sub-Saharan,0,1,0
2004,Liberia,Africa Sub-Saharan,67,434,0.13373253493013973
2004,Libya,Africa North,16,157,0.09248554913294797
2004,Lithuania,EU 8,1,48,0.02040816326530612
2004,Madagascar,Africa Sub-Saharan,0,2,0
2004,Malawi,Africa Sub-Saharan,7,150,0.044585987261146494
2004,Malaysia,Asia South East,1,9,0.1
2004,Maldives,Asia South,1,1,0.5
2004,Mali,Africa Sub-Saharan,2,8,0.2
2004,Malta,EU Other,0,1,0
2004,Mauritania,Africa North,4,13,0.23529411764705882
2004,Mauritius,Africa Sub-Saharan,1,21,0.045454545454545456
2004,Moldova,Europe Other,36,171,0.17391304347826086
2004,Mongolia,Asia East,10,122,0.07575757575757576
2004,Morocco,Africa North,3,28,0.0967741935483871
2004,Mozambique,Africa Sub-Saharan,0,4,0
2004,Myanmar (Burma),Asia South East,16,80,0.16666666666666666
2004,Namibia,Africa Sub-Saharan,0,2,0
2004,Nepal,Asia South,6,194,0.03
2004,Netherlands,EU 14,0,1,0
2004,Nicaragua,America Central and South,0,1,0
2004,Niger,Africa Sub-Saharan,0,7,0
2004,Nigeria,Africa Sub-Saharan,51,988,0.04908565928777671
2004,North Korea,Asia East,10,46,0.17857142857142858
2004,North Macedonia,Europe Other,13,26,0.3333333333333333
2004,Occupied Palestinian Territories,Middle East,32,513,0.05871559633027523
2004,Oman,Middle East,1,0,1
2004,Other and unknown,Other,2,24,0.07692307692307693
2004,Pakistan,Asia South,167,1797,0.08503054989816701
2004,Peru,America Central and South,0,9,0
2004,Philippines,Asia South East,2,22,0.08333333333333333
2004,Poland,EU 8,0,63,0
2004,Qatar,Middle East,0,3,0
2004,Refugee,Other,1,48,0.02040816326530612
2004,Romania,EU 2,80,298,0.21164021164021163
2004,Russia,Europe Other,29,215,0.11885245901639344
2004,Rwanda,Africa Sub-Saharan,37,170,0.178743961352657
2004,Saudi Arabia,Middle East,0,2,0
2004,Senegal,Africa Sub-Saharan,1,26,0.037037037037037035
2004,Serbia and Montenegro,Europe Other,182,961,0.15923009623797024
2004,Seychelles,Africa Sub-Saharan,0,6,0
2004,Sierra Leone,Africa Sub-Saharan,53,322,0.14133333333333334
2004,Singapore,Asia South East,0,1,0
2004,Slovakia,EU 8,0,14,0
2004,Slovenia,EU 8,0,1,0
2004,Somalia,Africa Sub-Saharan,918,2357,0.28030534351145037
2004,South Africa,Africa Sub-Saharan,2,229,0.008658008658008658
2004,South Korea,Asia East,0,1,0
2004,Sri Lanka,Asia South,98,623,0.13592233009708737
2004,St Lucia,America Central and South,0,4,0
2004,Stateless,Other,0,5,0
2004,Sudan,Africa North,159,1304,0.10868079289131921
2004,Syria,Middle East,28,254,0.09929078014184398
2004,São Tomé and Príncipe,Africa Sub-Saharan,0,1,0
2004,Tajikistan,Asia Central,0,4,0
2004,Tanzania,Africa Sub-Saharan,8,20,0.2857142857142857
2004,Thailand,Asia South East,1,8,0.1111111111111111
2004,Togo,Africa Sub-Saharan,7,90,0.07216494845360824
2004,Trinidad and Tobago,America Central and South,1,6,0.14285714285714285
2004,Tunisia,Africa North,4,12,0.25
2004,Turkey,Europe Other,178,1985,0.08229311141932501
2004,Turkmenistan,Asia Central,7,7,0.5
2004,Uganda,Africa Sub-Saharan,131,353,0.2706611570247934
2004,Ukraine,Europe Other,13,133,0.08904109589041095
2004,United States,America North,0,4,0
2004,Uzbekistan,Asia Central,1,26,0.037037037037037035
2004,Venezuela,America Central and South,2,6,0.25
2004,Vietnam,Asia South East,223,673,0.24888392857142858
2004,Western Sahara,Africa North,0,2,0
2004,Yemen,Middle East,25,81,0.2358490566037736
2004,Zambia,Africa Sub-Saharan,2,18,0.1
2004,Zimbabwe,Africa Sub-Saharan,249,2310,0.09730363423212192
2005,Afghanistan,Asia Central,499,1052,0.3217279174725983
2005,Albania,Europe Other,32,149,0.17679558011049723
2005,Algeria,Africa North,27,269,0.09121621621621621
2005,Angola,Africa Sub-Saharan,47,158,0.22926829268292684
2005,Antigua and Barbuda,America Central and South,0,1,0
2005,Argentina,America Central and South,0,2,0
2005,Armenia,Europe Other,3,27,0.1
2005,Azerbaijan,Europe Other,5,43,0.10416666666666667
2005,Bangladesh,Asia South,143,250,0.3638676844783715
2005,Belarus,Europe Other,6,50,0.10714285714285714
2005,Benin,Africa Sub-Saharan,0,11,0
2005,Bhutan,Asia South,2,15,0.11764705882352941
2005,Bolivia,America Central and South,3,12,0.2
2005,Bosnia and Herzegovina,Europe Other,4,22,0.15384615384615385
2005,Botswana,Africa Sub-Saharan,0,4,0
2005,Brazil,America Central and South,0,7,0
2005,British overseas citizens,Other,1,0,1
2005,Bulgaria,EU 2,4,2,0.6666666666666666
2005,Burkina Faso,Africa Sub-Saharan,1,9,0.1
2005,Burundi,Africa Sub-Saharan,43,98,0.3049645390070922
2005,Cambodia,Asia South East,0,1,0
2005,Cameroon,Africa Sub-Saharan,53,243,0.17905405405405406
2005,Canada,America North,0,2,0
2005,Central African Republic,Africa Sub-Saharan,0,2,0
2005,Chad,Africa Sub-Saharan,10,9,0.5263157894736842
2005,Chile,America Central and South,0,1,0
2005,China,Asia East,87,1684,0.04912478825522304
2005,Colombia,America Central and South,8,65,0.1095890410958904
2005,Comoros,Africa Sub-Saharan,0,1,0
2005,Congo,Africa Sub-Saharan,16,76,0.17391304347826086
2005,Congo (Democratic Republic),Africa Sub-Saharan,216,983,0.18015012510425354
2005,Costa Rica,America Central and South,0,1,0
2005,Croatia,EU Other,5,19,0.20833333333333334
2005,Cuba,America Central and South,1,13,0.07142857142857142
2005,Cyprus (Northern part of),Europe Other,1,2,0.3333333333333333
2005,Czechia,EU 8,0,7,0
2005,Djibouti,Africa Sub-Saharan,1,0,1
2005,Dominica,America Central and South,0,1,0
2005,Ecuador,America Central and South,1,20,0.047619047619047616
2005,Egypt,Africa North,0,51,0
2005,Equatorial Guinea,Africa Sub-Saharan,0,3,0
2005,Eritrea,Africa Sub-Saharan,691,963,0.41777509068923824
2005,Estonia,EU 8,0,2,0
2005,Eswatini,Africa Sub-Saharan,0,2,0
2005,Ethiopia,Africa Sub-Saharan,50,345,0.12658227848101267
2005,France,EU 14,0,2,0
2005,Gabon,Africa Sub-Saharan,0,2,0
2005,"Gambia, The",Africa Sub-Saharan,5,82,0.05747126436781609
2005,Georgia,Europe Other,3,94,0.030927835051546393
2005,Germany,EU 14,0,1,0
2005,Ghana,Africa Sub-Saharan,15,188,0.07389162561576355
2005,Grenada,America Central and South,0,1,0
2005,Guinea,Africa Sub-Saharan,60,129,0.31746031746031744
2005,Guinea-Bissau,Africa Sub-Saharan,0,1,0
2005,Guyana,America Central and South,0,4,0
2005,Haiti,America Central and South,0,2,0
2005,Hong Kong,Asia East,0,4,0
2005,Hungary,EU 8,0,1,0
2005,India,Asia South,20,916,0.021367521367521368
2005,Indonesia,Asia South East,0,7,0
2005,Iran,Middle East,457,2848,0.1382753403933434
2005,Iraq,Middle East,161,1673,0.08778625954198473
2005,Ireland,EU 14,0,1,0
2005,Israel,Middle East,0,32,0
2005,Ivory Coast,Africa Sub-Saharan,37,167,0.18137254901960784
2005,Jamaica,America Central and South,12,305,0.03785488958990536
2005,Japan,Asia East,0,1,0
2005,Jordan,Middle East,0,7,0
2005,Kazakhstan,Asia Central,0,7,0
2005,Kenya,Africa Sub-Saharan,13,93,0.12264150943396226
2005,Kuwait,Middle East,15,19,0.4411764705882353
2005,Kyrgyzstan,Asia Central,0,5,0
2005,Lebanon,Middle East,7,77,0.08333333333333333
2005,Lesotho,Africa Sub-Saharan,0,2,0
2005,Liberia,Africa Sub-Saharan,18,195,0.08450704225352113
2005,Libya,Africa North,13,132,0.0896551724137931
2005,Lithuania,EU 8,0,9,0
2005,Malawi,Africa Sub-Saharan,2,110,0.017857142857142856
2005,Malaysia,Asia South East,0,12,0
2005,Maldives,Asia South,4,0,1
2005,Mali,Africa Sub-Saharan,1,6,0.14285714285714285
2005,Mauritania,Africa North,1,8,0.1111111111111111
2005,Mauritius,Africa Sub-Saharan,1,5,0.16666666666666666
2005,Moldova,Europe Other,18,86,0.17307692307692307
2005,Mongolia,Asia East,3,93,0.03125
2005,Morocco,Africa North,8,29,0.21621621621621623
2005,Mozambique,Africa Sub-Saharan,1,4,0.2
2005,Myanmar (Burma),Asia South East,26,35,0.4262295081967213
2005,Namibia,Africa Sub-Saharan,0,2,0
2005,Nepal,Asia South,2,68,0.02857142857142857
2005,Niger,Africa Sub-Saharan,0,7,0
2005,Nigeria,Africa Sub-Saharan,69,806,0.07885714285714286
2005,North Korea,Asia East,15,9,0.625
2005,North Macedonia,Europe Other,0,12,0
2005,Occupied Palestinian Territories,Middle East,28,411,0.06378132118451026
2005,Oman,Middle East,0,1,0
2005,Other and unknown,Other,4,15,0.21052631578947367
2005,Pakistan,Asia South,122,1041,0.10490111779879621
2005,Peru,America Central and South,0,6,0
2005,Philippines,Asia South East,0,8,0
2005,Poland,EU 8,0,8,0
2005,Qatar,Middle East,1,1,0.5
2005,Refugee,Other,27,50,0.35064935064935066
2005,Romania,EU 2,39,124,0.2392638036809816
2005,Russia,Europe Other,23,117,0.16428571428571428
2005,Rwanda,Africa Sub-Saharan,6,48,0.1111111111111111
2005,Senegal,Africa Sub-Saharan,0,14,0
2005,Serbia and Montenegro,Europe Other,57,415,0.12076271186440678
2005,Seychelles,Africa Sub-Saharan,0,3,0
2005,Sierra Leone,Africa Sub-Saharan,28,145,0.16184971098265896
2005,Singapore,Asia South East,0,3,0
2005,Slovakia,EU 8,0,2,0
2005,Somalia,Africa Sub-Saharan,853,999,0.4605831533477322
2005,South Africa,Africa Sub-Saharan,0,88,0
2005,South Korea,Asia East,0,1,0
2005,Sri Lanka,Asia South,64,454,0.12355212355212356
2005,St Lucia,America Central and South,0,2,0
2005,St Vincent and the Grenadines,America Central and South,0,1,0
2005,Stateless,Other,0,8,0
2005,Sudan,Africa North,93,901,0.09356136820925554
2005,Sweden,EU 14,0,1,0
2005,Syria,Middle East,41,317,0.11452513966480447
2005,Taiwan,Asia East,0,1,0
2005,Tanzania,Africa Sub-Saharan,1,21,0.045454545454545456
2005,Thailand,Asia South East,1,5,0.16666666666666666
2005,Togo,Africa Sub-Saharan,6,54,0.1
2005,Trinidad and Tobago,America Central and South,0,5,0
2005,Tunisia,Africa North,4,18,0.18181818181818182
2005,Turkey,Europe Other,100,820,0.10869565217391304
2005,Turkmenistan,Asia Central,4,6,0.4
2005,Uganda,Africa Sub-Saharan,42,192,0.1794871794871795
2005,Ukraine,Europe Other,1,53,0.018518518518518517
2005,United Arab Emirates,Middle East,0,1,0
2005,United States,America North,0,2,0
2005,Uzbekistan,Asia Central,3,13,0.1875
2005,Venezuela,America Central and South,1,11,0.08333333333333333
2005,Vietnam,Asia South East,134,293,0.31381733021077285
2005,Western Sahara,Africa North,1,6,0.14285714285714285
2005,Yemen,Middle East,13,36,0.2653061224489796
2005,Zambia,Africa Sub-Saharan,0,13,0
2005,Zimbabwe,Africa Sub-Saharan,95,944,0.09143407122232916
2006,Afghanistan,Asia Central,805,1311,0.3804347826086957
2006,Albania,Europe Other,35,95,0.2692307692307692
2006,Algeria,Africa North,33,171,0.16176470588235295
2006,Angola,Africa Sub-Saharan,23,56,0.2911392405063291
2006,Armenia,Europe Other,0,15,0
2006,Azerbaijan,Europe Other,2,30,0.0625
2006,Bahrain,Middle East,1,0,1
2006,Bangladesh,Asia South,85,260,0.2463768115942029
2006,Belarus,Europe Other,10,40,0.2
2006,Benin,Africa Sub-Saharan,2,3,0.4
2006,Bhutan,Asia South,3,9,0.25
2006,Bolivia,America Central and South,3,6,0.3333333333333333
2006,Bosnia and Herzegovina,Europe Other,2,14,0.125
2006,Botswana,Africa Sub-Saharan,0,1,0
2006,Brazil,America Central and South,0,4,0
2006,British overseas citizens,Other,5,2,0.7142857142857143
2006,Bulgaria,EU 2,2,6,0.25
2006,Burkina Faso,Africa Sub-Saharan,0,1,0
2006,Burundi,Africa Sub-Saharan,9,34,0.20930232558139536
2006,Cameroon,Africa Sub-Saharan,28,187,0.13023255813953488
2006,Canada,America North,0,2,0
2006,Central African Republic,Africa Sub-Saharan,1,2,0.3333333333333333
2006,Chad,Africa Sub-Saharan,2,13,0.13333333333333333
2006,Chile,America Central and South,0,1,0
2006,China,Asia East,124,1600,0.07192575406032482
2006,Colombia,America Central and South,6,46,0.11538461538461539
2006,Congo,Africa Sub-Saharan,10,33,0.23255813953488372
2006,Congo (Democratic Republic),Africa Sub-Saharan,128,472,0.21333333333333335
2006,Croatia,EU Other,0,14,0
2006,Cuba,America Central and South,1,13,0.07142857142857142
2006,Czechia,EU 8,0,2,0
2006,Djibouti,Africa Sub-Saharan,0,4,0
2006,Dominica,America Central and South,0,1,0
2006,Ecuador,America Central and South,0,11,0
2006,Egypt,Africa North,3,17,0.15
2006,El Salvador,America Central and South,0,1,0
2006,Eritrea,Africa Sub-Saharan,854,1313,0.3940932164282418
2006,Eswatini,Africa Sub-Saharan,1,3,0.25
2006,Ethiopia,Africa Sub-Saharan,41,187,0.17982456140350878
2006,Gabon,Africa Sub-Saharan,0,1,0
2006,"Gambia, The",Africa Sub-Saharan,10,90,0.1
2006,Georgia,Europe Other,2,46,0.041666666666666664
2006,Ghana,Africa Sub-Saharan,3,84,0.034482758620689655
2006,Grenada,America Central and South,0,2,0
2006,Guinea,Africa Sub-Saharan,38,82,0.31666666666666665
2006,Guinea-Bissau,Africa Sub-Saharan,1,3,0.25
2006,Guyana,America Central and South,1,1,0.5
2006,Haiti,America Central and South,0,1,0
2006,Hong Kong,Asia East,0,2,0
2006,India,Asia South,13,565,0.02249134948096886
2006,Indonesia,Asia South East,0,3,0
2006,Iran,Middle East,357,1850,0.1617580425917535
2006,Iraq,Middle East,90,648,0.12195121951219512
2006,Ireland,EU 14,0,1,0
2006,Israel,Middle East,2,14,0.125
2006,Ivory Coast,Africa Sub-Saharan,27,132,0.16981132075471697
2006,Jamaica,America Central and South,9,158,0.05389221556886228
2006,Jordan,Middle East,0,9,0
2006,Kazakhstan,Asia Central,0,4,0
2006,Kenya,Africa Sub-Saharan,9,78,0.10344827586206896
2006,Kuwait,Middle East,53,81,0.39552238805970147
2006,Kyrgyzstan,Asia Central,1,6,0.14285714285714285
2006,Laos,Asia South East,0,1,0
2006,Latvia,EU 8,0,1,0
2006,Lebanon,Middle East,8,122,0.06153846153846154
2006,Liberia,Africa Sub-Saharan,7,40,0.14893617021276595
2006,Libya,Africa North,7,81,0.07954545454545454
2006,Malawi,Africa Sub-Saharan,2,52,0.037037037037037035
2006,Malaysia,Asia South East,0,9,0
2006,Mali,Africa Sub-Saharan,0,8,0
2006,Mauritania,Africa North,0,1,0
2006,Mauritius,Africa Sub-Saharan,1,12,0.07692307692307693
2006,Mexico,America Central and South,0,1,0
2006,Moldova,Europe Other,8,42,0.16
2006,Mongolia,Asia East,6,33,0.15384615384615385
2006,Morocco,Africa North,0,21,0
2006,Mozambique,Africa Sub-Saharan,0,3,0
2006,Myanmar (Burma),Asia South East,32,31,0.5079365079365079
2006,Namibia,Africa Sub-Saharan,0,10,0
2006,Nepal,Asia South,0,45,0
2006,Niger,Africa Sub-Saharan,0,7,0
2006,Nigeria,Africa Sub-Saharan,54,559,0.08809135399673736
2006,North Korea,Asia East,23,10,0.696969696969697
2006,North Macedonia,Europe Other,0,3,0
2006,Occupied Palestinian Territories,Middle East,6,220,0.02654867256637168
2006,Oman,Middle East,0,1,0
2006,Other and unknown,Other,5,9,0.35714285714285715
2006,Pakistan,Asia South,117,691,0.1448019801980198
2006,Paraguay,America Central and South,0,1,0
2006,Peru,America Central and South,0,3,0
2006,Philippines,Asia South East,0,4,0
2006,Poland,EU 8,1,3,0.25
2006,Refugee,Other,24,22,0.5217391304347826
2006,Romania,EU 2,9,46,0.16363636363636364
2006,Russia,Europe Other,15,84,0.15151515151515152
2006,Rwanda,Africa Sub-Saharan,3,16,0.15789473684210525
2006,Senegal,Africa Sub-Saharan,1,11,0.08333333333333333
2006,Serbia and Montenegro,Europe Other,22,110,0.16666666666666666
2006,Seychelles,Africa Sub-Saharan,1,1,0.5
2006,Sierra Leone,Africa Sub-Saharan,21,86,0.19626168224299065
2006,Slovenia,EU 8,0,1,0
2006,Somalia,Africa Sub-Saharan,819,905,0.47505800464037123
2006,South Africa,Africa Sub-Saharan,1,56,0.017543859649122806
2006,Spain,EU 14,0,1,0
2006,Sri Lanka,Asia South,62,369,0.14385150812064965
2006,St Lucia,America Central and South,0,5,0
2006,St Vincent and the Grenadines,America Central and South,0,1,0
2006,Stateless,Other,1,1,0.5
2006,Sudan,Africa North,70,509,0.12089810017271158
2006,Syria,Middle East,31,146,0.1751412429378531
2006,Taiwan,Asia East,0,1,0
2006,Tanzania,Africa Sub-Saharan,0,14,0
2006,Thailand,Asia South East,0,1,0
2006,Togo,Africa Sub-Saharan,4,22,0.15384615384615385
2006,Trinidad and Tobago,America Central and South,0,3,0
2006,Tunisia,Africa North,1,17,0.05555555555555555
2006,Turkey,Europe Other,49,372,0.1163895486935867
2006,Turkmenistan,Asia Central,4,6,0.4
2006,Uganda,Africa Sub-Saharan,21,123,0.14583333333333334
2006,Ukraine,Europe Other,3,29,0.09375
2006,United Arab Emirates,Middle East,2,1,0.6666666666666666
2006,United States,America North,0,3,0
2006,Uzbekistan,Asia Central,4,14,0.2222222222222222
2006,Venezuela,America Central and South,0,6,0
2006,Vietnam,Asia South East,21,58,0.26582278481012656
2006,Western Sahara,Africa North,0,4,0
2006,Yemen,Middle East,8,34,0.19047619047619047
2006,Zambia,Africa Sub-Saharan,0,11,0
2006,Zimbabwe,Africa Sub-Saharan,171,1508,0.10184633710541989
2007,Afghanistan,Asia Central,885,1492,0.37231804795961293
2007,Albania,Europe Other,39,115,0.2532467532467532
2007,Algeria,Africa North,17,230,0.06882591093117409
2007,Angola,Africa Sub-Saharan,47,54,0.46534653465346537
2007,Armenia,Europe Other,3,10,0.23076923076923078
2007,Azerbaijan,Europe Other,4,21,0.16
2007,Bahrain,Middle East,1,2,0.3333333333333333
2007,Bangladesh,Asia South,122,323,0.27415730337078653
2007,Belarus,Europe Other,12,42,0.2222222222222222
2007,Belize,America Central and South,0,1,0
2007,Benin,Africa Sub-Saharan,2,3,0.4
2007,Bhutan,Asia South,5,18,0.21739130434782608
2007,Bolivia,America Central and South,0,12,0
2007,Bosnia and Herzegovina,Europe Other,2,7,0.2222222222222222
2007,Botswana,Africa Sub-Saharan,0,3,0
2007,Brazil,America Central and South,1,16,0.058823529411764705
2007,British overseas citizens,Other,7,14,0.3333333333333333
2007,Bulgaria,EU 2,1,1,0.5
2007,Burkina Faso,Africa Sub-Saharan,0,3,0
2007,Burundi,Africa Sub-Saharan,11,25,0.3055555555555556
2007,Cameroon,Africa Sub-Saharan,44,166,0.20952380952380953
2007,Chad,Africa Sub-Saharan,8,2,0.8
2007,Chile,America Central and South,0,1,0
2007,China,Asia East,143,1860,0.07139291063404893
2007,Christmas Island (Australian),Other,0,2,0
2007,Colombia,America Central and South,3,30,0.09090909090909091
2007,Congo,Africa Sub-Saharan,8,24,0.25
2007,Congo (Democratic Republic),Africa Sub-Saharan,138,314,0.3053097345132743
2007,Costa Rica,America Central and South,0,1,0
2007,Croatia,EU Other,1,7,0.125
2007,Cuba,America Central and South,2,11,0.15384615384615385
2007,Cyprus (Northern part of),Europe Other,0,1,0
2007,Czechia,EU 8,0,3,0
2007,Denmark,EU 14,0,1,0
2007,Djibouti,Africa Sub-Saharan,0,1,0
2007,Dominica,America Central and South,0,2,0
2007,Dominican Republic,America Central and South,0,1,0
2007,Ecuador,America Central and South,0,13,0
2007,Egypt,Africa North,4,38,0.09523809523809523
2007,Eritrea,Africa Sub-Saharan,1172,711,0.6224110462028678
2007,Eswatini,Africa Sub-Saharan,0,8,0
2007,Ethiopia,Africa Sub-Saharan,38,78,0.3275862068965517
2007,Fiji,Oceania,1,0,1
2007,France,EU 14,0,1,0
2007,Gabon,Africa Sub-Saharan,0,1,0
2007,"Gambia, The",Africa Sub-Saharan,12,73,0.1411764705882353
2007,Georgia,Europe Other,1,46,0.02127659574468085
2007,Germany,EU 14,0,1,0
2007,Ghana,Africa Sub-Saharan,4,97,0.039603960396039604
2007,Grenada,America Central and South,0,2,0
2007,Guatemala,America Central and South,0,1,0
2007,Guinea,Africa Sub-Saharan,47,108,0.3032258064516129
2007,Guinea-Bissau,Africa Sub-Saharan,3,4,0.42857142857142855
2007,Guyana,America Central and South,0,6,0
2007,Hong Kong,Asia East,0,2,0
2007,Hungary,EU 8,0,1,0
2007,India,Asia South,14,432,0.03139013452914798
2007,Indonesia,Asia South East,0,4,0
2007,Iran,Middle East,424,1666,0.20287081339712917
2007,Iraq,Middle East,275,1088,0.20176082171680118
2007,Israel,Middle East,0,14,0
2007,Ivory Coast,Africa Sub-Saharan,14,130,0.09722222222222222
2007,Jamaica,America Central and South,13,226,0.05439330543933055
2007,Japan,Asia East,0,3,0
2007,Jordan,Middle East,1,14,0.06666666666666667
2007,Kazakhstan,Asia Central,0,6,0
2007,Kenya,Africa Sub-Saharan,16,93,0.14678899082568808
2007,Kosovo,Europe Other,10,57,0.14925373134328357
2007,Kuwait,Middle East,71,82,0.46405228758169936
2007,Kyrgyzstan,Asia Central,2,3,0.4
2007,Latvia,EU 8,0,3,0
2007,Lebanon,Middle East,5,52,0.08771929824561403
2007,Lesotho,Africa Sub-Saharan,0,2,0
2007,Liberia,Africa Sub-Saharan,3,37,0.075
2007,Libya,Africa North,8,41,0.16326530612244897
2007,Lithuania,EU 8,0,6,0
2007,Macau,Asia East,0,1,0
2007,Malawi,Africa Sub-Saharan,3,53,0.05357142857142857
2007,Malaysia,Asia South East,1,15,0.0625
2007,Mali,Africa Sub-Saharan,0,1,0
2007,Mauritania,Africa North,2,1,0.6666666666666666
2007,Mauritius,Africa Sub-Saharan,0,15,0
2007,Mexico,America Central and South,0,2,0
2007,Moldova,Europe Other,3,28,0.0967741935483871
2007,Mongolia,Asia East,2,21,0.08695652173913043
2007,Morocco,Africa North,1,20,0.047619047619047616
2007,Mozambique,Africa Sub-Saharan,0,2,0
2007,Myanmar (Burma),Asia South East,111,40,0.7350993377483444
2007,Namibia,Africa Sub-Saharan,0,3,0
2007,Nepal,Asia South,1,27,0.03571428571428571
2007,Netherlands,EU 14,0,1,0
2007,Nicaragua,America Central and South,0,1,0
2007,Niger,Africa Sub-Saharan,1,5,0.16666666666666666
2007,Nigeria,Africa Sub-Saharan,37,597,0.0583596214511041
2007,North Korea,Asia East,151,25,0.8579545454545454
2007,North Macedonia,Europe Other,0,11,0
2007,Occupied Palestinian Territories,Middle East,29,331,0.08055555555555556
2007,Oman,Middle East,1,0,1
2007,Other and unknown,Other,5,1,0.8333333333333334
2007,Pakistan,Asia South,138,773,0.15148188803512624
2007,Philippines,Asia South East,0,9,0
2007,Refugee,Other,10,16,0.38461538461538464
2007,Romania,EU 2,1,13,0.07142857142857142
2007,Russia,Europe Other,9,83,0.09782608695652174
2007,Rwanda,Africa Sub-Saharan,4,26,0.13333333333333333
2007,Senegal,Africa Sub-Saharan,2,16,0.1111111111111111
2007,Serbia and Montenegro,Europe Other,6,19,0.24
2007,Seychelles,Africa Sub-Saharan,0,1,0
2007,Sierra Leone,Africa Sub-Saharan,26,79,0.24761904761904763
2007,Somalia,Africa Sub-Saharan,910,702,0.5645161290322581
2007,South Africa,Africa Sub-Saharan,2,85,0.022988505747126436
2007,South Korea,Asia East,0,12,0
2007,Spain,EU 14,0,1,0
2007,Sri Lanka,Asia South,124,812,0.13247863247863248
2007,St Kitts and Nevis,America Central and South,0,1,0
2007,St Lucia,America Central and South,0,4,0
2007,St Vincent and the Grenadines,America Central and South,0,2,0
2007,Stateless,Other,10,13,0.43478260869565216
2007,Sudan,Africa North,83,304,0.2144702842377261
2007,Syria,Middle East,39,110,0.26174496644295303
2007,Tajikistan,Asia Central,1,0,1
2007,Tanzania,Africa Sub-Saharan,1,18,0.05263157894736842
2007,Thailand,Asia South East,0,3,0
2007,Togo,Africa Sub-Saharan,4,20,0.16666666666666666
2007,Trinidad and Tobago,America Central and South,0,4,0
2007,Tunisia,Africa North,2,5,0.2857142857142857
2007,Turkey,Europe Other,54,243,0.18181818181818182
2007,Turkmenistan,Asia Central,6,3,0.6666666666666666
2007,Uganda,Africa Sub-Saharan,18,116,0.13432835820895522
2007,Ukraine,Europe Other,2,37,0.05128205128205128
2007,United Arab Emirates,Middle East,0,2,0
2007,United States,America North,0,8,0
2007,Uzbekistan,Asia Central,2,19,0.09523809523809523
2007,Venezuela,America Central and South,0,6,0
2007,Vietnam,Asia South East,15,112,0.11811023622047244
2007,Western Sahara,Africa North,0,2,0
2007,Yemen,Middle East,7,22,0.2413793103448276
2007,Zambia,Africa Sub-Saharan,2,8,0.2
2007,Zimbabwe,Africa Sub-Saharan,270,1154,0.1896067415730337
2008,Afghanistan,Asia Central,988,1354,0.4218616567036721
2008,Albania,Europe Other,38,81,0.31932773109243695
2008,Algeria,Africa North,18,174,0.09375
2008,Angola,Africa Sub-Saharan,25,48,0.3424657534246575
2008,Argentina,America Central and South,0,1,0
2008,Armenia,Europe Other,0,8,0
2008,Azerbaijan,Europe Other,2,7,0.2222222222222222
2008,Bahrain,Middle East,0,1,0
2008,Bangladesh,Asia South,95,251,0.2745664739884393
2008,Barbados,America Central and South,0,1,0
2008,Belarus,Europe Other,23,18,0.5609756097560976
2008,Benin,Africa Sub-Saharan,0,1,0
2008,Bhutan,Asia South,11,12,0.4782608695652174
2008,Bolivia,America Central and South,1,13,0.07142857142857142
2008,Bosnia and Herzegovina,Europe Other,3,2,0.6
2008,Botswana,Africa Sub-Saharan,1,4,0.2
2008,Brazil,America Central and South,0,15,0
2008,British overseas citizens,Other,1,3,0.25
2008,Burkina Faso,Africa Sub-Saharan,0,3,0
2008,Burundi,Africa Sub-Saharan,4,4,0.5
2008,Cameroon,Africa Sub-Saharan,20,92,0.17857142857142858
2008,Central African Republic,Africa Sub-Saharan,0,1,0
2008,Chad,Africa Sub-Saharan,2,7,0.2222222222222222
2008,China,Asia East,110,818,0.11853448275862069
2008,Colombia,America Central and South,3,12,0.2
2008,Congo,Africa Sub-Saharan,1,18,0.05263157894736842
