Date,Year,Quarter,Nationality,Region,Initial decisions from designated states,Refusals from designated states,Clearly unfounded refusals (designated states),Clearly unfounded refusals (non-designated states),Total clearly unfounded refusals
2012-03-31,2012,1,Bolivia,America Central and South,3,3,0,0,0
2012-03-31,2012,1,Bosnia and Herzegovina,Europe Other,1,1,0,0,0
2012-03-31,2012,1,Botswana,Africa Sub-Saharan,0,0,0,1,1
2012-03-31,2012,1,Brazil,America Central and South,4,4,2,0,2
2012-03-31,2012,1,Cameroon,Africa Sub-Saharan,0,0,0,1,1
2012-03-31,2012,1,Canada,America North,0,0,0,1,1
2012-03-31,2012,1,China,Asia East,0,0,0,11,11
2012-03-31,2012,1,Colombia,America Central and South,0,0,0,1,1
2012-03-31,2012,1,Croatia,EU Other,0,0,0,1,1
2012-03-31,2012,1,"Gambia, The",Africa Sub-Saharan,19,17,3,1,4
2012-03-31,2012,1,Ghana,Africa Sub-Saharan,32,27,14,2,16
2012-03-31,2012,1,India,Asia South,82,80,54,1,55
2012-03-31,2012,1,Iraq,Middle East,0,0,0,1,1
2012-03-31,2012,1,Jamaica,America Central and South,34,31,5,0,5
2012-03-31,2012,1,Jordan,Middle East,0,0,0,1,1
2012-03-31,2012,1,Kenya,Africa Sub-Saharan,7,6,2,1,3
2012-03-31,2012,1,Kosovo,Europe Other,2,2,1,0,1
2012-03-31,2012,1,Liberia,Africa Sub-Saharan,1,1,0,0,0
2012-03-31,2012,1,Libya,Africa North,0,0,0,2,2
2012-03-31,2012,1,Malawi,Africa Sub-Saharan,12,11,4,1,5
2012-03-31,2012,1,Malaysia,Asia South East,0,0,0,1,1
2012-03-31,2012,1,Mali,Africa Sub-Saharan,3,3,0,0,0
2012-03-31,2012,1,Mauritius,Africa Sub-Saharan,10,8,4,0,4
2012-03-31,2012,1,Moldova,Europe Other,1,0,0,0,0
2012-03-31,2012,1,Mongolia,Asia East,1,1,1,0,1
2012-03-31,2012,1,Morocco,Africa North,0,0,0,2,2
2012-03-31,2012,1,Nigeria,Africa Sub-Saharan,82,73,32,4,36
2012-03-31,2012,1,Pakistan,Asia South,0,0,0,71,71
2012-03-31,2012,1,Poland,EU 8,0,0,0,1,1
2012-03-31,2012,1,Senegal,Africa Sub-Saharan,0,0,0,3,3
2012-03-31,2012,1,Serbia and Montenegro,Europe Other,1,1,0,0,0
2012-03-31,2012,1,Sierra Leone,Africa Sub-Saharan,4,4,2,1,3
2012-03-31,2012,1,Somalia,Africa Sub-Saharan,0,0,0,1,1
2012-03-31,2012,1,South Africa,Africa Sub-Saharan,7,5,1,0,1
2012-03-31,2012,1,Sri Lanka,Asia South,0,0,0,2,2
2012-03-31,2012,1,St Lucia,America Central and South,0,0,0,1,1
2012-03-31,2012,1,Trinidad and Tobago,America Central and South,0,0,0,1,1
2012-03-31,2012,1,Tunisia,Africa North,0,0,0,1,1
2012-03-31,2012,1,Turkey,Europe Other,0,0,0,1,1
2012-03-31,2012,1,Uganda,Africa Sub-Saharan,0,0,0,1,1
2012-03-31,2012,1,Ukraine,Europe Other,10,7,3,0,3
2012-03-31,2012,1,United States,America North,0,0,0,1,1
2012-03-31,2012,1,Vietnam,Asia South East,0,0,0,3,3
2012-03-31,2012,1,Yemen,Middle East,0,0,0,1,1
2012-03-31,2012,1,Zimbabwe,Africa Sub-Saharan,0,0,0,1,1
2012-06-30,2012,2,Afghanistan,Asia Central,0,0,0,1,1
2012-06-30,2012,2,Albania,Europe Other,118,73,18,0,18
2012-06-30,2012,2,Algeria,Africa North,0,0,0,11,11
2012-06-30,2012,2,Argentina,America Central and South,0,0,0,1,1
2012-06-30,2012,2,"Bahamas, The",America Central and South,0,0,0,1,1
2012-06-30,2012,2,Bangladesh,Asia South,0,0,0,65,65
2012-06-30,2012,2,Bosnia and Herzegovina,Europe Other,1,0,0,0,0
2012-06-30,2012,2,Cameroon,Africa Sub-Saharan,0,0,0,1,1
2012-06-30,2012,2,Canada,America North,0,0,0,1,1
2012-06-30,2012,2,China,Asia East,0,0,0,16,16
2012-06-30,2012,2,Colombia,America Central and South,0,0,0,2,2
2012-06-30,2012,2,Egypt,Africa North,0,0,0,2,2
2012-06-30,2012,2,"Gambia, The",Africa Sub-Saharan,28,17,3,1,4
2012-06-30,2012,2,Ghana,Africa Sub-Saharan,20,19,12,0,12
2012-06-30,2012,2,Hong Kong,Asia East,0,0,0,1,1
2012-06-30,2012,2,India,Asia South,128,126,100,0,100
2012-06-30,2012,2,Iran,Middle East,0,0,0,1,1
2012-06-30,2012,2,Jamaica,America Central and South,32,24,6,0,6
2012-06-30,2012,2,Kenya,Africa Sub-Saharan,5,4,0,0,0
2012-06-30,2012,2,Kosovo,Europe Other,6,5,3,0,3
2012-06-30,2012,2,Lebanon,Middle East,0,0,0,1,1
2012-06-30,2012,2,Lithuania,EU 8,0,0,0,1,1
2012-06-30,2012,2,Malawi,Africa Sub-Saharan,6,4,2,2,4
2012-06-30,2012,2,Mauritius,Africa Sub-Saharan,9,9,3,0,3
2012-06-30,2012,2,Moldova,Europe Other,3,3,2,0,2
2012-06-30,2012,2,Mongolia,Asia East,4,4,1,0,1
2012-06-30,2012,2,Morocco,Africa North,0,0,0,5,5
2012-06-30,2012,2,Namibia,Africa Sub-Saharan,0,0,0,1,1
2012-06-30,2012,2,Nigeria,Africa Sub-Saharan,103,91,41,6,47
2012-06-30,2012,2,Pakistan,Asia South,0,0,0,72,72
2012-06-30,2012,2,Russia,Europe Other,0,0,0,1,1
2012-06-30,2012,2,Serbia and Montenegro,Europe Other,1,1,0,0,0
2012-06-30,2012,2,Sierra Leone,Africa Sub-Saharan,5,5,2,1,3
2012-06-30,2012,2,Slovakia,EU 8,0,0,0,1,1
2012-06-30,2012,2,Somalia,Africa Sub-Saharan,0,0,0,1,1
2012-06-30,2012,2,South Africa,Africa Sub-Saharan,17,17,9,0,9
2012-06-30,2012,2,Sri Lanka,Asia South,0,0,0,2,2
2012-06-30,2012,2,Taiwan,Asia East,0,0,0,1,1
2012-06-30,2012,2,Tanzania,Africa Sub-Saharan,0,0,0,1,1
2012-06-30,2012,2,Turkey,Europe Other,0,0,0,1,1
2012-06-30,2012,2,Ukraine,Europe Other,5,4,0,0,0
2012-06-30,2012,2,United States,America North,0,0,0,1,1
2012-06-30,2012,2,Vietnam,Asia South East,0,0,0,4,4
2012-06-30,2012,2,Zambia,Africa Sub-Saharan,0,0,0,1,1
2012-06-30,2012,2,Zimbabwe,Africa Sub-Saharan,0,0,0,1,1
2012-09-30,2012,3,Afghanistan,Asia Central,0,0,0,3,3
2012-09-30,2012,3,Albania,Europe Other,119,71,21,0,21
2012-09-30,2012,3,Algeria,Africa North,0,0,0,4,4
2012-09-30,2012,3,Argentina,America Central and South,0,0,0,1,1
2012-09-30,2012,3,Australia,Oceania,0,0,0,1,1
2012-09-30,2012,3,Bangladesh,Asia South,0,0,0,42,42
2012-09-30,2012,3,Bosnia and Herzegovina,Europe Other,2,2,1,0,1
2012-09-30,2012,3,Botswana,Africa Sub-Saharan,0,0,0,1,1
2012-09-30,2012,3,Brazil,America Central and South,1,1,1,0,1
2012-09-30,2012,3,China,Asia East,0,0,0,4,4
2012-09-30,2012,3,"Gambia, The",Africa Sub-Saharan,26,17,3,0,3
2012-09-30,2012,3,Ghana,Africa Sub-Saharan,17,16,11,1,12
2012-09-30,2012,3,Guyana,America Central and South,0,0,0,1,1
2012-09-30,2012,3,India,Asia South,130,130,106,0,106
2012-09-30,2012,3,Iran,Middle East,0,0,0,1,1
2012-09-30,2012,3,Israel,Middle East,0,0,0,1,1
2012-09-30,2012,3,Jamaica,America Central and South,22,14,4,0,4
2012-09-30,2012,3,Kenya,Africa Sub-Saharan,6,6,2,0,2
2012-09-30,2012,3,Korea (North),Asia East,0,0,0,1,1
2012-09-30,2012,3,Malawi,Africa Sub-Saharan,11,9,2,0,2
2012-09-30,2012,3,Mali,Africa Sub-Saharan,3,3,3,0,3
2012-09-30,2012,3,Mauritius,Africa Sub-Saharan,5,5,5,0,5
2012-09-30,2012,3,Mongolia,Asia East,6,5,1,0,1
2012-09-30,2012,3,Morocco,Africa North,0,0,0,2,2
2012-09-30,2012,3,Namibia,Africa Sub-Saharan,0,0,0,2,2
2012-09-30,2012,3,Nepal,Asia South,0,0,0,1,1
2012-09-30,2012,3,Nigeria,Africa Sub-Saharan,96,86,36,18,54
2012-09-30,2012,3,Pakistan,Asia South,0,0,0,63,63
2012-09-30,2012,3,Philippines,Asia South East,0,0,0,2,2
2012-09-30,2012,3,Poland,EU 8,0,0,0,1,1
2012-09-30,2012,3,Sierra Leone,Africa Sub-Saharan,11,9,4,0,4
2012-09-30,2012,3,South Africa,Africa Sub-Saharan,5,4,4,0,4
2012-09-30,2012,3,South Korea,Asia East,2,2,1,0,1
2012-09-30,2012,3,Sri Lanka,Asia South,0,0,0,2,2
2012-09-30,2012,3,Syria,Middle East,0,0,0,1,1
2012-09-30,2012,3,Tanzania,Africa Sub-Saharan,0,0,0,1,1
2012-09-30,2012,3,Turkey,Europe Other,0,0,0,2,2
2012-09-30,2012,3,Ukraine,Europe Other,4,4,1,0,1
2012-09-30,2012,3,United States,America North,0,0,0,1,1
2012-09-30,2012,3,Vietnam,Asia South East,0,0,0,3,3
2012-12-31,2012,4,Albania,Europe Other,108,83,30,0,30
2012-12-31,2012,4,Algeria,Africa North,0,0,0,3,3
2012-12-31,2012,4,Bangladesh,Asia South,0,0,0,32,32
2012-12-31,2012,4,Bolivia,America Central and South,2,2,1,0,1
2012-12-31,2012,4,Brazil,America Central and South,3,3,2,0,2
2012-12-31,2012,4,Canada,America North,0,0,0,2,2
2012-12-31,2012,4,China,Asia East,0,0,0,5,5
2012-12-31,2012,4,Egypt,Africa North,0,0,0,1,1
2012-12-31,2012,4,"Gambia, The",Africa Sub-Saharan,26,17,2,1,3
2012-12-31,2012,4,Georgia,Europe Other,0,0,0,1,1
2012-12-31,2012,4,Ghana,Africa Sub-Saharan,16,14,5,0,5
2012-12-31,2012,4,India,Asia South,162,159,119,0,119
2012-12-31,2012,4,Jamaica,America Central and South,16,13,0,0,0
2012-12-31,2012,4,Kenya,Africa Sub-Saharan,5,5,1,1,2
2012-12-31,2012,4,Korea (North),Asia East,0,0,0,3,3
2012-12-31,2012,4,Kosovo,Europe Other,1,1,1,0,1
2012-12-31,2012,4,Latvia,EU 8,0,0,0,1,1
2012-12-31,2012,4,Libya,Africa North,0,0,0,1,1
2012-12-31,2012,4,Lithuania,EU 8,0,0,0,1,1
2012-12-31,2012,4,Malawi,Africa Sub-Saharan,5,5,2,0,2
2012-12-31,2012,4,Mauritius,Africa Sub-Saharan,5,5,2,0,2
2012-12-31,2012,4,Mongolia,Asia East,1,1,0,0,0
2012-12-31,2012,4,Nepal,Asia South,0,0,0,1,1
2012-12-31,2012,4,Nigeria,Africa Sub-Saharan,108,99,48,14,62
2012-12-31,2012,4,North Macedonia,Europe Other,2,1,0,0,0
2012-12-31,2012,4,Pakistan,Asia South,0,0,0,72,72
2012-12-31,2012,4,Poland,EU 8,0,0,0,11,11
2012-12-31,2012,4,Romania,EU 2,0,0,0,1,1
2012-12-31,2012,4,Sierra Leone,Africa Sub-Saharan,6,5,1,0,1
2012-12-31,2012,4,Slovakia,EU 8,0,0,0,1,1
2012-12-31,2012,4,South Africa,Africa Sub-Saharan,10,8,5,0,5
2012-12-31,2012,4,South Korea,Asia East,2,2,1,0,1
2012-12-31,2012,4,Sri Lanka,Asia South,0,0,0,2,2
2012-12-31,2012,4,Tanzania,Africa Sub-Saharan,0,0,0,1,1
2012-12-31,2012,4,Uganda,Africa Sub-Saharan,0,0,0,1,1
2012-12-31,2012,4,Ukraine,Europe Other,7,5,1,0,1
2012-12-31,2012,4,Vietnam,Asia South East,0,0,0,1,1
2012-12-31,2012,4,Zambia,Africa Sub-Saharan,0,0,0,1,1
2013-03-31,2013,1,Albania,Europe Other,218,134,20,0,20
2013-03-31,2013,1,Algeria,Africa North,0,0,0,3,3
2013-03-31,2013,1,Bangladesh,Asia South,0,0,0,22,22
2013-03-31,2013,1,Bolivia,America Central and South,1,0,0,0,0
2013-03-31,2013,1,Brazil,America Central and South,6,2,1,0,1
2013-03-31,2013,1,Burundi,Africa Sub-Saharan,0,0,0,1,1
2013-03-31,2013,1,Canada,America North,0,0,0,3,3
2013-03-31,2013,1,China,Asia East,0,0,0,2,2
2013-03-31,2013,1,Congo,Africa Sub-Saharan,0,0,0,1,1
2013-03-31,2013,1,Egypt,Africa North,0,0,0,1,1
2013-03-31,2013,1,Estonia,EU 8,0,0,0,1,1
2013-03-31,2013,1,"Gambia, The",Africa Sub-Saharan,31,24,4,0,4
2013-03-31,2013,1,Ghana,Africa Sub-Saharan,20,17,8,1,9
2013-03-31,2013,1,Hungary,EU 8,0,0,0,2,2
2013-03-31,2013,1,India,Asia South,163,159,123,0,123
2013-03-31,2013,1,Iran,Middle East,0,0,0,1,1
2013-03-31,2013,1,Italy,EU 14,0,0,0,1,1
2013-03-31,2013,1,Jamaica,America Central and South,28,23,2,0,2
2013-03-31,2013,1,Japan,Asia East,0,0,0,1,1
2013-03-31,2013,1,Kenya,Africa Sub-Saharan,8,8,4,0,4
2013-03-31,2013,1,Kosovo,Europe Other,5,4,0,0,0
2013-03-31,2013,1,Latvia,EU 8,0,0,0,1,1
2013-03-31,2013,1,Lithuania,EU 8,0,0,0,3,3
2013-03-31,2013,1,Malawi,Africa Sub-Saharan,9,7,3,1,4
2013-03-31,2013,1,Mali,Africa Sub-Saharan,7,7,2,0,2
2013-03-31,2013,1,Mauritius,Africa Sub-Saharan,5,5,3,0,3
2013-03-31,2013,1,Moldova,Europe Other,1,1,0,0,0
2013-03-31,2013,1,Mongolia,Asia East,3,3,0,0,0
2013-03-31,2013,1,Morocco,Africa North,0,0,0,3,3
2013-03-31,2013,1,Namibia,Africa Sub-Saharan,0,0,0,2,2
2013-03-31,2013,1,Nepal,Asia South,0,0,0,1,1
2013-03-31,2013,1,Nigeria,Africa Sub-Saharan,114,103,48,11,59
2013-03-31,2013,1,North Macedonia,Europe Other,1,0,0,0,0
2013-03-31,2013,1,Pakistan,Asia South,0,0,0,38,38
2013-03-31,2013,1,Peru,America Central and South,1,1,1,0,1
2013-03-31,2013,1,Poland,EU 8,0,0,0,26,26
2013-03-31,2013,1,Refugee,Other,0,0,0,1,1
2013-03-31,2013,1,Russia,Europe Other,0,0,0,1,1
2013-03-31,2013,1,Senegal,Africa Sub-Saharan,0,0,0,1,1
2013-03-31,2013,1,Seychelles,Africa Sub-Saharan,0,0,0,1,1
2013-03-31,2013,1,Sierra Leone,Africa Sub-Saharan,7,5,0,1,1
2013-03-31,2013,1,South Africa,Africa Sub-Saharan,8,7,3,0,3
2013-03-31,2013,1,South Korea,Asia East,2,2,2,0,2
2013-03-31,2013,1,Sri Lanka,Asia South,0,0,0,2,2
2013-03-31,2013,1,Tanzania,Africa Sub-Saharan,0,0,0,1,1
2013-03-31,2013,1,Turkey,Europe Other,0,0,0,1,1
2013-03-31,2013,1,Uganda,Africa Sub-Saharan,0,0,0,1,1
2013-03-31,2013,1,Ukraine,Europe Other,6,5,3,0,3
2013-03-31,2013,1,United States,America North,0,0,0,2,2
2013-03-31,2013,1,Vietnam,Asia South East,0,0,0,2,2
2013-06-30,2013,2,Albania,Europe Other,246,164,36,0,36
2013-06-30,2013,2,Algeria,Africa North,0,0,0,2,2
2013-06-30,2013,2,Bangladesh,Asia South,0,0,0,13,13
2013-06-30,2013,2,Brazil,America Central and South,3,3,3,0,3
2013-06-30,2013,2,Cameroon,Africa Sub-Saharan,0,0,0,1,1
2013-06-30,2013,2,Canada,America North,0,0,0,1,1
2013-06-30,2013,2,China,Asia East,0,0,0,9,9
2013-06-30,2013,2,Czech Republic,EU 8,0,0,0,2,2
2013-06-30,2013,2,Ecuador,America Central and South,3,3,1,0,1
2013-06-30,2013,2,Egypt,Africa North,0,0,0,1,1
2013-06-30,2013,2,"Gambia, The",Africa Sub-Saharan,28,20,4,0,4
2013-06-30,2013,2,Ghana,Africa Sub-Saharan,40,36,15,1,16
2013-06-30,2013,2,India,Asia South,187,185,139,0,139
2013-06-30,2013,2,Iran,Middle East,0,0,0,2,2
2013-06-30,2013,2,Iraq,Middle East,0,0,0,1,1
2013-06-30,2013,2,Jamaica,America Central and South,36,32,4,0,4
2013-06-30,2013,2,Kenya,Africa Sub-Saharan,9,9,1,0,1
2013-06-30,2013,2,Korea (North),Asia East,0,0,0,2,2
2013-06-30,2013,2,Kosovo,Europe Other,3,3,1,0,1
2013-06-30,2013,2,Latvia,EU 8,0,0,0,3,3
2013-06-30,2013,2,Libya,Africa North,0,0,0,1,1
2013-06-30,2013,2,Lithuania,EU 8,0,0,0,3,3
2013-06-30,2013,2,Malawi,Africa Sub-Saharan,12,7,1,0,1
2013-06-30,2013,2,Mali,Africa Sub-Saharan,3,3,1,0,1
2013-06-30,2013,2,Mauritius,Africa Sub-Saharan,9,6,1,0,1
2013-06-30,2013,2,Mongolia,Asia East,5,5,2,0,2
2013-06-30,2013,2,Nepal,Asia South,0,0,0,1,1
2013-06-30,2013,2,Netherlands,EU 14,0,0,0,1,1
2013-06-30,2013,2,Nigeria,Africa Sub-Saharan,126,111,53,13,66
2013-06-30,2013,2,Pakistan,Asia South,0,0,0,44,44
2013-06-30,2013,2,Philippines,Asia South East,0,0,0,3,3
2013-06-30,2013,2,Poland,EU 8,0,0,0,15,15
2013-06-30,2013,2,Romania,EU 2,0,0,0,1,1
2013-06-30,2013,2,Sierra Leone,Africa Sub-Saharan,8,7,2,0,2
2013-06-30,2013,2,South Africa,Africa Sub-Saharan,14,11,4,0,4
2013-06-30,2013,2,Sri Lanka,Asia South,0,0,0,2,2
2013-06-30,2013,2,Thailand,Asia South East,0,0,0,1,1
2013-06-30,2013,2,Tunisia,Africa North,0,0,0,1,1
2013-06-30,2013,2,Turkey,Europe Other,0,0,0,1,1
2013-06-30,2013,2,Ukraine,Europe Other,3,2,0,0,0
2013-06-30,2013,2,United States,America North,0,0,0,2,2
2013-06-30,2013,2,Vietnam,Asia South East,0,0,0,5,5
2013-09-30,2013,3,Afghanistan,Asia Central,0,0,0,1,1
2013-09-30,2013,3,Albania,Europe Other,172,105,27,0,27
2013-09-30,2013,3,Bangladesh,Asia South,0,0,0,16,16
2013-09-30,2013,3,Cameroon,Africa Sub-Saharan,0,0,0,1,1
2013-09-30,2013,3,China,Asia East,0,0,0,5,5
2013-09-30,2013,3,Czech Republic,EU 8,0,0,0,2,2
2013-09-30,2013,3,Egypt,Africa North,0,0,0,1,1
2013-09-30,2013,3,El Salvador,America Central and South,0,0,0,1,1
2013-09-30,2013,3,France,EU 14,0,0,0,1,1
2013-09-30,2013,3,"Gambia, The",Africa Sub-Saharan,17,12,0,0,0
2013-09-30,2013,3,Georgia,Europe Other,0,0,0,2,2
2013-09-30,2013,3,Ghana,Africa Sub-Saharan,25,22,9,0,9
2013-09-30,2013,3,Hungary,EU 8,0,0,0,1,1
2013-09-30,2013,3,India,Asia South,128,125,91,0,91
2013-09-30,2013,3,Iran,Middle East,0,0,0,1,1
2013-09-30,2013,3,Iraq,Middle East,0,0,0,2,2
2013-09-30,2013,3,Italy,EU 14,0,0,0,1,1
2013-09-30,2013,3,Jamaica,America Central and South,30,27,9,0,9
2013-09-30,2013,3,Japan,Asia East,0,0,0,1,1
2013-09-30,2013,3,Kenya,Africa Sub-Saharan,6,4,1,1,2
2013-09-30,2013,3,Kosovo,Europe Other,2,2,0,0,0
2013-09-30,2013,3,Latvia,EU 8,0,0,0,2,2
2013-09-30,2013,3,Lithuania,EU 8,0,0,0,5,5
2013-09-30,2013,3,Malawi,Africa Sub-Saharan,9,9,2,2,4
2013-09-30,2013,3,Mali,Africa Sub-Saharan,3,3,0,0,0
2013-09-30,2013,3,Mauritius,Africa Sub-Saharan,5,3,2,0,2
2013-09-30,2013,3,Mongolia,Asia East,4,1,1,0,1
2013-09-30,2013,3,Namibia,Africa Sub-Saharan,0,0,0,1,1
2013-09-30,2013,3,Nigeria,Africa Sub-Saharan,108,99,43,11,54
2013-09-30,2013,3,Pakistan,Asia South,0,0,0,30,30
2013-09-30,2013,3,Philippines,Asia South East,0,0,0,4,4
2013-09-30,2013,3,Poland,EU 8,0,0,0,24,24
2013-09-30,2013,3,Romania,EU 2,0,0,0,1,1
2013-09-30,2013,3,Sierra Leone,Africa Sub-Saharan,6,5,0,0,0
2013-09-30,2013,3,Slovakia,EU 8,0,0,0,1,1
2013-09-30,2013,3,South Africa,Africa Sub-Saharan,13,10,4,0,4
2013-09-30,2013,3,Sri Lanka,Asia South,0,0,0,4,4
2013-09-30,2013,3,Syria,Middle East,0,0,0,1,1
2013-09-30,2013,3,Tanzania,Africa Sub-Saharan,0,0,0,1,1
2013-09-30,2013,3,Turkey,Europe Other,0,0,0,1,1
2013-09-30,2013,3,Uganda,Africa Sub-Saharan,0,0,0,1,1
2013-09-30,2013,3,Ukraine,Europe Other,4,3,3,0,3
2013-09-30,2013,3,Vietnam,Asia South East,0,0,0,4,4
2013-09-30,2013,3,Zimbabwe,Africa Sub-Saharan,0,0,0,3,3
2013-12-31,2013,4,Albania,Europe Other,142,92,21,0,21
2013-12-31,2013,4,Algeria,Africa North,0,0,0,1,1
2013-12-31,2013,4,Australia,Oceania,0,0,0,1,1
2013-12-31,2013,4,Bangladesh,Asia South,0,0,0,3,3
2013-12-31,2013,4,Bolivia,America Central and South,2,2,2,0,2
2013-12-31,2013,4,Brazil,America Central and South,3,3,2,0,2
2013-12-31,2013,4,China,Asia East,0,0,0,2,2
2013-12-31,2013,4,Colombia,America Central and South,0,0,0,1,1
2013-12-31,2013,4,Congo (Democratic Republic),Africa Sub-Saharan,0,0,0,1,1
2013-12-31,2013,4,Ecuador,America Central and South,2,2,2,0,2
2013-12-31,2013,4,Egypt,Africa North,0,0,0,1,1
2013-12-31,2013,4,Gabon,Africa Sub-Saharan,0,0,0,1,1
2013-12-31,2013,4,"Gambia, The",Africa Sub-Saharan,10,9,1,0,1
2013-12-31,2013,4,Ghana,Africa Sub-Saharan,19,16,7,1,8
2013-12-31,2013,4,India,Asia South,109,107,73,0,73
2013-12-31,2013,4,Iraq,Middle East,0,0,0,4,4
2013-12-31,2013,4,Jamaica,America Central and South,19,16,7,0,7
2013-12-31,2013,4,Kenya,Africa Sub-Saharan,4,4,1,0,1
2013-12-31,2013,4,Kosovo,Europe Other,5,4,0,0,0
2013-12-31,2013,4,Kyrgyzstan,Asia Central,0,0,0,1,1
2013-12-31,2013,4,Latvia,EU 8,0,0,0,1,1
2013-12-31,2013,4,Liberia,Africa Sub-Saharan,1,1,0,0,0
2013-12-31,2013,4,Libya,Africa North,0,0,0,1,1
2013-12-31,2013,4,Malawi,Africa Sub-Saharan,5,4,2,0,2
2013-12-31,2013,4,Mali,Africa Sub-Saharan,2,2,0,0,0
2013-12-31,2013,4,Mauritius,Africa Sub-Saharan,7,6,5,0,5
2013-12-31,2013,4,Mongolia,Asia East,1,1,0,0,0
2013-12-31,2013,4,Nepal,Asia South,0,0,0,2,2
2013-12-31,2013,4,Nigeria,Africa Sub-Saharan,72,61,28,4,32
2013-12-31,2013,4,Pakistan,Asia South,0,0,0,25,25
2013-12-31,2013,4,Poland,EU 8,0,0,0,10,10
2013-12-31,2013,4,Serbia and Montenegro,Europe Other,1,1,0,0,0
2013-12-31,2013,4,Sierra Leone,Africa Sub-Saharan,4,3,0,0,0
2013-12-31,2013,4,South Africa,Africa Sub-Saharan,5,5,4,0,4
2013-12-31,2013,4,South Korea,Asia East,1,0,0,0,0
2013-12-31,2013,4,Syria,Middle East,0,0,0,2,2
2013-12-31,2013,4,Thailand,Asia South East,0,0,0,1,1
2013-12-31,2013,4,Togo,Africa Sub-Saharan,0,0,0,1,1
2013-12-31,2013,4,Turkey,Europe Other,0,0,0,1,1
2013-12-31,2013,4,Ukraine,Europe Other,6,6,3,0,3
2013-12-31,2013,4,United States,America North,0,0,0,1,1
2013-12-31,2013,4,Venezuela,America Central and South,0,0,0,1,1
2013-12-31,2013,4,Vietnam,Asia South East,0,0,0,4,4
2013-12-31,2013,4,Zambia,Africa Sub-Saharan,0,0,0,1,1
2014-03-31,2014,1,Afghanistan,Asia Central,0,0,0,1,1
2014-03-31,2014,1,Albania,Europe Other,142,114,27,0,27
2014-03-31,2014,1,Algeria,Africa North,0,0,0,4,4
2014-03-31,2014,1,Australia,Oceania,0,0,0,1,1
2014-03-31,2014,1,Bangladesh,Asia South,0,0,0,4,4
2014-03-31,2014,1,Bolivia,America Central and South,4,3,1,0,1
2014-03-31,2014,1,Bosnia and Herzegovina,Europe Other,1,1,0,0,0
2014-03-31,2014,1,Cameroon,Africa Sub-Saharan,0,0,0,1,1
2014-03-31,2014,1,China,Asia East,0,0,0,5,5
2014-03-31,2014,1,Costa Rica,America Central and South,0,0,0,1,1
2014-03-31,2014,1,Egypt,Africa North,0,0,0,1,1
2014-03-31,2014,1,"Gambia, The",Africa Sub-Saharan,3,1,0,0,0
2014-03-31,2014,1,Georgia,Europe Other,0,0,0,2,2
2014-03-31,2014,1,Ghana,Africa Sub-Saharan,14,13,6,0,6
2014-03-31,2014,1,Greece,EU 14,0,0,0,1,1
2014-03-31,2014,1,Guinea,Africa Sub-Saharan,0,0,0,1,1
2014-03-31,2014,1,India,Asia South,91,88,66,0,66
2014-03-31,2014,1,Iran,Middle East,0,0,0,1,1
2014-03-31,2014,1,Jamaica,America Central and South,18,12,4,0,4
2014-03-31,2014,1,Japan,Asia East,0,0,0,1,1
2014-03-31,2014,1,Kenya,Africa Sub-Saharan,3,2,0,1,1
2014-03-31,2014,1,Kosovo,Europe Other,4,3,2,0,2
2014-03-31,2014,1,Kuwait,Middle East,0,0,0,1,1
2014-03-31,2014,1,Latvia,EU 8,0,0,0,4,4
2014-03-31,2014,1,Lithuania,EU 8,0,0,0,1,1
2014-03-31,2014,1,Malawi,Africa Sub-Saharan,11,10,4,1,5
2014-03-31,2014,1,Malaysia,Asia South East,0,0,0,1,1
2014-03-31,2014,1,Mali,Africa Sub-Saharan,3,3,0,0,0
2014-03-31,2014,1,Mauritius,Africa Sub-Saharan,2,2,2,0,2
2014-03-31,2014,1,Mexico,America Central and South,0,0,0,1,1
2014-03-31,2014,1,Mongolia,Asia East,2,2,0,0,0
2014-03-31,2014,1,Morocco,Africa North,0,0,0,3,3
2014-03-31,2014,1,Namibia,Africa Sub-Saharan,0,0,0,1,1
2014-03-31,2014,1,Nigeria,Africa Sub-Saharan,57,50,18,5,23
2014-03-31,2014,1,North Macedonia,Europe Other,1,0,0,0,0
2014-03-31,2014,1,Pakistan,Asia South,0,0,0,32,32
2014-03-31,2014,1,Philippines,Asia South East,0,0,0,1,1
2014-03-31,2014,1,Poland,EU 8,0,0,0,31,31
2014-03-31,2014,1,Romania,EU 2,0,0,0,1,1
2014-03-31,2014,1,Russia,Europe Other,0,0,0,1,1
2014-03-31,2014,1,Senegal,Africa Sub-Saharan,0,0,0,2,2
2014-03-31,2014,1,Sierra Leone,Africa Sub-Saharan,4,4,2,0,2
2014-03-31,2014,1,Somalia,Africa Sub-Saharan,0,0,0,1,1
2014-03-31,2014,1,South Africa,Africa Sub-Saharan,6,6,2,0,2
2014-03-31,2014,1,Sri Lanka,Asia South,0,0,0,3,3
2014-03-31,2014,1,Syria,Middle East,0,0,0,1,1
2014-03-31,2014,1,Tunisia,Africa North,0,0,0,1,1
2014-03-31,2014,1,Ukraine,Europe Other,8,8,3,0,3
2014-03-31,2014,1,United States,America North,0,0,0,1,1
2014-03-31,2014,1,Venezuela,America Central and South,0,0,0,1,1
2014-03-31,2014,1,Zambia,Africa Sub-Saharan,0,0,0,1,1
2014-06-30,2014,2,Albania,Europe Other,188,155,40,0,40
