Date,Year,Quarter,Return destination,Return destination region,Number of foreign national offender returns
2012-04-01,2012,2,Turkey,Europe Other,12
2012-04-01,2012,2,Uganda,Africa Sub-Saharan,4
2012-04-01,2012,2,Ukraine,Europe Other,10
2012-04-01,2012,2,United States,America North,5
2012-04-01,2012,2,Venezuela,America Central and South,2
2012-04-01,2012,2,Vietnam,Asia South East,119
2012-04-01,2012,2,Zambia,Africa Sub-Saharan,1
2012-04-01,2012,2,Zimbabwe,Africa Sub-Saharan,4
2012-07-01,2012,3,Afghanistan,Asia Central,8
2012-07-01,2012,3,Albania,Europe Other,47
2012-07-01,2012,3,Algeria,Africa North,16
2012-07-01,2012,3,Angola,Africa Sub-Saharan,7
2012-07-01,2012,3,Australia,Oceania,1
2012-07-01,2012,3,Austria,EU 14,1
2012-07-01,2012,3,"Bahamas, The",America Central and South,1
2012-07-01,2012,3,Bangladesh,Asia South,10
2012-07-01,2012,3,Barbados,America Central and South,1
2012-07-01,2012,3,Belarus,Europe Other,1
2012-07-01,2012,3,Belgium,EU 14,9
2012-07-01,2012,3,Benin,Africa Sub-Saharan,1
2012-07-01,2012,3,Bolivia,America Central and South,1
2012-07-01,2012,3,Brazil,America Central and South,21
2012-07-01,2012,3,Bulgaria,EU 2,7
2012-07-01,2012,3,Burundi,Africa Sub-Saharan,3
2012-07-01,2012,3,Cameroon,Africa Sub-Saharan,5
2012-07-01,2012,3,Canada,America North,4
2012-07-01,2012,3,Chile,America Central and South,5
2012-07-01,2012,3,China,Asia East,56
2012-07-01,2012,3,Colombia,America Central and South,10
2012-07-01,2012,3,Congo,Africa Sub-Saharan,1
2012-07-01,2012,3,Congo (Democratic Republic),Africa Sub-Saharan,3
2012-07-01,2012,3,Croatia,EU Other,1
2012-07-01,2012,3,Cyprus,EU Other,2
2012-07-01,2012,3,Czech Republic,EU 8,2
2012-07-01,2012,3,Denmark,EU 14,4
2012-07-01,2012,3,Dominica,America Central and South,1
2012-07-01,2012,3,Egypt,Africa North,5
2012-07-01,2012,3,Estonia,EU 8,2
2012-07-01,2012,3,Ethiopia,Africa Sub-Saharan,1
2012-07-01,2012,3,Finland,EU 14,2
2012-07-01,2012,3,France,EU 14,29
2012-07-01,2012,3,French Guiana,America Central and South,1
2012-07-01,2012,3,"Gambia, The",Africa Sub-Saharan,2
2012-07-01,2012,3,Georgia,Europe Other,2
2012-07-01,2012,3,Germany,EU 14,6
2012-07-01,2012,3,Ghana,Africa Sub-Saharan,15
2012-07-01,2012,3,Greece,EU 14,1
2012-07-01,2012,3,Grenada,America Central and South,2
2012-07-01,2012,3,Guinea,Africa Sub-Saharan,1
2012-07-01,2012,3,Hong Kong,Asia East,1
2012-07-01,2012,3,Hungary,EU 8,7
2012-07-01,2012,3,India,Asia South,43
2012-07-01,2012,3,Iran,Middle East,1
2012-07-01,2012,3,Iraq,Middle East,20
2012-07-01,2012,3,Ireland,EU 14,7
2012-07-01,2012,3,Israel,Middle East,2
2012-07-01,2012,3,Italy,EU 14,7
2012-07-01,2012,3,Ivory Coast,Africa Sub-Saharan,1
2012-07-01,2012,3,Jamaica,America Central and South,60
2012-07-01,2012,3,Jordan,Middle East,1
2012-07-01,2012,3,Kenya,Africa Sub-Saharan,3
2012-07-01,2012,3,Kiribati,Oceania,1
2012-07-01,2012,3,Kosovo,Europe Other,1
2012-07-01,2012,3,Latvia,EU 8,22
2012-07-01,2012,3,Liberia,Africa Sub-Saharan,1
2012-07-01,2012,3,Libya,Africa North,4
2012-07-01,2012,3,Lithuania,EU 8,43
2012-07-01,2012,3,Macau,Asia East,1
2012-07-01,2012,3,Malawi,Africa Sub-Saharan,1
2012-07-01,2012,3,Malaysia,Asia South East,5
2012-07-01,2012,3,Malta,EU Other,1
2012-07-01,2012,3,Mauritius,Africa Sub-Saharan,1
2012-07-01,2012,3,Mexico,America Central and South,9
2012-07-01,2012,3,Moldova,Europe Other,5
2012-07-01,2012,3,Mongolia,Asia East,2
2012-07-01,2012,3,Morocco,Africa North,4
2012-07-01,2012,3,Namibia,Africa Sub-Saharan,1
2012-07-01,2012,3,Nepal,Asia South,2
2012-07-01,2012,3,Netherlands,EU 14,15
2012-07-01,2012,3,Nigeria,Africa Sub-Saharan,68
2012-07-01,2012,3,Other and unknown,Other,54
2012-07-01,2012,3,Pakistan,Asia South,45
2012-07-01,2012,3,Philippines,Asia South East,1
2012-07-01,2012,3,Poland,EU 8,70
2012-07-01,2012,3,Portugal,EU 14,13
2012-07-01,2012,3,Romania,EU 2,102
2012-07-01,2012,3,Russia,Europe Other,3
2012-07-01,2012,3,Saudi Arabia,Middle East,1
2012-07-01,2012,3,Sierra Leone,Africa Sub-Saharan,8
2012-07-01,2012,3,Slovakia,EU 8,10
2012-07-01,2012,3,Somalia,Africa Sub-Saharan,2
2012-07-01,2012,3,South Africa,Africa Sub-Saharan,3
2012-07-01,2012,3,Spain,EU 14,9
2012-07-01,2012,3,Sri Lanka,Asia South,15
2012-07-01,2012,3,St. Kitts and Nevis,America Central and South,1
2012-07-01,2012,3,St. Vincent and the Grenadines,America Central and South,1
2012-07-01,2012,3,Sudan,Africa North,1
2012-07-01,2012,3,Sweden,EU 14,4
2012-07-01,2012,3,Tanzania,Africa Sub-Saharan,4
2012-07-01,2012,3,Trinidad and Tobago,America Central and South,4
2012-07-01,2012,3,Tunisia,Africa North,1
2012-07-01,2012,3,Turkey,Europe Other,10
2012-07-01,2012,3,Turkmenistan,Asia Central,1
2012-07-01,2012,3,Uganda,Africa Sub-Saharan,6
2012-07-01,2012,3,Ukraine,Europe Other,18
2012-07-01,2012,3,United Arab Emirates,Middle East,1
2012-07-01,2012,3,United States,America North,6
2012-07-01,2012,3,Uzbekistan,Asia Central,2
2012-07-01,2012,3,Vietnam,Asia South East,118
2012-07-01,2012,3,Zambia,Africa Sub-Saharan,1
2012-07-01,2012,3,Zimbabwe,Africa Sub-Saharan,8
2012-10-01,2012,4,Afghanistan,Asia Central,11
2012-10-01,2012,4,Albania,Europe Other,46
2012-10-01,2012,4,Algeria,Africa North,21
2012-10-01,2012,4,Antigua and Barbuda,America Central and South,1
2012-10-01,2012,4,Australia,Oceania,1
2012-10-01,2012,4,Austria,EU 14,1
2012-10-01,2012,4,"Bahamas, The",America Central and South,1
2012-10-01,2012,4,Bahrain,Middle East,1
2012-10-01,2012,4,Bangladesh,Asia South,16
2012-10-01,2012,4,Barbados,America Central and South,3
2012-10-01,2012,4,Belarus,Europe Other,1
2012-10-01,2012,4,Belgium,EU 14,3
2012-10-01,2012,4,Brazil,America Central and South,12
2012-10-01,2012,4,Bulgaria,EU 2,10
2012-10-01,2012,4,Burma,Asia South East,1
2012-10-01,2012,4,Cameroon,Africa Sub-Saharan,4
2012-10-01,2012,4,Canada,America North,1
2012-10-01,2012,4,Chile,America Central and South,7
2012-10-01,2012,4,China,Asia East,35
2012-10-01,2012,4,Colombia,America Central and South,12
2012-10-01,2012,4,Congo,Africa Sub-Saharan,1
2012-10-01,2012,4,Croatia,EU Other,1
2012-10-01,2012,4,Czech Republic,EU 8,8
2012-10-01,2012,4,Denmark,EU 14,1
2012-10-01,2012,4,Estonia,EU 8,2
2012-10-01,2012,4,Ethiopia,Africa Sub-Saharan,3
2012-10-01,2012,4,Fiji,Oceania,2
2012-10-01,2012,4,Finland,EU 14,1
2012-10-01,2012,4,France,EU 14,10
2012-10-01,2012,4,"Gambia, The",Africa Sub-Saharan,7
2012-10-01,2012,4,Georgia,Europe Other,7
2012-10-01,2012,4,Germany,EU 14,12
2012-10-01,2012,4,Ghana,Africa Sub-Saharan,15
2012-10-01,2012,4,Greece,EU 14,1
2012-10-01,2012,4,Grenada,America Central and South,1
2012-10-01,2012,4,Guatemala,America Central and South,1
2012-10-01,2012,4,Guinea,Africa Sub-Saharan,1
2012-10-01,2012,4,Guyana,America Central and South,2
2012-10-01,2012,4,Hungary,EU 8,3
2012-10-01,2012,4,India,Asia South,56
2012-10-01,2012,4,Iran,Middle East,1
2012-10-01,2012,4,Iraq,Middle East,26
2012-10-01,2012,4,Ireland,EU 14,7
2012-10-01,2012,4,Italy,EU 14,10
2012-10-01,2012,4,Ivory Coast,Africa Sub-Saharan,2
2012-10-01,2012,4,Jamaica,America Central and South,63
2012-10-01,2012,4,Kenya,Africa Sub-Saharan,4
2012-10-01,2012,4,Kosovo,Europe Other,5
2012-10-01,2012,4,Latvia,EU 8,23
2012-10-01,2012,4,Libya,Africa North,1
2012-10-01,2012,4,Lithuania,EU 8,58
2012-10-01,2012,4,Macedonia,Europe Other,1
2012-10-01,2012,4,Malawi,Africa Sub-Saharan,5
2012-10-01,2012,4,Malaysia,Asia South East,7
2012-10-01,2012,4,Mauritius,Africa Sub-Saharan,3
2012-10-01,2012,4,Mexico,America Central and South,5
2012-10-01,2012,4,Moldova,Europe Other,3
2012-10-01,2012,4,Mongolia,Asia East,1
2012-10-01,2012,4,Morocco,Africa North,7
2012-10-01,2012,4,Mozambique,Africa Sub-Saharan,1
2012-10-01,2012,4,Namibia,Africa Sub-Saharan,2
2012-10-01,2012,4,Nepal,Asia South,1
2012-10-01,2012,4,Netherlands,EU 14,15
2012-10-01,2012,4,New Zealand,Oceania,2
2012-10-01,2012,4,Nigeria,Africa Sub-Saharan,76
2012-10-01,2012,4,Norway,Europe Other,1
2012-10-01,2012,4,Other and unknown,Other,58
2012-10-01,2012,4,Pakistan,Asia South,49
2012-10-01,2012,4,Philippines,Asia South East,3
2012-10-01,2012,4,Poland,EU 8,85
2012-10-01,2012,4,Portugal,EU 14,26
2012-10-01,2012,4,Puerto Rico,America North,1
2012-10-01,2012,4,Romania,EU 2,142
2012-10-01,2012,4,Russia,Europe Other,1
2012-10-01,2012,4,Senegal,Africa Sub-Saharan,1
2012-10-01,2012,4,Sierra Leone,Africa Sub-Saharan,2
2012-10-01,2012,4,Slovakia,EU 8,8
2012-10-01,2012,4,Slovenia,EU 8,1
2012-10-01,2012,4,Somalia,Africa Sub-Saharan,3
2012-10-01,2012,4,South Africa,Africa Sub-Saharan,4
2012-10-01,2012,4,Spain,EU 14,15
2012-10-01,2012,4,Sri Lanka,Asia South,15
2012-10-01,2012,4,St. Lucia,America Central and South,1
2012-10-01,2012,4,St. Vincent and the Grenadines,America Central and South,2
2012-10-01,2012,4,Sudan,Africa North,1
2012-10-01,2012,4,Sweden,EU 14,4
2012-10-01,2012,4,Switzerland,Europe Other,1
2012-10-01,2012,4,Tanzania,Africa Sub-Saharan,4
2012-10-01,2012,4,Thailand,Asia South East,1
2012-10-01,2012,4,Tunisia,Africa North,4
2012-10-01,2012,4,Turkey,Europe Other,11
2012-10-01,2012,4,Uganda,Africa Sub-Saharan,4
2012-10-01,2012,4,Ukraine,Europe Other,10
2012-10-01,2012,4,United States,America North,8
2012-10-01,2012,4,Venezuela,America Central and South,2
2012-10-01,2012,4,Vietnam,Asia South East,126
2012-10-01,2012,4,Zambia,Africa Sub-Saharan,1
2012-10-01,2012,4,Zimbabwe,Africa Sub-Saharan,4
2013-01-01,2013,1,Afghanistan,Asia Central,18
2013-01-01,2013,1,Albania,Europe Other,53
2013-01-01,2013,1,Algeria,Africa North,18
2013-01-01,2013,1,Angola,Africa Sub-Saharan,1
2013-01-01,2013,1,Armenia,Europe Other,2
2013-01-01,2013,1,Australia,Oceania,2
2013-01-01,2013,1,Austria,EU 14,3
2013-01-01,2013,1,Bangladesh,Asia South,13
2013-01-01,2013,1,Barbados,America Central and South,3
2013-01-01,2013,1,Belgium,EU 14,4
2013-01-01,2013,1,Benin,Africa Sub-Saharan,1
2013-01-01,2013,1,Bolivia,America Central and South,2
2013-01-01,2013,1,Bosnia and Herzegovina,Europe Other,2
2013-01-01,2013,1,Brazil,America Central and South,9
2013-01-01,2013,1,Bulgaria,EU 2,8
2013-01-01,2013,1,Cameroon,Africa Sub-Saharan,1
2013-01-01,2013,1,Canada,America North,3
2013-01-01,2013,1,Chile,America Central and South,8
2013-01-01,2013,1,China,Asia East,49
2013-01-01,2013,1,Colombia,America Central and South,19
2013-01-01,2013,1,Congo,Africa Sub-Saharan,2
2013-01-01,2013,1,Congo (Democratic Republic),Africa Sub-Saharan,1
2013-01-01,2013,1,Croatia,EU Other,3
2013-01-01,2013,1,Cyprus,EU Other,2
2013-01-01,2013,1,Czech Republic,EU 8,11
2013-01-01,2013,1,Denmark,EU 14,2
2013-01-01,2013,1,Dominica,America Central and South,2
2013-01-01,2013,1,Egypt,Africa North,2
2013-01-01,2013,1,El Salvador,America Central and South,1
2013-01-01,2013,1,Ethiopia,Africa Sub-Saharan,1
2013-01-01,2013,1,Fiji,Oceania,2
2013-01-01,2013,1,Finland,EU 14,2
2013-01-01,2013,1,France,EU 14,16
2013-01-01,2013,1,"Gambia, The",Africa Sub-Saharan,10
2013-01-01,2013,1,Georgia,Europe Other,1
2013-01-01,2013,1,Germany,EU 14,10
2013-01-01,2013,1,Ghana,Africa Sub-Saharan,13
2013-01-01,2013,1,Greece,EU 14,1
2013-01-01,2013,1,Grenada,America Central and South,1
2013-01-01,2013,1,Guinea,Africa Sub-Saharan,2
2013-01-01,2013,1,Guyana,America Central and South,2
2013-01-01,2013,1,Hungary,EU 8,6
2013-01-01,2013,1,India,Asia South,46
2013-01-01,2013,1,Iran,Middle East,6
2013-01-01,2013,1,Iraq,Middle East,16
2013-01-01,2013,1,Ireland,EU 14,4
2013-01-01,2013,1,Israel,Middle East,1
2013-01-01,2013,1,Italy,EU 14,13
2013-01-01,2013,1,Jamaica,America Central and South,53
2013-01-01,2013,1,Kazakhstan,Asia Central,1
2013-01-01,2013,1,Kenya,Africa Sub-Saharan,4
2013-01-01,2013,1,Kosovo,Europe Other,1
2013-01-01,2013,1,Kuwait,Middle East,1
2013-01-01,2013,1,Latvia,EU 8,15
2013-01-01,2013,1,Libya,Africa North,1
2013-01-01,2013,1,Lithuania,EU 8,69
2013-01-01,2013,1,Malawi,Africa Sub-Saharan,5
2013-01-01,2013,1,Malaysia,Asia South East,7
2013-01-01,2013,1,Mali,Africa Sub-Saharan,1
2013-01-01,2013,1,Mexico,America Central and South,7
2013-01-01,2013,1,Moldova,Europe Other,4
2013-01-01,2013,1,Morocco,Africa North,4
2013-01-01,2013,1,Namibia,Africa Sub-Saharan,2
2013-01-01,2013,1,Netherlands,EU 14,14
2013-01-01,2013,1,New Zealand,Oceania,1
2013-01-01,2013,1,Nigeria,Africa Sub-Saharan,84
2013-01-01,2013,1,Other and unknown,Other,78
2013-01-01,2013,1,Pakistan,Asia South,39
2013-01-01,2013,1,Paraguay,America Central and South,1
2013-01-01,2013,1,Philippines,Asia South East,1
2013-01-01,2013,1,Poland,EU 8,74
2013-01-01,2013,1,Portugal,EU 14,18
2013-01-01,2013,1,Romania,EU 2,144
2013-01-01,2013,1,Serbia,Europe Other,1
2013-01-01,2013,1,Sierra Leone,Africa Sub-Saharan,3
2013-01-01,2013,1,Slovakia,EU 8,8
2013-01-01,2013,1,Slovenia,EU 8,1
2013-01-01,2013,1,Somalia,Africa Sub-Saharan,3
2013-01-01,2013,1,South Africa,Africa Sub-Saharan,3
2013-01-01,2013,1,Spain,EU 14,19
2013-01-01,2013,1,Sri Lanka,Asia South,5
2013-01-01,2013,1,St. Kitts and Nevis,America Central and South,2
2013-01-01,2013,1,St. Lucia,America Central and South,2
2013-01-01,2013,1,St. Vincent and the Grenadines,America Central and South,1
2013-01-01,2013,1,Sudan,Africa North,1
2013-01-01,2013,1,Sweden,EU 14,2
2013-01-01,2013,1,Switzerland,Europe Other,1
2013-01-01,2013,1,Tonga,Oceania,1
2013-01-01,2013,1,Trinidad and Tobago,America Central and South,5
2013-01-01,2013,1,Tunisia,Africa North,2
2013-01-01,2013,1,Turkey,Europe Other,11
2013-01-01,2013,1,Uganda,Africa Sub-Saharan,2
2013-01-01,2013,1,Ukraine,Europe Other,8
2013-01-01,2013,1,United States,America North,8
2013-01-01,2013,1,Uzbekistan,Asia Central,1
2013-01-01,2013,1,Venezuela,America Central and South,3
2013-01-01,2013,1,Vietnam,Asia South East,115
2013-01-01,2013,1,Yemen,Middle East,1
2013-01-01,2013,1,Zambia,Africa Sub-Saharan,1
2013-01-01,2013,1,Zimbabwe,Africa Sub-Saharan,4
2013-04-01,2013,2,Afghanistan,Asia Central,15
2013-04-01,2013,2,Albania,Europe Other,41
2013-04-01,2013,2,Algeria,Africa North,25
2013-04-01,2013,2,Angola,Africa Sub-Saharan,6
2013-04-01,2013,2,Austria,EU 14,1
2013-04-01,2013,2,"Bahamas, The",America Central and South,3
2013-04-01,2013,2,Bangladesh,Asia South,25
2013-04-01,2013,2,Barbados,America Central and South,4
2013-04-01,2013,2,Belgium,EU 14,8
2013-04-01,2013,2,Brazil,America Central and South,12
2013-04-01,2013,2,Bulgaria,EU 2,11
2013-04-01,2013,2,Burundi,Africa Sub-Saharan,1
2013-04-01,2013,2,Cameroon,Africa Sub-Saharan,1
2013-04-01,2013,2,Canada,America North,1
2013-04-01,2013,2,Chile,America Central and South,4
2013-04-01,2013,2,China,Asia East,53
2013-04-01,2013,2,Colombia,America Central and South,8
2013-04-01,2013,2,Congo,Africa Sub-Saharan,1
2013-04-01,2013,2,Congo (Democratic Republic),Africa Sub-Saharan,1
2013-04-01,2013,2,Costa Rica,America Central and South,1
2013-04-01,2013,2,Croatia,EU Other,2
2013-04-01,2013,2,Cyprus,EU Other,1
2013-04-01,2013,2,Czech Republic,EU 8,12
2013-04-01,2013,2,Dominican Republic,America Central and South,1
2013-04-01,2013,2,Egypt,Africa North,2
2013-04-01,2013,2,Eritrea,Africa Sub-Saharan,1
2013-04-01,2013,2,Estonia,EU 8,2
2013-04-01,2013,2,Ethiopia,Africa Sub-Saharan,1
2013-04-01,2013,2,Fiji,Oceania,1
2013-04-01,2013,2,Finland,EU 14,2
2013-04-01,2013,2,France,EU 14,25
2013-04-01,2013,2,"Gambia, The",Africa Sub-Saharan,8
2013-04-01,2013,2,Georgia,Europe Other,3
2013-04-01,2013,2,Germany,EU 14,10
2013-04-01,2013,2,Ghana,Africa Sub-Saharan,8
2013-04-01,2013,2,Guatemala,America Central and South,1
2013-04-01,2013,2,Guinea,Africa Sub-Saharan,1
2013-04-01,2013,2,Honduras,America Central and South,1
2013-04-01,2013,2,Hong Kong,Asia East,2
2013-04-01,2013,2,Hungary,EU 8,4
2013-04-01,2013,2,India,Asia South,50
2013-04-01,2013,2,Iran,Middle East,4
2013-04-01,2013,2,Iraq,Middle East,36
2013-04-01,2013,2,Ireland,EU 14,9
2013-04-01,2013,2,Italy,EU 14,6
2013-04-01,2013,2,Ivory Coast,Africa Sub-Saharan,4
2013-04-01,2013,2,Jamaica,America Central and South,70
2013-04-01,2013,2,Japan,Asia East,2
2013-04-01,2013,2,Jordan,Middle East,1
2013-04-01,2013,2,Kazakhstan,Asia Central,1
2013-04-01,2013,2,Kenya,Africa Sub-Saharan,6
2013-04-01,2013,2,Kosovo,Europe Other,2
2013-04-01,2013,2,Latvia,EU 8,21
2013-04-01,2013,2,Libya,Africa North,4
2013-04-01,2013,2,Lithuania,EU 8,63
2013-04-01,2013,2,Macedonia,Europe Other,1
2013-04-01,2013,2,Malaysia,Asia South East,7
2013-04-01,2013,2,Mauritius,Africa Sub-Saharan,2
2013-04-01,2013,2,Mexico,America Central and South,2
2013-04-01,2013,2,Moldova,Europe Other,4
2013-04-01,2013,2,Montenegro,Europe Other,1
2013-04-01,2013,2,Morocco,Africa North,7
2013-04-01,2013,2,Netherlands,EU 14,26
2013-04-01,2013,2,New Zealand,Oceania,2
2013-04-01,2013,2,Nigeria,Africa Sub-Saharan,77
2013-04-01,2013,2,Other and unknown,Other,59
2013-04-01,2013,2,Pakistan,Asia South,47
2013-04-01,2013,2,Peru,America Central and South,2
2013-04-01,2013,2,Philippines,Asia South East,5
2013-04-01,2013,2,Poland,EU 8,101
2013-04-01,2013,2,Portugal,EU 14,21
2013-04-01,2013,2,Romania,EU 2,156
2013-04-01,2013,2,Russia,Europe Other,3
2013-04-01,2013,2,Saudi Arabia,Middle East,2
2013-04-01,2013,2,Senegal,Africa Sub-Saharan,1
2013-04-01,2013,2,Sierra Leone,Africa Sub-Saharan,4
2013-04-01,2013,2,Slovakia,EU 8,9
2013-04-01,2013,2,Somalia,Africa Sub-Saharan,1
2013-04-01,2013,2,South Africa,Africa Sub-Saharan,10
2013-04-01,2013,2,Spain,EU 14,4
2013-04-01,2013,2,Sri Lanka,Asia South,1
2013-04-01,2013,2,St. Lucia,America Central and South,3
2013-04-01,2013,2,St. Vincent and the Grenadines,America Central and South,2
2013-04-01,2013,2,Sweden,EU 14,3
2013-04-01,2013,2,Switzerland,Europe Other,3
2013-04-01,2013,2,Tanzania,Africa Sub-Saharan,3
2013-04-01,2013,2,Thailand,Asia South East,2
2013-04-01,2013,2,Trinidad and Tobago,America Central and South,4
2013-04-01,2013,2,Turkey,Europe Other,14
2013-04-01,2013,2,Uganda,Africa Sub-Saharan,4
2013-04-01,2013,2,Ukraine,Europe Other,6
2013-04-01,2013,2,United States,America North,7
2013-04-01,2013,2,Venezuela,America Central and South,1
2013-04-01,2013,2,Vietnam,Asia South East,89
2013-04-01,2013,2,Zambia,Africa Sub-Saharan,1
2013-04-01,2013,2,Zimbabwe,Africa Sub-Saharan,4
2013-07-01,2013,3,Afghanistan,Asia Central,11
2013-07-01,2013,3,Albania,Europe Other,38
2013-07-01,2013,3,Algeria,Africa North,14
2013-07-01,2013,3,Angola,Africa Sub-Saharan,5
2013-07-01,2013,3,Argentina,America Central and South,1
2013-07-01,2013,3,Armenia,Europe Other,1
2013-07-01,2013,3,Australia,Oceania,2
2013-07-01,2013,3,Austria,EU 14,3
2013-07-01,2013,3,"Bahamas, The",America Central and South,1
2013-07-01,2013,3,Bangladesh,Asia South,16
2013-07-01,2013,3,Barbados,America Central and South,1
2013-07-01,2013,3,Belarus,Europe Other,1
2013-07-01,2013,3,Belgium,EU 14,2
2013-07-01,2013,3,Bosnia and Herzegovina,Europe Other,1
2013-07-01,2013,3,Botswana,Africa Sub-Saharan,1
2013-07-01,2013,3,Brazil,America Central and South,8
2013-07-01,2013,3,Bulgaria,EU 2,10
2013-07-01,2013,3,Cameroon,Africa Sub-Saharan,2
2013-07-01,2013,3,Canada,America North,5
2013-07-01,2013,3,Chile,America Central and South,4
2013-07-01,2013,3,China,Asia East,35
2013-07-01,2013,3,Colombia,America Central and South,12
2013-07-01,2013,3,Congo,Africa Sub-Saharan,2
2013-07-01,2013,3,Congo (Democratic Republic),Africa Sub-Saharan,1
2013-07-01,2013,3,Costa Rica,America Central and South,2
2013-07-01,2013,3,Cyprus,EU Other,3
2013-07-01,2013,3,Czech Republic,EU 8,8
2013-07-01,2013,3,Denmark,EU 14,3
2013-07-01,2013,3,Dominica,America Central and South,1
2013-07-01,2013,3,Ecuador,America Central and South,2
2013-07-01,2013,3,Egypt,Africa North,3
2013-07-01,2013,3,Estonia,EU 8,2
2013-07-01,2013,3,France,EU 14,30
2013-07-01,2013,3,"Gambia, The",Africa Sub-Saharan,8
2013-07-01,2013,3,Georgia,Europe Other,2
2013-07-01,2013,3,Germany,EU 14,7
2013-07-01,2013,3,Ghana,Africa Sub-Saharan,14
2013-07-01,2013,3,Greece,EU 14,2
2013-07-01,2013,3,Grenada,America Central and South,2
2013-07-01,2013,3,Guinea,Africa Sub-Saharan,2
2013-07-01,2013,3,Guyana,America Central and South,2
2013-07-01,2013,3,Hungary,EU 8,10
2013-07-01,2013,3,India,Asia South,46
2013-07-01,2013,3,Iran,Middle East,5
2013-07-01,2013,3,Iraq,Middle East,22
2013-07-01,2013,3,Ireland,EU 14,3
2013-07-01,2013,3,Italy,EU 14,9
2013-07-01,2013,3,Ivory Coast,Africa Sub-Saharan,2
2013-07-01,2013,3,Jamaica,America Central and South,61
2013-07-01,2013,3,Kenya,Africa Sub-Saharan,3
2013-07-01,2013,3,Kosovo,Europe Other,5
2013-07-01,2013,3,Latvia,EU 8,24
2013-07-01,2013,3,Lesotho,Africa Sub-Saharan,1
2013-07-01,2013,3,Liberia,Africa Sub-Saharan,1
2013-07-01,2013,3,Libya,Africa North,3
2013-07-01,2013,3,Lithuania,EU 8,79
2013-07-01,2013,3,Malawi,Africa Sub-Saharan,3
2013-07-01,2013,3,Malaysia,Asia South East,8
2013-07-01,2013,3,Malta,EU Other,2
2013-07-01,2013,3,Mauritius,Africa Sub-Saharan,3
2013-07-01,2013,3,Mexico,America Central and South,2
2013-07-01,2013,3,Moldova,Europe Other,3
2013-07-01,2013,3,Morocco,Africa North,1
2013-07-01,2013,3,Nepal,Asia South,1
2013-07-01,2013,3,Netherlands,EU 14,21
2013-07-01,2013,3,New Zealand,Oceania,1
2013-07-01,2013,3,Nicaragua,America Central and South,1
2013-07-01,2013,3,Niger,Africa Sub-Saharan,1
2013-07-01,2013,3,Nigeria,Africa Sub-Saharan,62
2013-07-01,2013,3,Other and unknown,Other,59
2013-07-01,2013,3,Pakistan,Asia South,37
2013-07-01,2013,3,Peru,America Central and South,2
2013-07-01,2013,3,Poland,EU 8,88
2013-07-01,2013,3,Portugal,EU 14,20
2013-07-01,2013,3,Romania,EU 2,175
2013-07-01,2013,3,Russia,Europe Other,1
2013-07-01,2013,3,Saudi Arabia,Middle East,1
2013-07-01,2013,3,Senegal,Africa Sub-Saharan,3
2013-07-01,2013,3,Serbia,Europe Other,1
2013-07-01,2013,3,Seychelles,Africa Sub-Saharan,1
2013-07-01,2013,3,Sierra Leone,Africa Sub-Saharan,3
2013-07-01,2013,3,Slovakia,EU 8,12
2013-07-01,2013,3,Slovenia,EU 8,1
2013-07-01,2013,3,Somalia,Africa Sub-Saharan,1
2013-07-01,2013,3,South Africa,Africa Sub-Saharan,4
2013-07-01,2013,3,Spain,EU 14,10
2013-07-01,2013,3,Sri Lanka,Asia South,2
2013-07-01,2013,3,St. Lucia,America Central and South,2
2013-07-01,2013,3,St. Vincent and the Grenadines,America Central and South,2
2013-07-01,2013,3,Surinam,America Central and South,2
2013-07-01,2013,3,Swaziland,Africa Sub-Saharan,1
2013-07-01,2013,3,Sweden,EU 14,3
2013-07-01,2013,3,Switzerland,Europe Other,1
2013-07-01,2013,3,Taiwan,Asia East,1
2013-07-01,2013,3,Tanzania,Africa Sub-Saharan,1
2013-07-01,2013,3,Thailand,Asia South East,1
2013-07-01,2013,3,Togo,Africa Sub-Saharan,1
2013-07-01,2013,3,Trinidad and Tobago,America Central and South,10
2013-07-01,2013,3,Turkey,Europe Other,8
2013-07-01,2013,3,Uganda,Africa Sub-Saharan,2
2013-07-01,2013,3,Ukraine,Europe Other,7
2013-07-01,2013,3,United Arab Emirates,Middle East,1
2013-07-01,2013,3,United States,America North,4
2013-07-01,2013,3,Uzbekistan,Asia Central,1
2013-07-01,2013,3,Venezuela,America Central and South,3
2013-07-01,2013,3,Vietnam,Asia South East,106
2013-07-01,2013,3,Zimbabwe,Africa Sub-Saharan,5
2013-10-01,2013,4,Afghanistan,Asia Central,11
2013-10-01,2013,4,Albania,Europe Other,64
2013-10-01,2013,4,Algeria,Africa North,10
2013-10-01,2013,4,Angola,Africa Sub-Saharan,2
2013-10-01,2013,4,Antigua and Barbuda,America Central and South,2
2013-10-01,2013,4,Armenia,Europe Other,1
2013-10-01,2013,4,Australia,Oceania,2
2013-10-01,2013,4,Austria,EU 14,2
2013-10-01,2013,4,Bangladesh,Asia South,15
2013-10-01,2013,4,Barbados,America Central and South,2
2013-10-01,2013,4,Belgium,EU 14,5
2013-10-01,2013,4,Brazil,America Central and South,11
2013-10-01,2013,4,Bulgaria,EU 2,18
2013-10-01,2013,4,Cameroon,Africa Sub-Saharan,6
2013-10-01,2013,4,Canada,America North,3
2013-10-01,2013,4,Chile,America Central and South,4
2013-10-01,2013,4,China,Asia East,39
