Date,Year,Quarter,Asylum application,Nationality,Region,Applicant type,UASC,Sex,Age Group,Applications
2020-12-31,2020,4,Asylum application raised,Iraq,Middle East,Dependant,Non-UASC,Male,40 and over,2
2020-12-31,2020,4,Asylum application raised,Iraq,Middle East,Dependant,Non-UASC,Female,40 and over,3
2020-12-31,2020,4,Asylum application raised,Iraq,Middle East,Main applicant,Non-UASC,Female,18 to 24,2
2020-12-31,2020,4,Asylum application raised,Iraq,Middle East,Main applicant,Non-UASC,Male,18 to 24,26
2020-12-31,2020,4,Asylum application raised,Iraq,Middle East,Main applicant,Non-UASC,Female,25 to 39,4
2020-12-31,2020,4,Asylum application raised,Iraq,Middle East,Main applicant,Non-UASC,Male,25 to 39,48
2020-12-31,2020,4,Asylum application raised,Iraq,Middle East,Main applicant,Non-UASC,Female,40 and over,1
2020-12-31,2020,4,Asylum application raised,Iraq,Middle East,Main applicant,Non-UASC,Male,40 and over,13
2020-12-31,2020,4,Asylum application raised,Iraq,Middle East,Main applicant,UASC,Male,17 and under,6
2020-12-31,2020,4,Asylum application raised,Ivory Coast,Africa Sub-Saharan,Main applicant,UASC,Male,18 to 24,1
2020-12-31,2020,4,Asylum application raised,Kuwait,Middle East,Main applicant,Non-UASC,Male,25 to 39,1
2020-12-31,2020,4,Asylum application raised,Kuwait,Middle East,Main applicant,Non-UASC,Male,40 and over,1
2020-12-31,2020,4,Asylum application raised,Libya,Africa North,Main applicant,Non-UASC,Male,18 to 24,1
2020-12-31,2020,4,Asylum application raised,Libya,Africa North,Main applicant,Non-UASC,Male,25 to 39,3
2020-12-31,2020,4,Asylum application raised,Mali,Africa Sub-Saharan,Main applicant,Non-UASC,Male,18 to 24,3
2020-12-31,2020,4,Asylum application raised,Mali,Africa Sub-Saharan,Main applicant,Non-UASC,Male,25 to 39,2
2020-12-31,2020,4,Asylum application raised,Mali,Africa Sub-Saharan,Main applicant,Non-UASC,Male,40 and over,1
2020-12-31,2020,4,Asylum application raised,Mali,Africa Sub-Saharan,Main applicant,UASC,Male,17 and under,3
2020-12-31,2020,4,Asylum application raised,Morocco,Africa North,Main applicant,Non-UASC,Male,18 to 24,1
2020-12-31,2020,4,Asylum application raised,Nigeria,Africa Sub-Saharan,Main applicant,Non-UASC,Male,18 to 24,1
2020-12-31,2020,4,Asylum application raised,Occupied Palestinian Territories,Middle East,Main applicant,Non-UASC,Male,18 to 24,1
2020-12-31,2020,4,Asylum application raised,Occupied Palestinian Territories,Middle East,Main applicant,Non-UASC,Male,25 to 39,4
2020-12-31,2020,4,Asylum application raised,Pakistan,Asia South,Main applicant,Non-UASC,Male,18 to 24,5
2020-12-31,2020,4,Asylum application raised,Pakistan,Asia South,Main applicant,Non-UASC,Male,25 to 39,27
2020-12-31,2020,4,Asylum application raised,Pakistan,Asia South,Main applicant,Non-UASC,Male,40 and over,5
2020-12-31,2020,4,Asylum application raised,Refugee,Other,Dependant,Non-UASC,Male,17 and under,3
2020-12-31,2020,4,Asylum application raised,Refugee,Other,Dependant,Non-UASC,Female,17 and under,4
2020-12-31,2020,4,Asylum application raised,Refugee,Other,Dependant,Non-UASC,Female,25 to 39,2
2020-12-31,2020,4,Asylum application raised,Refugee,Other,Dependant,Non-UASC,Female,40 and over,2
2020-12-31,2020,4,Asylum application raised,Refugee,Other,Main applicant,Non-UASC,Male,18 to 24,5
2020-12-31,2020,4,Asylum application raised,Refugee,Other,Main applicant,Non-UASC,Male,25 to 39,5
2020-12-31,2020,4,Asylum application raised,Refugee,Other,Main applicant,Non-UASC,Female,40 and over,1
2020-12-31,2020,4,Asylum application raised,Refugee,Other,Main applicant,Non-UASC,Male,40 and over,4
2020-12-31,2020,4,Asylum application raised,Refugee,Other,Main applicant,UASC,Male,17 and under,2
2020-12-31,2020,4,Asylum application raised,Senegal,Africa Sub-Saharan,Main applicant,Non-UASC,Male,18 to 24,2
2020-12-31,2020,4,Asylum application raised,Senegal,Africa Sub-Saharan,Main applicant,UASC,Male,17 and under,1
2020-12-31,2020,4,Asylum application raised,Somalia,Africa Sub-Saharan,Main applicant,Non-UASC,Male,18 to 24,1
2020-12-31,2020,4,Asylum application raised,Somalia,Africa Sub-Saharan,Main applicant,Non-UASC,Male,25 to 39,2
2020-12-31,2020,4,Asylum application raised,Somalia,Africa Sub-Saharan,Main applicant,Non-UASC,Female,40 and over,1
2020-12-31,2020,4,Asylum application raised,Somalia,Africa Sub-Saharan,Main applicant,Non-UASC,Male,40 and over,1
2020-12-31,2020,4,Asylum application raised,Somalia,Africa Sub-Saharan,Main applicant,UASC,Male,17 and under,2
2020-12-31,2020,4,Asylum application raised,South Sudan,Africa Sub-Saharan,Main applicant,Non-UASC,Male,18 to 24,2
2020-12-31,2020,4,Asylum application raised,South Sudan,Africa Sub-Saharan,Main applicant,Non-UASC,Male,25 to 39,4
2020-12-31,2020,4,Asylum application raised,Sri Lanka,Asia South,Main applicant,Non-UASC,Male,18 to 24,1
2020-12-31,2020,4,Asylum application raised,Sri Lanka,Asia South,Main applicant,Non-UASC,Male,25 to 39,3
2020-12-31,2020,4,Asylum application raised,Sri Lanka,Asia South,Main applicant,Non-UASC,Male,40 and over,1
2020-12-31,2020,4,Asylum application raised,Stateless,Other,Dependant,Non-UASC,Male,17 and under,3
2020-12-31,2020,4,Asylum application raised,Stateless,Other,Dependant,Non-UASC,Female,17 and under,4
2020-12-31,2020,4,Asylum application raised,Stateless,Other,Dependant,Non-UASC,Female,40 and over,1
2020-12-31,2020,4,Asylum application raised,Stateless,Other,Main applicant,Non-UASC,Male,18 to 24,1
2020-12-31,2020,4,Asylum application raised,Stateless,Other,Main applicant,Non-UASC,Male,25 to 39,2
2020-12-31,2020,4,Asylum application raised,Stateless,Other,Main applicant,Non-UASC,Male,40 and over,1
2020-12-31,2020,4,Asylum application raised,Sudan,Africa North,Dependant,Non-UASC,Male,17 and under,1
2020-12-31,2020,4,Asylum application raised,Sudan,Africa North,Main applicant,Non-UASC,Male,17 and under,3
2020-12-31,2020,4,Asylum application raised,Sudan,Africa North,Main applicant,Non-UASC,Male,18 to 24,32
2020-12-31,2020,4,Asylum application raised,Sudan,Africa North,Main applicant,Non-UASC,Female,25 to 39,1
2020-12-31,2020,4,Asylum application raised,Sudan,Africa North,Main applicant,Non-UASC,Male,25 to 39,46
2020-12-31,2020,4,Asylum application raised,Sudan,Africa North,Main applicant,Non-UASC,Male,40 and over,5
2020-12-31,2020,4,Asylum application raised,Sudan,Africa North,Main applicant,UASC,Male,17 and under,15
2020-12-31,2020,4,Asylum application raised,Syria,Middle East,Dependant,Non-UASC,Male,17 and under,4
2020-12-31,2020,4,Asylum application raised,Syria,Middle East,Dependant,Non-UASC,Female,25 to 39,1
2020-12-31,2020,4,Asylum application raised,Syria,Middle East,Main applicant,Non-UASC,Male,18 to 24,82
2020-12-31,2020,4,Asylum application raised,Syria,Middle East,Main applicant,Non-UASC,Male,25 to 39,69
2020-12-31,2020,4,Asylum application raised,Syria,Middle East,Main applicant,Non-UASC,Male,40 and over,11
2020-12-31,2020,4,Asylum application raised,Syria,Middle East,Main applicant,UASC,Male,17 and under,17
2020-12-31,2020,4,Asylum application raised,Syria,Middle East,Main applicant,UASC,Male,18 to 24,1
2020-12-31,2020,4,Asylum application raised,Turkey,Europe Other,Dependant,Non-UASC,Male,25 to 39,1
2020-12-31,2020,4,Asylum application raised,Turkey,Europe Other,Main applicant,Non-UASC,Male,25 to 39,3
2020-12-31,2020,4,Asylum application raised,Vietnam,Asia South East,Main applicant,Non-UASC,Male,18 to 24,32
2020-12-31,2020,4,Asylum application raised,Vietnam,Asia South East,Main applicant,Non-UASC,Male,25 to 39,28
2020-12-31,2020,4,Asylum application raised,Vietnam,Asia South East,Main applicant,Non-UASC,Male,40 and over,2
2020-12-31,2020,4,Asylum application raised,Vietnam,Asia South East,Main applicant,UASC,Male,17 and under,8
2020-12-31,2020,4,Asylum application raised,Vietnam,Asia South East,Main applicant,UASC,Male,18 to 24,1
2020-12-31,2020,4,Asylum application raised,Yemen,Middle East,Main applicant,Non-UASC,Male,18 to 24,1
2020-12-31,2020,4,Asylum application raised,Yemen,Middle East,Main applicant,Non-UASC,Male,25 to 39,11
2020-12-31,2020,4,Asylum application raised,Yemen,Middle East,Main applicant,Non-UASC,Male,40 and over,1
2020-12-31,2020,4,No asylum application raised,Albania,Europe Other,N/A - No asylum application,Non-UASC,Male,18 to 24,2
2020-12-31,2020,4,No asylum application raised,Albania,Europe Other,N/A - No asylum application,Non-UASC,Male,25 to 39,5
2020-12-31,2020,4,No asylum application raised,Chad,Africa Sub-Saharan,N/A - No asylum application,Non-UASC,Male,17 and under,1
2020-12-31,2020,4,No asylum application raised,Iran,Middle East,N/A - No asylum application,Non-UASC,Female,17 and under,1
2020-12-31,2020,4,No asylum application raised,Iran,Middle East,N/A - No asylum application,Non-UASC,Male,17 and under,2
2020-12-31,2020,4,No asylum application raised,Iran,Middle East,N/A - No asylum application,Non-UASC,Male,25 to 39,1
2020-12-31,2020,4,No asylum application raised,Iraq,Middle East,N/A - No asylum application,Non-UASC,Male,25 to 39,1
2020-12-31,2020,4,No asylum application raised,Pakistan,Asia South,N/A - No asylum application,Non-UASC,Male,40 and over,1
2020-12-31,2020,4,No asylum application raised,Vietnam,Asia South East,N/A - No asylum application,Non-UASC,Male,18 to 24,3
2020-12-31,2020,4,No asylum application raised,Vietnam,Asia South East,N/A - No asylum application,Non-UASC,Male,25 to 39,3
2021-03-31,2021,1,Asylum application raised,Afghanistan,Asia Central,Dependant,Non-UASC,Female,18 to 24,1
2021-03-31,2021,1,Asylum application raised,Afghanistan,Asia Central,Dependant,Non-UASC,Female,25 to 39,1
2021-03-31,2021,1,Asylum application raised,Afghanistan,Asia Central,Dependant,Non-UASC,Female,40 and over,1
2021-03-31,2021,1,Asylum application raised,Afghanistan,Asia Central,Main applicant,Non-UASC,Male,17 and under,3
2021-03-31,2021,1,Asylum application raised,Afghanistan,Asia Central,Main applicant,Non-UASC,Female,18 to 24,1
2021-03-31,2021,1,Asylum application raised,Afghanistan,Asia Central,Main applicant,Non-UASC,Male,18 to 24,19
2021-03-31,2021,1,Asylum application raised,Afghanistan,Asia Central,Main applicant,Non-UASC,Female,25 to 39,1
2021-03-31,2021,1,Asylum application raised,Afghanistan,Asia Central,Main applicant,Non-UASC,Male,25 to 39,24
2021-03-31,2021,1,Asylum application raised,Afghanistan,Asia Central,Main applicant,Non-UASC,Male,40 and over,2
2021-03-31,2021,1,Asylum application raised,Afghanistan,Asia Central,Main applicant,UASC,Male,17 and under,19
2021-03-31,2021,1,Asylum application raised,Afghanistan,Asia Central,Main applicant,UASC,Male,25 to 39,1
2021-03-31,2021,1,Asylum application raised,Albania,Europe Other,Main applicant,Non-UASC,Male,25 to 39,1
2021-03-31,2021,1,Asylum application raised,Algeria,Africa North,Main applicant,UASC,Male,17 and under,1
2021-03-31,2021,1,Asylum application raised,Chad,Africa Sub-Saharan,Main applicant,Non-UASC,Male,18 to 24,1
2021-03-31,2021,1,Asylum application raised,Chad,Africa Sub-Saharan,Main applicant,Non-UASC,Male,25 to 39,1
2021-03-31,2021,1,Asylum application raised,Egypt,Africa North,Main applicant,Non-UASC,Male,18 to 24,6
2021-03-31,2021,1,Asylum application raised,Egypt,Africa North,Main applicant,Non-UASC,Male,25 to 39,11
2021-03-31,2021,1,Asylum application raised,Egypt,Africa North,Main applicant,Non-UASC,Male,40 and over,4
2021-03-31,2021,1,Asylum application raised,Egypt,Africa North,Main applicant,UASC,Male,17 and under,1
2021-03-31,2021,1,Asylum application raised,Eritrea,Africa Sub-Saharan,Dependant,Non-UASC,Female,17 and under,1
2021-03-31,2021,1,Asylum application raised,Eritrea,Africa Sub-Saharan,Main applicant,Non-UASC,Female,18 to 24,4
2021-03-31,2021,1,Asylum application raised,Eritrea,Africa Sub-Saharan,Main applicant,Non-UASC,Male,18 to 24,9
2021-03-31,2021,1,Asylum application raised,Eritrea,Africa Sub-Saharan,Main applicant,Non-UASC,Female,25 to 39,3
2021-03-31,2021,1,Asylum application raised,Eritrea,Africa Sub-Saharan,Main applicant,Non-UASC,Male,25 to 39,9
2021-03-31,2021,1,Asylum application raised,Eritrea,Africa Sub-Saharan,Main applicant,UASC,Male,17 and under,1
2021-03-31,2021,1,Asylum application raised,Ethiopia,Africa Sub-Saharan,Dependant,Non-UASC,Female,17 and under,1
2021-03-31,2021,1,Asylum application raised,Ethiopia,Africa Sub-Saharan,Main applicant,Non-UASC,Male,18 to 24,2
2021-03-31,2021,1,Asylum application raised,Ethiopia,Africa Sub-Saharan,Main applicant,Non-UASC,Female,25 to 39,1
2021-03-31,2021,1,Asylum application raised,Ethiopia,Africa Sub-Saharan,Main applicant,Non-UASC,Male,25 to 39,3
2021-03-31,2021,1,Asylum application raised,Ethiopia,Africa Sub-Saharan,Main applicant,UASC,Male,17 and under,1
2021-03-31,2021,1,Asylum application raised,"Gambia, The",Africa Sub-Saharan,Main applicant,Non-UASC,Male,18 to 24,1
2021-03-31,2021,1,Asylum application raised,"Gambia, The",Africa Sub-Saharan,Main applicant,UASC,Male,17 and under,3
2021-03-31,2021,1,Asylum application raised,Ghana,Africa Sub-Saharan,Main applicant,Non-UASC,Male,40 and over,1
2021-03-31,2021,1,Asylum application raised,Guinea,Africa Sub-Saharan,Main applicant,Non-UASC,Male,18 to 24,2
2021-03-31,2021,1,Asylum application raised,Guinea,Africa Sub-Saharan,Main applicant,Non-UASC,Male,25 to 39,2
2021-03-31,2021,1,Asylum application raised,Guinea,Africa Sub-Saharan,Main applicant,UASC,Male,17 and under,2
2021-03-31,2021,1,Asylum application raised,India,Asia South,Main applicant,Non-UASC,Male,18 to 24,1
2021-03-31,2021,1,Asylum application raised,India,Asia South,Main applicant,Non-UASC,Male,25 to 39,4
2021-03-31,2021,1,Asylum application raised,Iran,Middle East,Dependant,Non-UASC,Female,17 and under,7
2021-03-31,2021,1,Asylum application raised,Iran,Middle East,Dependant,Non-UASC,Male,17 and under,10
2021-03-31,2021,1,Asylum application raised,Iran,Middle East,Dependant,Non-UASC,Male,25 to 39,1
2021-03-31,2021,1,Asylum application raised,Iran,Middle East,Dependant,Non-UASC,Female,25 to 39,6
2021-03-31,2021,1,Asylum application raised,Iran,Middle East,Main applicant,Non-UASC,Female,18 to 24,2
2021-03-31,2021,1,Asylum application raised,Iran,Middle East,Main applicant,Non-UASC,Male,18 to 24,62
2021-03-31,2021,1,Asylum application raised,Iran,Middle East,Main applicant,Non-UASC,Female,25 to 39,10
2021-03-31,2021,1,Asylum application raised,Iran,Middle East,Main applicant,Non-UASC,Male,25 to 39,175
2021-03-31,2021,1,Asylum application raised,Iran,Middle East,Main applicant,Non-UASC,Female,40 and over,7
2021-03-31,2021,1,Asylum application raised,Iran,Middle East,Main applicant,Non-UASC,Male,40 and over,32
2021-03-31,2021,1,Asylum application raised,Iran,Middle East,Main applicant,UASC,Male,17 and under,37
2021-03-31,2021,1,Asylum application raised,Iran,Middle East,Main applicant,UASC,Male,18 to 24,2
2021-03-31,2021,1,Asylum application raised,Iraq,Middle East,Dependant,Non-UASC,Unknown,17 and under,1
2021-03-31,2021,1,Asylum application raised,Iraq,Middle East,Dependant,Non-UASC,Female,17 and under,17
2021-03-31,2021,1,Asylum application raised,Iraq,Middle East,Dependant,Non-UASC,Male,17 and under,18
2021-03-31,2021,1,Asylum application raised,Iraq,Middle East,Dependant,Non-UASC,Female,18 to 24,2
2021-03-31,2021,1,Asylum application raised,Iraq,Middle East,Dependant,Non-UASC,Male,25 to 39,3
2021-03-31,2021,1,Asylum application raised,Iraq,Middle East,Dependant,Non-UASC,Female,25 to 39,15
2021-03-31,2021,1,Asylum application raised,Iraq,Middle East,Dependant,Non-UASC,Female,40 and over,1
2021-03-31,2021,1,Asylum application raised,Iraq,Middle East,Main applicant,Non-UASC,Female,18 to 24,8
2021-03-31,2021,1,Asylum application raised,Iraq,Middle East,Main applicant,Non-UASC,Male,18 to 24,41
2021-03-31,2021,1,Asylum application raised,Iraq,Middle East,Main applicant,Non-UASC,Female,25 to 39,7
2021-03-31,2021,1,Asylum application raised,Iraq,Middle East,Main applicant,Non-UASC,Male,25 to 39,100
2021-03-31,2021,1,Asylum application raised,Iraq,Middle East,Main applicant,Non-UASC,Female,40 and over,2
2021-03-31,2021,1,Asylum application raised,Iraq,Middle East,Main applicant,Non-UASC,Male,40 and over,12
2021-03-31,2021,1,Asylum application raised,Iraq,Middle East,Main applicant,UASC,Male,17 and under,14
2021-03-31,2021,1,Asylum application raised,Iraq,Middle East,Main applicant,UASC,Male,18 to 24,1
2021-03-31,2021,1,Asylum application raised,Iraq,Middle East,Main applicant,UASC,Male,25 to 39,1
2021-03-31,2021,1,Asylum application raised,Kuwait,Middle East,Main applicant,Non-UASC,Male,25 to 39,5
2021-03-31,2021,1,Asylum application raised,Kuwait,Middle East,Main applicant,Non-UASC,Male,40 and over,1
2021-03-31,2021,1,Asylum application raised,Libya,Africa North,Main applicant,Non-UASC,Male,18 to 24,2
2021-03-31,2021,1,Asylum application raised,Libya,Africa North,Main applicant,Non-UASC,Male,25 to 39,7
2021-03-31,2021,1,Asylum application raised,Libya,Africa North,Main applicant,Non-UASC,Male,40 and over,2
2021-03-31,2021,1,Asylum application raised,Libya,Africa North,Main applicant,UASC,Male,17 and under,1
2021-03-31,2021,1,Asylum application raised,Occupied Palestinian Territories,Middle East,Main applicant,Non-UASC,Male,25 to 39,1
2021-03-31,2021,1,Asylum application raised,Occupied Palestinian Territories,Middle East,Main applicant,UASC,Male,18 to 24,1
2021-03-31,2021,1,Asylum application raised,Pakistan,Asia South,Main applicant,Non-UASC,Male,18 to 24,5
2021-03-31,2021,1,Asylum application raised,Pakistan,Asia South,Main applicant,Non-UASC,Male,25 to 39,12
2021-03-31,2021,1,Asylum application raised,Pakistan,Asia South,Main applicant,Non-UASC,Male,40 and over,2
2021-03-31,2021,1,Asylum application raised,Refugee,Other,Dependant,Non-UASC,Female,17 and under,2
2021-03-31,2021,1,Asylum application raised,Refugee,Other,Dependant,Non-UASC,Male,25 to 39,1
2021-03-31,2021,1,Asylum application raised,Refugee,Other,Main applicant,Non-UASC,Male,17 and under,1
2021-03-31,2021,1,Asylum application raised,Refugee,Other,Main applicant,Non-UASC,Male,18 to 24,3
2021-03-31,2021,1,Asylum application raised,Refugee,Other,Main applicant,Non-UASC,Male,25 to 39,6
2021-03-31,2021,1,Asylum application raised,Refugee,Other,Main applicant,Non-UASC,Male,40 and over,1
2021-03-31,2021,1,Asylum application raised,Refugee,Other,Main applicant,UASC,Male,17 and under,2
2021-03-31,2021,1,Asylum application raised,Saudi Arabia,Middle East,Main applicant,Non-UASC,Male,25 to 39,1
2021-03-31,2021,1,Asylum application raised,Senegal,Africa Sub-Saharan,Main applicant,Non-UASC,Male,18 to 24,1
2021-03-31,2021,1,Asylum application raised,Senegal,Africa Sub-Saharan,Main applicant,Non-UASC,Male,25 to 39,2
2021-03-31,2021,1,Asylum application raised,Somalia,Africa Sub-Saharan,Main applicant,Non-UASC,Male,18 to 24,1
2021-03-31,2021,1,Asylum application raised,South Sudan,Africa Sub-Saharan,Main applicant,Non-UASC,Male,17 and under,1
2021-03-31,2021,1,Asylum application raised,South Sudan,Africa Sub-Saharan,Main applicant,UASC,Male,17 and under,2
2021-03-31,2021,1,Asylum application raised,Sri Lanka,Asia South,Main applicant,Non-UASC,Male,18 to 24,1
2021-03-31,2021,1,Asylum application raised,Sri Lanka,Asia South,Main applicant,Non-UASC,Female,25 to 39,1
2021-03-31,2021,1,Asylum application raised,Sri Lanka,Asia South,Main applicant,Non-UASC,Male,25 to 39,2
2021-03-31,2021,1,Asylum application raised,Sri Lanka,Asia South,Main applicant,Non-UASC,Male,40 and over,1
2021-03-31,2021,1,Asylum application raised,Stateless,Other,Dependant,Non-UASC,Female,17 and under,2
2021-03-31,2021,1,Asylum application raised,Stateless,Other,Dependant,Non-UASC,Male,17 and under,4
2021-03-31,2021,1,Asylum application raised,Stateless,Other,Dependant,Non-UASC,Female,25 to 39,1
2021-03-31,2021,1,Asylum application raised,Stateless,Other,Dependant,Non-UASC,Female,40 and over,2
2021-03-31,2021,1,Asylum application raised,Stateless,Other,Main applicant,Non-UASC,Male,18 to 24,6
2021-03-31,2021,1,Asylum application raised,Stateless,Other,Main applicant,Non-UASC,Male,25 to 39,2
2021-03-31,2021,1,Asylum application raised,Stateless,Other,Main applicant,Non-UASC,Male,40 and over,4
2021-03-31,2021,1,Asylum application raised,Stateless,Other,Main applicant,UASC,Male,17 and under,1
2021-03-31,2021,1,Asylum application raised,Sudan,Africa North,Main applicant,Non-UASC,Female,18 to 24,1
2021-03-31,2021,1,Asylum application raised,Sudan,Africa North,Main applicant,Non-UASC,Male,18 to 24,35
2021-03-31,2021,1,Asylum application raised,Sudan,Africa North,Main applicant,Non-UASC,Male,25 to 39,28
2021-03-31,2021,1,Asylum application raised,Sudan,Africa North,Main applicant,Non-UASC,Male,40 and over,2
2021-03-31,2021,1,Asylum application raised,Sudan,Africa North,Main applicant,UASC,Male,17 and under,8
2021-03-31,2021,1,Asylum application raised,Syria,Middle East,Dependant,Non-UASC,Female,17 and under,2
2021-03-31,2021,1,Asylum application raised,Syria,Middle East,Dependant,Non-UASC,Male,17 and under,5
2021-03-31,2021,1,Asylum application raised,Syria,Middle East,Dependant,Non-UASC,Female,25 to 39,2
2021-03-31,2021,1,Asylum application raised,Syria,Middle East,Main applicant,Non-UASC,Male,18 to 24,84
2021-03-31,2021,1,Asylum application raised,Syria,Middle East,Main applicant,Non-UASC,Female,25 to 39,1
2021-03-31,2021,1,Asylum application raised,Syria,Middle East,Main applicant,Non-UASC,Male,25 to 39,86
2021-03-31,2021,1,Asylum application raised,Syria,Middle East,Main applicant,Non-UASC,Female,40 and over,2
2021-03-31,2021,1,Asylum application raised,Syria,Middle East,Main applicant,Non-UASC,Male,40 and over,9
2021-03-31,2021,1,Asylum application raised,Syria,Middle East,Main applicant,UASC,Male,17 and under,20
2021-03-31,2021,1,Asylum application raised,Syria,Middle East,Main applicant,UASC,Male,18 to 24,3
2021-03-31,2021,1,Asylum application raised,Syria,Middle East,Main applicant,UASC,Male,25 to 39,1
2021-03-31,2021,1,Asylum application raised,Turkey,Europe Other,Main applicant,Non-UASC,Male,40 and over,2
2021-03-31,2021,1,Asylum application raised,Turkey,Europe Other,Main applicant,UASC,Male,17 and under,1
2021-03-31,2021,1,Asylum application raised,Vietnam,Asia South East,Dependant,Non-UASC,Female,17 and under,1
2021-03-31,2021,1,Asylum application raised,Vietnam,Asia South East,Dependant,Non-UASC,Female,18 to 24,1
2021-03-31,2021,1,Asylum application raised,Vietnam,Asia South East,Dependant,Non-UASC,Female,25 to 39,1
2021-03-31,2021,1,Asylum application raised,Vietnam,Asia South East,Dependant,Non-UASC,Male,25 to 39,1
2021-03-31,2021,1,Asylum application raised,Vietnam,Asia South East,Main applicant,Non-UASC,Male,17 and under,1
2021-03-31,2021,1,Asylum application raised,Vietnam,Asia South East,Main applicant,Non-UASC,Female,18 to 24,3
2021-03-31,2021,1,Asylum application raised,Vietnam,Asia South East,Main applicant,Non-UASC,Male,18 to 24,79
2021-03-31,2021,1,Asylum application raised,Vietnam,Asia South East,Main applicant,Non-UASC,Female,25 to 39,9
2021-03-31,2021,1,Asylum application raised,Vietnam,Asia South East,Main applicant,Non-UASC,Male,25 to 39,88
2021-03-31,2021,1,Asylum application raised,Vietnam,Asia South East,Main applicant,Non-UASC,Male,40 and over,6
2021-03-31,2021,1,Asylum application raised,Vietnam,Asia South East,Main applicant,UASC,Female,17 and under,2
2021-03-31,2021,1,Asylum application raised,Vietnam,Asia South East,Main applicant,UASC,Male,17 and under,12
2021-03-31,2021,1,Asylum application raised,Vietnam,Asia South East,Main applicant,UASC,Male,18 to 24,5
2021-03-31,2021,1,Asylum application raised,Vietnam,Asia South East,Main applicant,UASC,Male,25 to 39,2
2021-03-31,2021,1,Asylum application raised,Yemen,Middle East,Dependant,Non-UASC,Male,17 and under,1
2021-03-31,2021,1,Asylum application raised,Yemen,Middle East,Main applicant,Non-UASC,Male,25 to 39,5
2021-03-31,2021,1,Asylum application raised,Yemen,Middle East,Main applicant,Non-UASC,Male,40 and over,1
2021-03-31,2021,1,Asylum application raised,Yemen,Middle East,Main applicant,UASC,Male,17 and under,2
2021-03-31,2021,1,No asylum application raised,Afghanistan,Asia Central,N/A - No asylum application,Non-UASC,Male,25 to 39,1
2021-03-31,2021,1,No asylum application raised,Iran,Middle East,N/A - No asylum application,Non-UASC,Male,17 and under,1
2021-03-31,2021,1,No asylum application raised,Iran,Middle East,N/A - No asylum application,Non-UASC,Male,18 to 24,2
2021-03-31,2021,1,No asylum application raised,Iran,Middle East,N/A - No asylum application,Non-UASC,Male,25 to 39,2
2021-03-31,2021,1,No asylum application raised,Iraq,Middle East,N/A - No asylum application,Non-UASC,Male,25 to 39,2
2021-03-31,2021,1,No asylum application raised,Other and unknown,Other,N/A - No asylum application,Non-UASC,Male,25 to 39,1
2021-03-31,2021,1,No asylum application raised,Pakistan,Asia South,N/A - No asylum application,Non-UASC,Male,25 to 39,1
2021-03-31,2021,1,No asylum application raised,Stateless,Other,N/A - No asylum application,Non-UASC,Female,17 and under,1
2021-03-31,2021,1,No asylum application raised,Stateless,Other,N/A - No asylum application,Non-UASC,Male,18 to 24,1
2021-03-31,2021,1,No asylum application raised,Syria,Middle East,N/A - No asylum application,Non-UASC,Male,18 to 24,1
2021-03-31,2021,1,No asylum application raised,Vietnam,Asia South East,N/A - No asylum application,Non-UASC,Male,17 and under,2
2021-03-31,2021,1,No asylum application raised,Vietnam,Asia South East,N/A - No asylum application,Non-UASC,Male,25 to 39,2
2021-06-30,2021,2,Asylum application raised,Afghanistan,Asia Central,Dependant,Non-UASC,Female,17 and under,2
2021-06-30,2021,2,Asylum application raised,Afghanistan,Asia Central,Dependant,Non-UASC,Male,17 and under,5
2021-06-30,2021,2,Asylum application raised,Afghanistan,Asia Central,Dependant,Non-UASC,Female,25 to 39,1
2021-06-30,2021,2,Asylum application raised,Afghanistan,Asia Central,Main applicant,Non-UASC,Male,17 and under,1
2021-06-30,2021,2,Asylum application raised,Afghanistan,Asia Central,Main applicant,Non-UASC,Female,18 to 24,1
2021-06-30,2021,2,Asylum application raised,Afghanistan,Asia Central,Main applicant,Non-UASC,Male,18 to 24,41
2021-06-30,2021,2,Asylum application raised,Afghanistan,Asia Central,Main applicant,Non-UASC,Female,25 to 39,3
2021-06-30,2021,2,Asylum application raised,Afghanistan,Asia Central,Main applicant,Non-UASC,Male,25 to 39,55
2021-06-30,2021,2,Asylum application raised,Afghanistan,Asia Central,Main applicant,Non-UASC,Female,40 and over,1
2021-06-30,2021,2,Asylum application raised,Afghanistan,Asia Central,Main applicant,Non-UASC,Male,40 and over,6
2021-06-30,2021,2,Asylum application raised,Afghanistan,Asia Central,Main applicant,UASC,Male,17 and under,54
2021-06-30,2021,2,Asylum application raised,Afghanistan,Asia Central,Main applicant,UASC,Male,18 to 24,1
2021-06-30,2021,2,Asylum application raised,Afghanistan,Asia Central,Main applicant,UASC,Male,25 to 39,1
2021-06-30,2021,2,Asylum application raised,Albania,Europe Other,Main applicant,Non-UASC,Male,18 to 24,10
2021-06-30,2021,2,Asylum application raised,Albania,Europe Other,Main applicant,Non-UASC,Male,25 to 39,11
2021-06-30,2021,2,Asylum application raised,Albania,Europe Other,Main applicant,Non-UASC,Male,40 and over,1
2021-06-30,2021,2,Asylum application raised,Algeria,Africa North,Main applicant,Non-UASC,Male,18 to 24,2
2021-06-30,2021,2,Asylum application raised,Algeria,Africa North,Main applicant,Non-UASC,Male,25 to 39,11
